Run,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
1,233,243,0,0,0,0,0,382,20,6,239,57,12,28,35,724,233
2,223,14,0,0,0,0,0,56,14,49,153,291,358,32,61,967,223
3,251,278,0,0,0,1,0,379,22,120,568,48,16,28,47,673,251
4,201,272,0,0,0,2,0,349,11,42,379,58,37,27,27,725,201
5,249,270,0,0,0,1,0,373,35,2,254,39,0,30,30,690,249
6,225,267,0,0,0,0,0,407,25,3,227,48,3,23,23,694,225
7,248,254,0,0,0,0,0,353,34,5,198,58,34,19,38,693,248
8,211,261,0,0,0,0,0,408,32,4,357,48,3,29,38,741,211
9,194,243,0,1,0,0,0,333,24,32,368,76,44,25,43,759,194
10,188,246,0,0,0,0,0,311,35,37,564,64,52,37,40,756,188
11,252,257,0,0,0,0,0,405,33,0,230,32,4,29,29,694,252
12,224,253,0,1,0,0,0,389,18,6,254,62,5,30,43,704,224
13,327,86,0,7,0,0,0,207,38,145,404,200,174,25,130,784,327
14,241,258,0,0,0,0,0,395,25,1,208,46,7,21,45,691,241
15,134,7,0,0,0,0,0,63,26,47,324,268,326,25,67,1039,134
16,162,2,0,21,0,0,0,113,24,58,305,275,283,35,69,1033,162
17,255,258,0,0,0,0,0,368,27,5,234,39,6,43,46,688,255
18,273,276,0,0,0,0,0,405,19,9,171,36,0,27,27,653,273
19,297,246,0,0,0,0,0,392,24,3,271,48,0,29,49,655,297
20,195,231,0,0,0,1,0,360,56,7,397,55,17,30,51,771,195
21,245,245,0,0,0,0,0,407,21,7,337,46,2,31,33,737,245
22,216,179,0,0,0,0,0,336,29,103,651,101,60,23,60,803,216
23,241,267,0,2,0,1,0,393,18,19,312,62,13,30,31,711,241
24,226,258,0,1,0,1,0,400,24,19,342,47,2,36,42,744,226
25,265,201,0,0,0,0,0,410,43,0,289,38,7,46,49,757,265
26,248,251,0,0,0,0,0,394,25,3,202,46,3,24,27,698,248
27,194,8,0,0,0,0,0,12,29,103,293,302,385,28,55,991,194
28,189,1,0,22,0,0,0,105,24,86,255,291,287,31,85,1007,189
29,333,111,0,1,0,0,0,217,60,123,388,165,149,40,69,747,333
30,382,0,0,0,0,8,0,385,262,0,86,38,0,31,31,821,382
31,227,0,0,0,0,0,0,14,8,141,181,313,407,31,75,961,227
32,160,0,0,24,0,0,0,49,28,69,188,309,350,28,48,1042,160
33,216,233,0,0,0,1,0,405,28,0,246,69,12,28,33,763,216
34,191,9,0,0,0,0,0,4,14,39,138,309,384,35,71,1004,191
35,254,31,0,0,0,0,0,6,17,118,212,304,364,39,77,918,254
36,222,251,0,2,1,2,0,394,24,4,289,68,7,28,50,715,222
37,179,254,0,1,0,0,0,388,17,3,181,85,2,27,47,762,179
38,204,232,0,0,0,0,0,369,33,23,532,42,57,44,48,765,204
39,256,228,0,1,0,0,0,421,25,4,257,58,0,26,26,729,256
40,280,132,0,0,0,0,0,262,45,88,439,165,110,31,64,785,280
41,191,270,0,0,0,0,0,393,23,5,241,62,10,16,30,734,191
42,179,1,0,6,0,0,0,61,29,79,251,315,343,32,77,1027,179
43,178,234,0,0,0,0,0,320,15,60,665,63,71,39,46,782,178
44,343,6,0,0,0,0,0,28,36,264,276,273,360,34,93,860,343
45,238,267,0,0,0,1,0,380,31,3,246,44,4,27,28,685,238
46,185,0,0,0,0,0,0,48,11,33,155,294,348,22,65,1027,185
47,211,3,0,16,1,0,0,114,21,81,275,285,288,34,69,994,211
48,210,258,0,0,0,1,0,411,27,3,367,42,4,36,41,756,210
49,246,244,0,0,0,0,0,360,41,6,282,61,4,37,44,714,246
50,173,4,0,19,0,0,0,122,21,64,237,304,266,35,79,1013,173
51,277,138,0,0,0,0,0,240,28,107,422,141,169,38,63,784,277
52,124,0,0,14,0,0,0,82,22,34,249,305,350,37,73,1089,124
53,344,54,0,5,0,0,0,167,30,203,378,234,210,30,56,794,344
54,222,254,0,0,0,0,0,380,37,1,213,52,0,22,27,692,222
55,238,63,0,25,0,0,0,302,38,107,453,179,103,40,54,910,238
56,275,267,0,0,0,0,0,377,11,127,565,42,26,31,53,661,275
57,273,269,0,0,0,0,0,363,10,4,214,43,13,33,37,643,273
58,216,250,0,0,0,0,0,397,41,4,248,50,8,23,31,739,216
59,232,290,0,0,0,2,0,390,19,2,281,30,5,29,30,681,232
60,251,235,0,0,0,0,0,408,33,4,245,57,0,32,32,720,251
61,221,243,0,0,0,0,0,377,31,122,623,31,41,34,45,730,221
62,130,0,0,25,0,1,0,69,20,54,230,311,339,36,65,1063,130
63,214,244,0,0,0,0,0,380,28,52,575,46,0,24,43,719,214
64,193,0,0,0,0,0,0,25,13,60,164,312,357,35,80,986,193
65,250,124,0,4,0,0,0,290,35,107,482,156,92,33,59,821,250
66,207,18,0,11,0,0,0,108,33,91,286,306,257,38,80,970,207
67,357,0,0,0,0,0,0,48,19,226,244,307,358,35,75,837,357
68,252,270,0,0,0,2,0,381,16,6,209,42,7,31,31,673,252
69,177,267,0,0,0,0,0,356,20,5,223,60,11,26,50,751,177
70,206,213,0,4,0,0,0,329,39,61,522,94,74,38,61,780,206
71,266,14,0,0,0,0,0,23,21,133,244,289,359,36,72,910,266
72,241,265,0,0,0,0,0,374,18,1,172,45,2,26,37,680,241
73,243,1,0,4,0,2,0,78,11,70,188,305,300,26,55,953,243
74,220,239,0,0,0,0,0,351,23,21,398,51,10,27,38,729,220
75,226,218,0,3,0,0,0,356,36,14,368,71,18,28,31,747,226
76,223,213,0,1,0,4,0,351,42,42,509,63,46,25,37,760,223
77,292,0,0,0,0,0,0,42,27,197,264,328,345,51,87,911,292
78,242,258,0,0,0,0,0,392,22,3,232,49,9,36,47,699,242
79,230,18,0,16,0,0,0,121,20,99,271,271,290,40,80,961,230
80,210,256,0,0,0,1,0,392,30,5,316,59,2,25,30,743,210
81,211,245,0,0,0,0,0,394,29,2,353,52,4,33,56,753,211
82,131,262,0,0,0,1,0,354,31,7,487,51,42,18,27,795,131
83,258,46,0,0,0,0,0,109,116,68,280,158,287,33,78,903,258
84,248,275,0,1,0,0,0,371,10,12,181,56,14,31,61,688,248
85,235,303,0,0,0,0,0,355,22,135,546,57,11,27,54,659,235
86,203,7,0,5,0,0,0,117,19,80,341,281,297,42,85,1022,203
87,141,231,0,0,0,0,0,419,34,6,604,62,6,30,30,822,141
88,302,198,0,0,0,1,0,360,17,65,420,98,46,28,47,706,302
89,154,0,0,3,0,0,0,68,16,39,219,292,344,40,83,1051,154
90,219,241,0,3,0,4,0,361,26,1,245,64,26,39,41,760,219
91,261,242,0,0,0,3,0,370,36,6,249,66,4,33,44,706,261
92,239,208,0,0,0,0,0,406,60,9,431,49,1,30,30,761,239
93,339,17,0,0,0,0,0,17,27,204,233,314,374,33,58,843,339
94,171,6,0,0,0,0,0,49,10,49,206,311,343,49,75,1017,171
95,174,0,0,0,0,0,0,22,12,41,199,336,381,22,52,1034,174
96,231,223,0,0,0,0,0,297,29,101,548,81,80,20,32,734,231
97,220,160,0,9,0,0,0,333,33,83,493,118,57,26,42,812,220
98,170,7,0,1,0,0,0,143,25,61,380,306,257,19,39,1016,170
99,251,184,0,3,0,0,0,394,31,14,322,97,12,27,29,769,251
100,221,4,0,9,0,0,0,93,27,86,204,301,289,35,76,992,221
101,218,250,0,0,0,0,0,391,38,15,328,49,11,30,38,736,218
102,185,241,0,0,0,0,0,316,20,83,649,65,73,31,65,778,185
103,291,231,0,0,0,0,0,401,17,4,211,49,0,34,34,691,291
104,238,251,0,2,0,0,0,416,18,1,181,42,16,30,58,712,238
105,161,233,0,0,0,0,0,375,46,8,562,65,15,24,32,814,161
106,234,211,0,0,0,1,0,381,22,35,479,43,21,29,31,774,234
107,279,100,0,0,0,7,0,105,44,156,383,207,281,33,70,828,279
