Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_HighThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
1,661,90,258,266,66,625,28,205,196,2,499,470,531,282,159,0,0,0,0,0,259,28,120,466,143,130,39,75,774,282,1020.8702117397698,221.77054214435267,95.6186791923503,14.100489673320617,127.47642339011752,70.71468823013396
2,656,104,197,358,63,589,41,133,304,4,496,459,545,295,122,0,18,0,0,0,282,27,128,420,161,87,30,46,776,295,987.7047643865684,214.825789248062,85.69517774478273,12.850603277274063,24.766506459529396,7.762023060151177
3,487,86,154,501,70,432,37,89,440,8,489,501,510,267,202,0,2,0,0,0,352,37,60,326,102,51,28,38,739,267,905.0313420766638,204.161857746808,96.34234570205848,13.803337437037108,38.24465973662595,34.03582161933516
4,571,82,120,398,67,508,20,59,343,0,502,474,524,143,262,0,0,0,0,0,363,20,8,453,50,11,35,48,787,143,1069.5879556870818,231.19106251727473,84.38748328961584,12.119773002561448,3.5723748826144766,1.0270535242969034
5,599,90,496,244,71,544,38,430,188,0,513,482,505,141,0,0,0,0,0,0,24,25,50,214,326,348,35,82,1059,141,881.0525142504605,201.4374817030344,79.38294449777665,13.0492048699028,40.670581370023015,10.262224338128904
6,672,127,460,143,79,619,68,402,81,23,509,485,506,230,19,0,0,0,0,0,74,25,97,278,306,326,31,76,963,230,898.6321723912,209.11239450219327,89.5561908960379,12.079580530378394,61.15645008651167,27.55299010757987
7,310,83,100,690,65,248,27,28,619,12,493,496,511,238,252,0,0,0,0,0,392,27,0,208,40,0,28,28,696,238,1101.9675987621242,244.06013607582432,99.32309634359751,16.124187681562603,12.033081200554768,13.14807285447958
8,519,247,518,145,70,466,192,461,73,10,504,494,502,265,1,0,0,0,0,0,12,16,99,139,315,387,31,74,937,265,928.2197088688787,214.10274290789476,73.59698632387784,11.385774234074718,19.29543152256049,3.85741692567575
9,560,240,531,100,64,500,182,468,46,0,479,496,525,251,5,0,0,0,0,0,6,10,141,180,309,401,34,67,945,251,816.7677479403993,192.8344950704329,59.03040455405225,10.590272394709869,17.851849293544007,3.6049722066831134
10,328,96,146,597,67,258,35,94,544,15,523,477,500,263,266,0,0,0,2,0,349,23,8,209,47,29,32,65,683,263,1219.8441375581071,254.96323522840177,96.36564561614728,15.15613304364355,5.549948921686011,1.7674497126660573
11,276,96,94,692,62,212,31,40,632,0,508,488,504,218,280,0,0,0,0,0,381,31,0,178,34,0,28,40,697,218,1083.6669389071365,235.16342489538363,87.45048319832156,13.811186911222249,5.155523621969966,1.5815328528728414
12,504,91,151,445,66,435,30,73,391,16,503,512,485,194,243,0,0,0,0,0,368,30,25,377,44,38,22,35,751,194,1002.8937284633982,226.14162589774264,99.24991442196428,15.589684309598534,499.6709299989146,724.5330137798836
13,518,159,94,434,69,460,91,31,380,21,498,478,524,282,226,0,2,0,1,0,384,18,27,388,64,2,25,29,701,282,1055.863741101099,228.7606548793648,100.06069509789793,14.763364745584985,18.665711916152144,6.7419953172025275
14,363,89,112,614,72,302,25,60,551,17,513,482,505,224,250,0,1,0,0,0,389,17,4,255,46,13,34,47,731,224,1075.63477791073,232.9461000098871,91.76872150647509,13.289327624762372,14.428251151733006,9.68961849144719
15,422,85,132,589,60,359,35,64,525,16,497,488,515,266,212,0,0,0,0,0,384,35,6,293,66,12,38,52,733,266,1273.0693996036237,254.18808673623747,98.55991384600303,14.776094994693937,7.4997262869524155,6.690055945459393
16,570,92,439,328,64,511,32,372,267,4,492,486,522,250,7,0,7,0,0,0,77,24,115,194,307,289,34,83,936,250,958.321133076849,225.44784821515657,77.7611940585394,12.971408160627727,30.057816649616715,5.158972593146717
17,443,81,122,557,68,392,15,60,506,12,499,492,509,246,229,0,1,0,0,0,367,15,18,306,79,17,33,43,739,246,1143.461013900165,248.77451358364544,94.36255155803634,14.476858306863146,16.916310684173308,2.888740147951032
18,341,97,87,660,60,280,46,26,608,0,494,511,495,224,255,0,1,0,0,0,410,44,6,230,44,3,19,23,736,224,952.3819028529542,217.40132929848184,96.7916931751009,14.759600606835484,11.904136379876794,6.699169407654149
19,353,298,455,220,72,292,228,389,180,0,537,451,512,329,102,0,0,0,0,0,63,81,118,129,160,293,38,96,760,329,1037.7941785460507,226.72553742325226,76.70693665847719,11.986655877061581,15.0771596144864,6.883887238959691
