Run,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
1,192,0,0,16,0,153,0,0,321,0,0,0,282,22,24,1005,192
2,152,0,0,23,56,58,0,0,194,0,0,0,377,21,38,1043,152
3,216,0,0,9,131,7,0,0,97,0,0,0,374,25,51,978,216
4,181,0,0,65,185,0,0,0,10,0,0,0,377,15,34,1007,181
5,172,0,0,0,11,122,0,0,334,0,0,0,299,29,57,1050,172
6,204,0,0,16,28,48,0,14,312,0,0,0,329,16,16,998,204
7,212,0,0,7,8,146,0,0,332,0,0,0,260,30,54,977,212
8,176,0,0,8,11,34,0,0,323,0,0,0,374,18,46,1032,176
9,166,0,0,60,170,0,0,0,17,0,0,0,404,17,32,1033,166
10,163,0,0,17,15,99,0,2,314,0,0,0,313,22,32,1031,163
11,184,0,0,21,16,67,0,1,338,0,0,0,329,15,15,998,184
12,223,0,0,8,13,131,0,8,345,0,0,0,247,14,19,973,223
13,166,0,0,13,11,108,0,0,316,0,0,0,294,20,24,1035,166
14,149,0,0,10,1,117,0,0,334,0,0,0,286,28,53,1046,149
15,142,0,0,13,13,28,0,0,342,0,0,0,359,13,28,1052,142
16,202,0,0,0,18,57,0,1,363,0,0,0,347,23,69,1006,202
17,214,0,0,0,8,92,0,0,324,0,0,0,318,24,54,1004,214
18,152,0,0,13,18,20,0,7,320,0,0,0,399,12,31,1032,152
19,259,0,0,16,139,0,0,0,63,0,0,0,386,23,35,937,259
20,199,0,0,12,14,90,0,0,328,0,0,0,282,21,31,1001,199
21,239,0,0,2,41,109,0,0,284,0,0,0,281,26,59,970,239
22,159,0,0,1,10,31,0,0,314,0,0,0,383,32,52,1055,159
23,193,0,0,0,12,51,0,0,322,0,0,0,354,27,56,1007,193
24,147,0,0,6,12,29,0,1,345,0,0,0,335,22,55,1055,147
25,220,0,0,11,35,59,0,0,288,0,0,0,324,24,45,989,220
26,205,0,0,0,45,37,0,0,237,0,0,0,362,26,45,998,205
27,244,0,0,13,162,1,0,0,38,0,0,2,378,15,52,945,244
28,222,0,0,16,166,17,0,0,6,0,0,0,386,20,58,977,222
29,188,0,0,17,13,83,0,0,320,0,0,0,327,19,36,1007,188
30,169,0,0,13,15,79,0,0,338,0,0,0,312,23,31,1029,169
31,162,0,0,16,19,53,0,2,320,0,0,0,358,22,33,1038,162
32,202,0,0,2,9,21,0,0,350,0,0,0,364,23,50,986,202
33,216,0,0,13,3,156,0,0,315,0,0,0,244,28,53,1004,216
34,155,0,0,12,7,48,0,0,317,0,0,0,352,26,37,1050,155
35,173,0,0,18,8,55,0,0,352,0,0,0,355,28,48,1030,173
36,149,0,0,1,8,2,0,0,325,0,0,0,390,26,60,1058,149
37,140,0,0,30,40,34,0,0,274,0,0,0,342,23,33,1058,140
38,188,0,0,83,190,0,0,0,8,0,0,0,394,22,37,1043,188
39,267,0,0,15,8,292,0,0,324,0,0,0,113,29,47,932,267
40,197,0,0,15,21,77,0,2,320,0,0,0,298,15,24,1013,197
41,168,0,0,18,23,97,0,0,327,0,0,0,291,16,29,1038,168
