Run,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
1,193,0,0,3,10,35,0,2,332,0,0,0,368,26,70,1041,193
2,181,0,0,15,5,98,0,5,343,0,0,0,310,19,31,1019,181
3,184,0,0,66,168,0,0,2,12,0,0,0,384,21,38,1013,184
4,195,0,0,11,6,41,0,0,346,0,0,0,357,35,59,1014,195
5,236,0,0,0,33,50,0,0,253,0,0,0,340,25,61,957,236
6,208,0,0,16,11,163,0,3,347,0,0,0,220,15,18,985,208
7,197,0,0,16,19,111,0,0,357,0,0,0,290,22,27,1010,197
8,230,0,0,0,28,85,0,0,256,0,0,0,340,26,58,978,230
9,223,0,0,9,0,235,0,0,312,0,0,0,129,28,51,962,223
10,238,0,0,0,13,213,0,0,292,0,0,0,201,25,68,970,238
11,214,0,0,5,3,220,0,0,316,0,0,0,171,27,44,990,214
12,210,0,0,0,12,41,0,6,276,0,0,0,357,26,54,984,210
13,229,0,0,11,157,0,0,0,25,0,0,0,399,23,39,982,229
14,189,0,0,15,14,84,0,0,299,0,0,0,344,23,41,1023,189
15,189,0,0,20,11,104,0,0,334,0,0,0,298,17,22,1010,189
16,276,0,0,0,156,3,0,0,40,0,0,1,387,26,58,915,276
17,233,0,0,0,15,66,0,0,329,0,0,0,345,14,38,965,233
18,194,0,0,18,11,61,0,2,375,0,0,0,320,22,26,1008,194
19,209,0,0,1,10,61,0,0,315,0,0,0,331,25,63,999,209
20,240,0,0,7,158,1,0,0,13,0,0,0,420,26,54,955,240
21,232,0,0,0,19,166,0,0,343,0,0,0,232,27,56,973,232
22,185,0,0,17,23,107,0,0,295,0,0,0,302,17,29,1003,185
23,114,0,0,30,73,5,0,2,205,0,0,0,413,20,22,1091,114
24,264,0,0,3,22,194,0,3,332,0,0,0,167,31,58,933,264
25,133,0,0,16,5,126,0,5,354,0,0,0,257,23,40,1062,133
26,200,0,0,13,5,142,0,0,343,0,0,0,266,21,49,1005,200
27,201,0,0,0,10,42,0,0,310,0,0,0,368,30,57,1019,201
28,218,0,0,8,17,197,0,0,323,0,0,0,227,21,43,985,218
29,223,0,0,26,182,1,0,1,31,0,0,0,375,17,17,983,223
30,214,0,0,0,99,8,0,0,125,0,0,0,437,23,66,985,214

Statistic,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
Total,6252,0,0,326,1295,2660,0,31,7833,0,0,1,9355,701,1357,29819,6252
Mean,208.40,0.00,0.00,10.87,43.17,88.67,0.00,1.03,261.10,0.00,0.00,0.03,311.83,23.37,45.23,993.97,208.40
Std,32.18,0.00,0.00,13.25,57.72,72.79,0.00,1.72,116.47,0.00,0.00,0.18,79.37,4.69,15.54,34.95,32.18
Min,114,0,0,0,0,0,0,0,12,0,0,0,129,14,17,915,114
Max,276,0,0,66,182,235,0,6,375,0,0,1,437,35,70,1091,276
