Run,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
1,837,0,0,1,62,206,0,179,109,264,12,76,102,110,206,663,837
2,770,0,0,20,53,195,0,222,100,291,15,97,98,93,187,730,770
3,864,0,0,3,50,185,0,185,115,283,7,97,102,101,225,636,864
4,890,0,0,0,55,196,0,209,90,291,6,90,89,103,203,610,890
5,703,0,0,33,52,199,0,191,88,281,5,101,92,100,203,797,703
6,755,0,0,29,40,177,0,201,115,291,7,94,87,111,205,745,755
7,853,0,0,2,31,209,0,212,111,281,7,89,94,94,206,647,853
8,789,0,0,11,48,187,0,199,113,303,12,98,105,110,211,711,789
9,763,0,0,25,49,214,0,186,100,302,22,114,88,92,191,737,763
10,864,0,0,1,52,199,0,206,85,299,14,98,105,80,182,636,864
11,841,0,0,20,59,186,0,222,87,328,5,109,102,85,196,659,841
12,813,0,0,16,57,185,0,209,106,290,23,93,92,98,184,687,813
13,765,0,0,22,46,197,0,195,104,291,18,106,96,95,213,735,765
14,886,0,0,0,62,178,0,195,113,310,2,101,94,79,187,614,886
15,856,0,0,6,53,201,0,186,88,298,5,105,87,105,210,644,856
16,740,0,0,14,46,221,0,196,90,279,14,91,118,104,193,760,740
17,736,0,0,17,41,193,0,183,94,286,10,106,115,101,204,764,736
18,766,0,0,18,55,199,0,184,118,286,1,98,106,88,208,734,766
19,717,0,0,31,43,195,0,184,106,287,18,107,105,87,185,783,717
20,774,0,0,23,44,214,0,213,88,281,7,101,95,84,187,726,774
21,906,0,0,6,48,192,0,186,89,337,11,119,85,82,177,594,906
22,831,0,0,4,53,203,0,174,99,289,7,102,105,111,220,669,831
23,739,0,0,15,51,199,0,186,91,276,26,103,92,88,175,761,739
24,846,0,0,6,50,196,0,199,99,287,24,94,90,99,209,654,846
25,850,0,0,2,51,204,0,179,111,266,15,91,101,106,211,650,850
26,723,0,0,30,50,203,0,206,127,268,15,91,101,91,168,777,723
27,828,0,0,8,48,177,0,211,120,296,18,108,103,102,214,672,828
28,858,0,0,4,61,186,0,225,82,309,0,102,98,97,203,642,858
29,788,0,0,11,52,205,0,187,119,262,6,79,116,103,192,712,788
