Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_HighThreat_2

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
1,543,249,513,124,64,511,492,497,305,7,0,0,0,0,0,21,12,166,146,328,383,35,78,891,305
2,564,76,367,360,69,524,466,510,317,64,0,0,0,0,0,137,21,148,244,268,238,34,58,827,317
3,667,76,312,291,64,525,486,489,275,90,0,18,0,0,0,209,11,175,377,227,179,38,75,824,275
4,419,82,100,576,67,493,470,537,275,256,0,0,0,0,0,384,25,0,321,24,4,31,39,686,275
5,574,225,498,141,62,487,500,513,268,0,0,0,0,0,0,38,10,130,187,319,365,31,73,935,268
6,445,133,108,478,68,513,500,487,270,268,0,0,0,1,0,390,26,11,318,52,7,28,39,648,270
7,704,93,226,209,65,506,508,486,166,203,0,0,0,0,0,303,42,41,546,98,108,36,56,843,166
8,456,90,88,574,71,497,491,512,237,221,0,7,0,1,0,400,24,13,326,63,1,29,29,764,237
9,628,97,150,280,62,504,505,491,174,283,0,0,0,0,0,364,34,35,492,37,41,21,34,742,174
10,599,233,457,107,73,500,516,484,195,31,0,0,0,0,0,92,20,84,246,295,326,32,61,973,195
11,858,83,103,126,59,494,485,521,208,271,0,0,0,1,0,385,31,117,642,44,4,23,33,738,208
12,679,133,463,168,57,507,458,535,195,0,0,1,0,0,0,31,15,67,271,315,341,32,63,1009,195
13,636,123,493,145,62,531,463,506,208,41,0,0,0,0,0,5,15,117,269,286,369,41,76,957,208
