Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_LowThreat_2

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
1,435,82,492,416,75,393,1,432,357,12,511,492,497,48,0,0,0,3,1,0,281,0,11,354,34,119,268,313,1147,48
2,828,74,270,264,64,768,21,202,202,0,493,479,528,174,0,0,0,0,0,0,326,17,143,491,201,59,120,143,1019,174
3,878,88,115,349,70,806,32,65,288,15,471,506,523,95,0,0,1,4,0,0,396,27,6,497,307,17,11,48,1111,95
4,864,379,96,90,71,803,311,38,29,0,479,502,519,225,0,0,0,0,0,0,409,8,113,466,336,0,16,38,956,225
5,760,339,122,219,60,686,279,59,153,13,433,542,525,257,0,0,0,0,1,0,422,10,76,479,186,0,28,59,933,257
6,875,64,161,336,64,817,5,110,270,4,539,489,472,221,0,0,0,0,0,0,355,4,130,547,175,31,59,79,985,221
7,530,76,102,731,61,468,0,52,677,5,517,485,498,154,0,0,0,0,1,0,395,0,3,340,127,2,17,50,1048,154
8,767,97,198,375,63,716,28,144,305,6,534,465,501,74,0,0,7,0,3,0,364,11,13,439,275,1,132,143,1125,74
9,1142,84,106,100,68,1078,20,49,48,0,510,492,498,210,0,0,0,0,0,0,379,20,194,633,366,0,29,49,985,210
10,465,71,393,495,76,408,11,332,445,0,511,488,501,182,0,0,0,0,3,0,304,3,10,351,47,93,197,239,1014,182
11,482,74,114,769,61,430,9,54,706,0,493,500,507,168,0,0,0,0,1,0,384,0,1,360,69,13,17,41,1031,168
12,812,177,114,320,77,762,110,60,257,3,511,516,473,138,0,0,1,0,4,0,395,18,49,471,281,2,30,58,1054,138
13,912,369,98,56,65,850,312,29,0,1,495,519,486,238,0,0,0,0,0,0,421,8,117,487,363,0,13,29,954,238
14,701,356,308,75,60,638,287,250,13,2,500,506,494,212,0,0,0,2,0,0,278,0,100,336,300,119,91,131,978,212
15,908,78,355,95,64,858,16,309,21,9,504,514,482,159,0,0,0,4,0,0,289,4,150,502,262,119,148,190,1054,159
16,840,81,165,344,70,770,39,115,279,8,535,471,494,53,0,0,6,6,4,0,358,25,21,441,327,20,68,95,1158,53
17,774,408,182,75,61,730,340,126,0,4,474,489,537,216,0,0,0,1,0,0,400,9,73,475,255,0,103,126,984,216
18,1157,105,91,79,68,1099,46,36,10,1,503,460,537,235,0,0,0,0,0,0,376,11,214,665,352,0,23,36,957,235
19,652,72,126,567,83,598,10,62,521,0,520,515,465,121,0,0,0,0,2,0,402,8,4,466,132,0,50,62,1070,121
20,473,336,558,61,72,417,276,495,2,2,511,476,513,145,0,0,0,0,1,0,235,3,33,312,104,146,304,349,1047,145
21,635,95,139,571,60,576,23,87,494,4,521,470,509,124,0,0,2,2,2,0,350,2,3,408,168,22,28,65,1060,124
22,379,68,618,377,58,326,7,550,303,7,492,490,518,95,0,0,0,4,0,0,219,2,13,268,58,167,339,383,1098,95
23,430,98,608,302,62,362,34,533,256,7,482,502,516,109,0,0,0,0,1,0,233,7,35,300,38,162,326,371,1083,109
24,1074,68,113,192,53,1011,4,53,122,4,469,539,492,59,0,0,0,0,0,0,408,2,24,747,240,9,16,44,1135,59
25,864,51,375,142,68,804,6,313,71,4,480,500,520,190,0,0,0,0,0,0,276,3,153,510,201,129,142,184,1008,190
26,926,66,372,64,72,881,3,320,8,3,483,514,503,158,0,0,0,0,0,0,331,3,153,578,206,101,167,219,1057,158
27,463,161,171,632,73,390,110,101,578,11,518,465,517,189,0,0,0,3,0,0,315,0,6,287,97,56,18,45,1001,189
28,864,189,341,46,60,796,139,273,0,15,517,481,502,167,0,0,0,6,0,0,347,6,99,531,211,50,188,223,1056,167
29,512,66,175,689,58,453,9,113,631,2,490,493,517,123,0,0,1,1,0,0,327,9,7,327,126,64,38,49,1085,123
30,941,54,328,109,68,889,1,277,39,6,496,511,493,206,0,0,0,0,0,0,312,0,206,522,275,96,135,181,1006,206
31,775,315,156,182,72,704,253,107,118,2,512,476,512,200,0,0,0,2,0,0,349,9,98,415,289,34,60,73,984,200
32,983,53,316,74,74,937,0,246,11,0,495,529,476,225,0,0,0,0,0,0,313,0,223,547,300,106,96,140,969,225
33,761,69,288,313,69,704,1,233,263,5,491,495,514,161,0,0,1,5,0,0,331,0,119,417,258,63,128,170,1045,161
34,709,70,360,285,76,650,8,290,239,0,506,474,520,180,0,0,0,0,0,0,294,0,117,387,235,85,162,205,1007,180
35,742,75,145,470,68,691,21,84,415,6,524,478,498,168,0,0,1,1,1,0,356,18,74,439,247,29,31,55,1049,168
36,1003,96,282,60,59,955,29,217,6,0,517,476,507,197,0,0,0,0,0,0,315,26,183,584,288,69,107,148,1010,197
37,484,73,193,682,68,430,17,119,619,3,508,500,492,156,0,0,0,3,6,0,320,1,3,321,107,78,24,41,1032,156
38,907,148,133,242,70,842,87,82,183,0,475,537,488,191,0,0,0,0,0,0,411,20,86,524,307,22,9,60,1003,191
39,666,379,110,281,64,612,295,66,216,4,517,495,488,147,0,0,0,0,0,0,389,4,4,456,156,3,32,63,1046,147
40,875,69,402,99,55,824,12,328,40,2,488,538,474,186,0,0,0,2,0,0,340,0,165,553,188,85,208,243,1020,186
41,968,94,97,275,66,904,38,45,203,15,447,544,509,182,0,0,0,1,0,0,435,27,92,649,190,8,17,37,1023,182
42,718,85,196,434,67,658,12,134,383,8,495,494,511,151,0,0,1,6,0,0,363,5,40,425,232,29,81,105,1044,151
43,849,76,194,308,73,780,13,136,242,20,474,487,539,123,0,0,3,0,2,0,382,4,58,502,237,0,124,136,1068,123
44,688,332,321,95,64,623,279,256,44,0,486,516,498,193,0,0,0,0,0,0,326,2,84,394,228,79,138,177,1009,193
45,649,274,187,318,72,587,218,123,266,2,516,493,491,137,0,0,0,0,3,0,328,4,5,451,132,69,26,54,1059,137
46,831,69,403,136,61,769,5,356,68,13,486,507,507,164,0,0,0,0,0,0,296,0,124,502,194,111,197,245,1047,164
47,614,301,122,399,64,550,244,58,339,5,492,528,480,214,0,0,0,4,8,0,396,9,10,420,127,12,28,46,982,214
48,966,277,121,70,66,909,208,62,16,2,499,487,514,293,0,0,0,1,0,0,388,8,177,528,348,0,41,62,904,293
49,682,334,111,304,69,626,267,54,259,3,507,473,520,224,0,0,0,0,3,0,356,23,20,453,166,7,20,47,985,224
50,712,267,326,138,57,653,195,270,68,4,485,488,527,185,0,0,2,2,0,0,310,0,115,390,234,82,151,188,1005,185
51,430,99,630,276,65,374,33,561,214,4,514,491,495,101,0,0,0,2,0,0,199,6,35,284,58,184,333,377,1085,101
52,834,40,203,361,62,787,0,135,301,3,506,500,494,216,0,0,0,1,0,0,344,0,144,580,65,50,61,85,1010,216
53,844,358,108,132,58,784,299,46,57,11,502,493,505,248,0,0,0,4,0,0,400,10,118,476,306,0,27,46,949,248
54,526,60,222,629,63,460,7,164,567,4,489,475,536,141,0,0,1,4,0,0,280,1,0,350,110,98,39,66,1061,141
55,679,105,117,527,72,617,46,55,473,15,526,469,505,114,0,0,0,1,1,0,382,0,0,430,187,4,39,51,1092,114
56,354,89,491,500,66,288,40,428,433,5,494,503,503,144,0,0,2,0,6,0,236,0,2,267,19,158,235,270,1050,144
57,629,66,554,178,73,572,10,489,120,9,495,515,490,95,0,0,0,5,0,0,277,7,64,470,38,149,301,340,1105,95
58,822,345,194,69,70,757,278,136,10,13,485,498,517,223,0,0,0,0,0,0,390,2,118,477,280,0,103,136,971,223
59,637,81,438,275,69,571,8,375,212,16,485,485,530,136,0,0,0,0,0,0,258,4,68,408,134,124,191,251,1046,136
