Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_LowThreat_2

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
1,70,150,466,495,319,13,98,409,435,265,485,511,504,116,0,0,32,175,54,0,18,68,2,5,6,342,62,67,1104,116
2,93,340,504,100,463,24,280,452,38,400,490,488,522,257,0,0,3,54,23,0,2,254,6,6,16,365,35,87,937,257
3,71,116,386,485,442,14,53,332,429,371,467,528,505,94,0,0,28,251,70,0,19,41,1,6,7,325,6,7,1105,94
4,164,478,279,498,81,99,419,214,441,16,493,495,512,140,0,0,72,6,131,0,111,296,41,55,5,152,58,62,1049,140
5,75,272,408,514,231,23,228,355,455,167,499,463,538,104,0,0,31,119,16,0,14,214,6,7,10,337,17,18,1124,104
6,67,542,291,455,145,15,469,229,396,84,493,514,493,126,0,0,22,61,169,0,14,293,6,4,5,221,8,8,1067,126
7,69,112,579,469,271,12,59,513,410,201,516,501,483,94,0,0,23,95,60,0,14,45,2,3,8,330,183,183,1101,94
8,61,231,297,825,86,9,171,239,755,25,524,484,492,155,0,0,44,20,122,0,41,54,3,4,5,227,9,12,1044,155
9,100,318,234,387,461,29,263,180,322,398,505,465,530,199,0,0,34,163,185,0,32,82,13,5,24,154,26,26,993,199
10,78,209,228,463,522,11,156,159,412,456,500,502,498,252,0,0,18,172,254,0,8,135,3,2,6,135,6,24,942,252
11,79,258,417,440,306,12,200,351,399,241,540,471,489,129,0,0,18,189,47,0,11,129,2,7,3,318,14,33,1074,129
12,73,367,392,513,155,11,308,332,452,92,480,497,523,120,0,0,16,59,86,0,15,226,4,5,3,307,24,25,1075,120
13,72,339,264,508,317,6,300,197,450,270,492,485,523,193,0,0,18,51,195,0,12,295,2,3,2,189,7,8,1030,193
14,52,597,307,232,312,3,531,248,174,247,489,489,522,137,0,0,21,153,148,0,6,157,0,2,1,239,1,9,1066,137
15,83,256,343,391,427,21,190,284,334,365,472,485,543,137,0,0,17,213,106,0,21,51,9,6,7,257,12,27,1057,137
16,69,220,313,500,398,18,182,249,421,334,482,485,533,82,0,0,20,188,143,0,3,123,4,4,14,240,7,9,1122,82
17,84,166,281,509,460,17,112,218,453,407,508,488,504,143,0,0,33,265,164,0,17,15,3,5,10,209,5,9,1064,143
18,75,86,280,525,534,15,30,222,466,475,502,500,498,174,0,0,20,227,201,0,14,20,6,3,12,192,19,30,1034,174
19,72,394,333,490,211,13,331,282,423,142,481,506,513,130,0,0,23,63,130,0,9,264,3,3,8,265,6,17,1061,130
20,57,373,415,511,144,14,304,350,433,91,498,482,520,114,0,0,19,62,40,0,6,249,4,5,8,342,4,8,1078,114
21,89,437,398,497,79,37,377,326,434,22,500,482,518,121,0,0,21,14,50,0,45,326,13,17,9,286,16,40,1075,121
22,95,86,311,552,456,27,27,238,492,397,503,483,514,128,0,0,31,197,140,0,17,22,5,5,19,215,13,23,1053,128
23,69,453,266,476,236,11,392,194,416,173,478,515,507,170,0,0,26,6,256,0,10,265,0,5,6,156,37,38,1016,170
24,87,244,319,510,340,28,186,260,451,269,451,509,540,107,0,0,34,159,154,0,15,75,12,3,22,227,10,33,1087,107
25,70,377,239,479,335,21,301,176,414,284,483,535,482,130,0,0,26,145,224,0,25,167,9,12,0,161,12,15,1066,130
26,53,617,222,491,117,4,550,170,423,46,507,489,504,232,0,0,12,28,229,0,5,322,0,0,4,153,6,17,961,232
27,72,418,371,433,206,12,347,305,378,139,519,500,481,119,0,0,20,87,88,0,25,257,0,6,6,287,10,18,1062,119
28,78,482,273,510,157,12,423,208,445,107,463,503,534,187,0,0,18,81,213,0,2,222,4,1,11,175,22,33,1008,187
29,81,118,175,1061,65,9,56,106,1004,9,496,468,536,231,0,0,111,7,14,0,242,39,2,0,9,95,5,11,953,231
30,116,479,533,104,268,54,435,466,34,222,464,524,512,133,0,0,0,163,48,0,11,118,21,30,7,360,60,106,1078,133
31,90,381,341,614,74,24,326,293,541,13,507,484,509,90,0,0,38,0,103,0,21,233,15,0,24,263,15,30,1107,90
32,274,94,373,676,83,211,37,315,617,21,507,489,504,148,0,0,114,3,35,0,92,13,99,8,199,261,21,54,1053,148
33,80,281,299,492,348,17,230,243,428,284,510,494,496,159,0,0,26,132,144,0,13,202,5,1,16,240,3,3,1043,159
34,63,345,362,525,205,8,278,312,459,144,506,497,497,134,0,0,30,41,96,0,23,264,0,5,3,271,19,41,1067,134
35,91,176,421,636,176,17,123,357,568,126,489,494,517,82,0,0,7,43,108,0,9,49,1,16,1,281,19,76,1109,82
36,90,671,214,444,81,24,601,150,383,35,509,507,484,146,0,0,20,27,289,0,13,315,5,9,13,99,19,51,1047,146
37,81,111,488,458,362,17,57,422,398,308,477,527,496,154,0,0,16,156,32,0,14,25,2,9,7,363,27,59,1048,154
38,82,354,405,494,165,22,281,350,436,108,456,513,531,52,0,0,26,72,54,0,12,245,4,9,10,340,10,10,1145,52
39,58,248,361,584,249,3,196,298,523,180,483,494,523,115,0,0,20,49,128,0,5,193,0,0,3,256,11,42,1085,115
40,62,161,480,496,301,8,96,420,437,239,504,483,513,67,0,0,29,129,106,0,13,55,0,4,4,267,153,153,1133,67
41,60,490,317,514,119,9,428,234,451,64,489,509,502,153,0,0,51,48,140,0,51,282,2,3,5,204,14,30,1033,153
42,81,378,206,682,153,29,316,144,618,109,516,502,482,151,0,0,31,65,262,0,30,64,13,13,4,104,10,40,1065,151
43,81,86,223,515,595,21,27,166,445,529,486,501,513,227,0,0,26,199,237,0,11,25,5,3,17,162,4,4,961,227
44,79,432,317,527,145,12,372,268,471,99,509,491,500,93,0,0,21,18,160,0,18,291,0,8,4,230,18,38,1129,93
45,65,410,202,727,96,5,348,140,652,44,490,503,507,225,0,0,2,30,288,0,3,26,0,3,2,89,15,51,931,225
46,72,266,355,502,305,11,207,299,434,239,475,517,508,66,0,0,26,135,119,0,16,157,2,3,8,287,8,12,1124,66
47,198,251,388,578,85,129,203,330,509,28,502,489,509,106,0,0,96,11,65,0,16,148,66,2,127,311,19,19,1093,106
48,76,68,260,528,568,22,18,206,459,506,530,464,506,147,0,0,33,285,169,0,10,14,2,4,17,191,14,15,1064,147
49,75,459,150,433,383,12,405,99,363,325,484,516,500,158,0,0,18,27,320,0,15,301,3,1,11,92,7,7,1046,158
50,84,283,336,448,349,19,232,276,398,289,500,518,482,138,0,0,20,209,148,0,13,82,7,5,9,248,14,28,1076,138
51,62,120,480,484,354,4,70,428,434,286,420,540,540,145,0,0,18,206,38,0,16,18,0,0,4,387,13,41,1077,145
52,68,318,422,551,141,9,260,359,487,83,487,486,527,110,0,0,20,61,53,0,7,211,1,3,5,324,12,35,1088,110
53,74,455,308,237,426,9,389,253,171,375,487,516,497,168,0,0,26,212,181,0,3,52,2,0,9,225,17,28,1029,168
54,72,332,402,463,231,14,276,338,402,177,513,485,502,116,0,0,18,98,66,0,19,213,0,5,9,304,15,34,1091,116
55,92,458,325,515,110,32,398,260,448,48,475,496,529,139,0,0,29,21,108,0,28,306,11,15,7,256,3,4,1047,139
56,74,242,273,486,425,9,185,206,422,367,497,490,513,145,0,0,23,134,180,0,11,166,1,3,6,198,8,8,1044,145
57,60,238,277,530,395,5,171,218,469,328,519,439,542,220,0,0,11,244,169,0,7,13,1,1,4,171,18,47,971,220
58,67,395,342,487,209,9,341,275,423,160,484,508,508,199,0,0,20,15,147,0,5,339,5,0,6,261,5,14,1009,199
59,83,137,428,650,202,18,67,376,593,149,500,498,502,153,0,0,32,72,57,0,28,12,7,3,14,329,18,47,1050,153
60,55,198,296,844,107,9,145,217,786,46,503,487,510,122,0,0,65,24,20,0,164,145,1,7,1,202,8,15,1004,122
61,67,161,285,367,620,9,96,229,309,548,504,493,503,165,0,0,18,244,151,0,36,54,2,4,5,208,6,21,1026,165
62,74,406,190,479,351,13,356,140,409,288,483,528,489,180,0,0,13,5,285,0,17,350,0,11,2,118,12,22,1026,180
63,77,466,365,521,71,15,400,305,452,22,482,506,512,145,0,0,54,16,65,0,41,317,3,4,11,300,1,5,1049,145
64,76,365,177,518,364,10,301,120,461,305,491,507,502,326,0,0,26,175,276,0,22,44,0,2,8,105,15,15,870,326
65,68,339,205,778,110,6,271,142,727,48,481,505,514,230,0,0,110,37,12,0,285,262,1,1,4,121,19,21,964,230
66,76,421,420,431,152,7,370,364,377,89,509,515,476,127,0,0,20,16,96,0,15,308,1,1,5,309,27,55,1080,127
67,65,390,330,551,164,15,332,269,498,98,526,467,507,77,0,0,26,43,89,0,32,279,0,3,12,259,5,10,1135,77
68,77,384,352,509,178,24,324,296,454,108,503,477,520,150,0,0,28,85,103,0,16,223,7,9,8,262,18,34,1056,150
69,80,82,203,545,590,13,29,148,471,528,504,475,521,205,0,0,20,197,274,0,4,19,3,4,8,101,24,47,982,205
70,65,363,337,657,78,14,298,285,603,13,494,487,519,144,0,0,31,10,79,0,30,200,1,10,3,279,6,6,1069,144
71,67,67,186,496,684,11,10,119,428,620,484,491,525,252,0,0,22,239,304,0,9,3,1,6,4,84,19,35,936,252
72,69,395,140,582,314,14,321,92,524,260,497,491,512,135,0,0,20,41,292,0,30,245,0,7,7,69,10,23,1076,135
73,77,81,148,526,668,10,29,90,469,604,457,515,528,143,0,0,22,214,330,0,12,24,1,5,4,73,10,17,1059,143
74,74,529,329,447,121,18,460,264,390,63,486,496,518,148,0,0,21,24,134,0,15,306,5,7,6,236,20,28,1047,148
