Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_ModerateThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
1,69,83,241,514,593,14,22,185,457,522,485,486,529,146,0,0,21,253,195,0,13,14,2,3,11,176,9,9,1054,146
2,183,184,427,576,130,114,121,374,533,69,509,501,490,113,0,0,86,47,22,0,23,108,52,1,113,345,13,29,1098,113
3,85,398,194,577,246,13,329,133,532,182,466,502,532,132,0,0,23,115,278,0,8,78,3,1,9,106,11,27,1057,132
4,78,188,365,431,438,9,142,295,374,370,509,503,488,157,0,0,20,220,132,0,3,66,0,0,9,268,7,27,1033,157
5,77,369,284,500,270,13,305,229,450,200,481,465,554,155,0,0,21,143,160,0,23,147,0,13,0,187,17,42,1042,155
6,56,683,258,221,282,2,615,202,166,223,493,509,498,233,0,0,12,167,213,0,16,156,0,0,2,190,12,12,975,233
7,76,505,398,240,281,26,458,338,180,215,526,488,486,178,0,0,0,140,94,0,47,106,7,11,11,263,27,75,1039,178
8,67,411,375,502,145,17,347,305,426,98,493,493,514,107,0,0,32,19,97,0,1,317,5,0,17,296,7,9,1086,107
9,87,124,180,487,622,18,60,113,428,570,501,500,499,153,0,0,21,236,282,0,20,30,4,4,11,91,12,22,1036,153
10,75,331,315,532,247,19,260,262,467,195,458,525,517,134,0,0,16,102,157,0,13,149,3,8,9,243,9,19,1069,134
11,71,63,152,506,708,14,11,84,441,643,496,483,521,271,0,0,26,257,319,0,3,1,2,0,14,71,1,13,922,271
12,64,358,417,301,360,8,300,356,228,312,480,523,497,165,0,0,20,113,88,0,8,186,0,0,8,329,7,27,1039,165
13,79,108,232,487,594,17,48,168,446,539,492,486,522,246,0,0,23,221,246,0,22,42,3,5,12,140,14,28,972,246
14,53,205,163,505,574,4,145,112,437,516,500,482,518,254,0,0,17,199,275,0,26,130,3,1,1,96,8,16,960,254
15,91,544,276,499,90,25,488,209,448,19,530,465,505,87,0,0,26,10,154,0,33,337,1,15,9,181,12,28,1102,87
16,86,236,142,547,489,24,174,87,492,422,494,501,505,89,0,0,38,121,302,0,46,144,2,7,17,39,48,48,1110,89
17,71,411,227,505,286,3,351,167,428,237,471,495,534,223,0,0,28,17,206,0,17,313,0,1,2,163,4,4,963,223
18,60,580,289,470,101,2,521,237,403,42,497,506,497,163,0,0,24,20,172,0,7,325,1,0,1,228,6,9,1042,163
19,87,410,348,457,198,22,350,296,395,130,480,509,511,114,0,0,38,95,101,0,32,221,11,6,12,283,13,13,1079,114
20,76,211,451,403,359,5,138,386,339,305,511,502,487,139,0,0,14,197,37,0,9,70,2,0,3,354,14,32,1034,139
21,107,231,313,533,316,44,178,250,471,257,498,490,512,135,0,0,50,109,129,0,55,172,13,13,22,213,11,37,1065,135
22,82,465,140,447,366,10,394,77,395,310,494,463,543,189,0,0,20,119,255,0,25,175,1,3,7,72,4,5,997,189
23,96,348,354,321,381,21,299,295,254,319,483,516,501,170,0,0,30,218,61,0,44,69,3,7,13,288,6,7,1018,170
24,84,485,223,563,145,16,427,176,493,87,518,492,490,120,0,0,39,66,165,0,67,254,1,6,9,172,4,4,1079,120
25,71,345,373,465,246,10,290,327,396,191,492,510,498,127,0,0,15,56,124,0,11,290,3,3,6,281,13,46,1087,127
26,77,416,393,495,119,5,347,342,447,65,476,530,494,114,0,0,25,49,67,0,37,282,0,5,0,328,8,14,1092,114
27,76,357,240,473,354,15,310,183,411,279,494,511,495,201,0,0,8,4,283,0,10,287,2,3,12,115,23,68,997,201
28,60,268,318,484,370,7,206,261,419,306,484,487,529,114,0,0,20,131,152,0,6,180,2,3,3,231,9,30,1085,114
29,48,124,417,521,390,0,59,358,452,336,473,486,541,154,0,0,18,197,56,0,17,47,0,0,0,321,11,37,1051,154
30,77,381,287,629,126,19,323,236,558,62,508,489,503,181,0,0,88,43,50,0,135,276,3,5,13,205,10,31,1017,181
31,60,305,248,506,381,0,244,199,457,322,489,515,496,159,0,0,28,102,215,0,45,223,0,0,0,161,23,38,1063,159
