Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,Random_NB_HighThreat_2

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
1,296,285,332,292,295,296,285,332,292,295,485,493,522,842,0,0,2,47,191,0,196,90,289,7,94,106,116,226,658,842
2,330,289,288,318,275,330,289,288,318,275,492,481,527,856,0,0,12,40,189,0,195,93,312,15,116,97,89,191,644,856
3,286,285,297,328,304,286,285,297,328,304,500,506,494,720,0,0,35,48,203,0,201,87,276,8,101,102,108,195,780,720
4,307,305,316,293,279,307,305,316,293,279,503,510,487,697,0,0,39,45,206,0,191,103,295,11,102,113,101,203,803,697
5,300,300,296,298,306,300,300,296,298,306,502,504,494,725,0,0,33,54,215,0,198,101,294,4,110,91,89,205,775,725
6,300,296,325,260,319,300,296,325,260,319,478,504,518,669,0,0,30,55,206,0,189,96,290,8,98,109,102,216,831,669
7,303,299,280,303,315,303,299,280,303,315,524,481,495,720,0,0,36,63,192,0,184,109,281,21,101,105,86,175,780,720
8,291,309,301,299,300,291,309,301,299,300,502,492,506,839,0,0,4,51,202,0,200,95,286,3,104,90,111,211,661,839
9,311,319,279,301,290,311,319,279,301,290,483,499,518,838,0,0,6,53,198,0,209,100,302,8,99,92,95,187,662,838
10,282,313,315,283,307,282,313,315,283,307,465,523,512,791,0,0,9,53,200,0,213,91,275,6,93,110,90,205,709,791
11,292,289,337,277,305,292,289,337,277,305,496,465,539,714,0,0,33,54,169,0,184,97,278,11,88,112,108,225,786,714
12,307,302,319,291,281,307,302,319,291,281,480,487,533,855,0,0,3,47,168,0,208,94,296,11,95,111,104,208,645,855
13,284,322,310,314,270,284,322,310,314,270,504,473,523,853,0,0,0,50,186,0,190,109,273,11,96,97,102,213,647,853
14,285,307,345,296,267,285,307,345,296,267,506,481,513,860,0,0,0,53,174,0,194,105,277,7,96,113,110,232,640,860
15,275,335,298,297,295,275,335,298,297,295,462,524,514,726,0,0,22,44,208,0,225,105,269,5,89,91,98,207,774,726
16,281,295,314,305,305,281,295,314,305,305,470,499,531,808,0,0,11,43,197,0,197,98,271,9,94,105,91,209,692,808
17,277,317,285,321,300,277,317,285,321,300,501,507,492,845,0,0,5,48,231,0,195,103,267,9,86,81,97,204,655,845
18,292,315,286,324,283,292,315,286,324,283,500,504,496,696,0,0,40,39,194,0,205,108,269,22,92,105,89,181,804,696
19,302,322,290,295,291,302,322,290,295,291,489,509,502,824,0,0,10,47,197,0,212,107,292,8,101,100,97,190,676,824
20,309,303,277,297,314,309,303,277,297,314,532,485,483,879,0,0,1,58,202,0,193,102,303,5,110,90,107,187,621,879
21,280,314,300,312,294,280,314,300,312,294,494,479,527,854,0,0,1,47,200,0,188,97,273,5,100,91,98,209,646,854
22,308,293,288,297,314,308,293,288,297,314,496,509,495,819,0,0,11,53,213,0,197,87,288,19,94,99,100,189,681,819
23,284,296,307,306,307,284,296,307,306,307,510,529,461,722,0,0,26,54,213,0,197,98,275,8,90,119,96,188,778,722
24,284,270,315,341,290,284,270,315,341,290,473,515,512,717,0,0,35,45,196,0,214,88,280,3,89,105,110,210,783,717
25,310,295,272,320,303,310,295,272,320,303,471,495,534,855,0,0,1,51,197,0,206,91,286,24,88,92,84,180,645,855
26,296,274,316,328,286,296,274,316,328,286,495,498,507,770,0,0,24,47,186,0,205,88,288,6,103,107,112,209,730,770
27,298,304,265,318,315,298,304,265,318,315,497,516,487,761,0,0,6,55,205,0,208,95,284,11,92,103,90,162,739,761
28,294,302,284,301,319,294,302,284,301,319,466,480,554,886,0,0,0,53,199,0,193,103,288,5,92,88,92,196,614,886
29,315,292,276,324,293,315,292,276,324,293,489,488,523,874,0,0,1,46,199,0,205,97,292,19,104,84,88,192,626,874
30,282,313,280,320,305,282,313,280,320,305,466,492,542,729,0,0,27,47,199,0,204,109,273,8,88,89,86,191,771,729
31,302,318,287,292,301,302,318,287,292,301,519,493,488,771,0,0,29,42,196,0,181,118,289,12,113,116,88,171,729,771
32,291,293,299,279,338,291,293,299,279,338,501,500,499,772,0,0,17,63,204,0,202,103,278,13,106,94,92,205,728,772
33,321,295,316,273,295,321,295,316,273,295,526,494,480,836,0,0,5,49,183,0,209,112,297,23,105,102,119,214,664,836
34,300,321,316,284,279,300,321,316,284,279,489,478,533,852,0,0,0,44,180,0,196,123,290,10,86,102,102,214,648,852
35,315,281,332,287,285,315,281,332,287,285,500,463,537,772,0,0,18,44,166,0,187,87,292,23,93,110,121,222,728,772
36,312,283,289,312,304,312,283,289,312,304,467,491,542,764,0,0,20,46,206,0,195,86,304,8,109,90,95,199,736,764
37,306,296,319,291,288,306,296,319,291,288,529,482,489,733,0,0,30,59,199,0,192,93,300,5,114,91,117,228,767,733
38,283,312,304,266,335,283,312,304,266,335,504,486,510,722,0,0,27,53,235,0,166,93,280,2,112,85,107,219,778,722
39,299,277,312,329,283,299,277,312,329,283,502,487,511,881,0,0,0,43,167,0,220,114,286,11,90,100,104,212,619,881
40,296,310,309,293,292,296,310,309,293,292,484,521,495,714,0,0,33,44,220,0,204,103,284,12,91,97,109,212,786,714
41,303,288,303,310,296,303,288,303,310,296,493,507,500,748,0,0,40,52,192,0,230,95,294,9,88,85,108,218,752,748
42,302,309,302,309,278,302,309,302,309,278,503,519,478,760,0,0,18,43,200,0,217,104,289,12,98,102,107,200,740,760
43,299,288,304,302,307,299,288,304,302,307,548,481,471,874,0,0,0,56,187,0,195,100,296,3,112,99,114,205,626,874
44,289,314,320,283,294,289,314,320,283,294,504,490,506,818,0,0,6,44,211,0,173,103,284,5,97,106,115,214,682,818
45,319,329,268,285,299,319,329,268,285,299,501,476,523,768,0,0,16,58,197,0,193,104,299,20,103,86,93,182,732,768
46,334,309,294,281,282,334,309,294,281,282,479,513,508,768,0,0,30,41,210,0,204,92,315,18,106,99,100,195,732,768
47,296,297,303,311,293,296,297,303,311,293,473,506,521,885,0,0,0,51,206,0,206,83,287,8,99,94,95,209,615,885
48,300,317,301,303,279,300,317,301,303,279,496,470,534,845,0,0,0,37,183,0,201,110,284,14,98,86,102,215,655,845
49,290,315,312,288,295,290,315,312,288,295,483,525,492,741,0,0,24,42,235,0,189,77,286,4,115,101,120,211,759,741
50,300,306,279,296,319,300,306,279,296,319,463,508,529,815,0,0,11,47,217,0,199,102,297,3,96,92,83,187,685,815
51,292,323,273,314,298,292,323,273,314,298,482,502,516,719,0,0,31,50,196,0,207,101,281,8,99,99,93,174,781,719
52,313,277,307,298,305,313,277,307,298,305,486,500,514,866,0,0,0,47,192,0,211,89,290,22,99,97,98,210,634,866
53,307,310,319,280,284,307,310,319,280,284,498,494,508,822,0,0,12,51,212,0,179,90,296,9,103,103,103,216,678,822
54,291,311,313,302,283,291,311,313,302,283,489,483,528,843,0,0,0,63,196,0,195,87,278,12,86,92,103,221,657,843
55,299,318,305,289,289,299,318,305,289,289,487,512,501,840,0,0,0,41,213,0,192,101,292,6,113,107,97,198,660,840
56,285,307,290,300,318,285,307,290,300,318,488,496,516,764,0,0,20,51,202,0,191,93,278,7,94,103,95,187,736,764
57,301,306,293,299,301,301,306,293,299,301,499,484,517,816,0,0,12,48,194,0,197,94,292,8,100,93,106,200,684,816
58,287,300,301,323,289,287,300,301,323,289,505,501,494,719,0,0,44,49,190,0,197,103,267,18,90,114,104,187,781,719
59,295,298,310,303,294,295,298,310,303,294,496,505,499,828,0,0,9,40,194,0,200,102,285,9,104,111,100,199,672,828
60,280,337,305,298,280,280,337,305,298,280,490,519,491,870,0,0,0,46,212,0,206,113,277,2,96,101,107,204,630,870
61,311,317,285,311,276,311,317,285,311,276,523,468,509,722,0,0,39,47,185,0,190,106,303,5,112,93,91,192,778,722
62,293,315,308,292,292,293,315,308,292,292,459,501,540,690,0,0,41,45,210,0,192,90,283,10,89,99,109,209,810,690
63,276,322,291,301,310,276,322,291,301,310,516,467,517,745,0,0,32,52,202,0,179,111,269,7,89,86,96,205,755,745
64,299,292,331,291,287,299,292,331,291,287,469,519,512,791,0,0,11,45,202,0,205,89,282,17,91,112,104,219,709,791
65,309,285,293,317,296,309,285,293,317,296,501,480,519,721,0,0,34,50,179,0,215,111,296,12,97,86,103,207,779,721
66,282,320,289,296,313,282,320,289,296,313,497,475,528,827,0,0,9,54,199,0,183,98,281,1,93,93,96,196,673,827
67,290,279,304,293,334,290,279,304,293,334,522,485,493,858,0,0,5,55,198,0,191,91,276,12,115,96,108,208,642,858
