Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,Random_NB_ModerateThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
1,307,289,293,297,314,307,289,293,297,314,480,512,508,516,0,0,42,68,202,0,209,92,208,70,103,101,97,192,984,516
2,305,312,285,290,308,305,312,285,290,308,462,498,540,454,0,0,40,68,206,0,203,109,168,98,98,89,80,196,1046,454
3,290,291,298,318,303,290,291,298,318,303,502,500,498,556,0,0,20,66,201,0,208,101,162,84,97,91,96,207,944,556
4,309,276,313,330,272,309,276,313,330,272,519,528,453,499,0,0,46,69,187,0,241,100,187,83,107,100,124,213,1001,499
5,293,299,271,303,334,293,299,271,303,334,464,554,482,474,0,0,43,74,228,0,233,96,188,95,88,93,76,178,1026,474
6,283,305,321,306,285,283,305,321,306,285,508,484,508,510,0,0,32,66,200,0,185,90,186,79,93,99,111,222,990,510
7,318,283,277,315,307,318,283,277,315,307,489,499,512,480,0,0,46,85,188,0,214,84,170,121,95,97,78,180,1020,480
8,295,286,293,304,322,295,286,293,304,322,489,501,510,560,0,0,44,79,213,0,210,85,211,64,98,78,102,215,940,560
9,306,275,320,302,297,306,275,320,302,297,512,488,500,661,0,0,0,67,209,0,182,78,202,92,105,97,114,223,839,661
10,279,307,286,308,320,279,307,286,308,320,506,507,487,524,0,0,33,78,217,0,196,91,171,76,101,94,96,192,976,524
11,313,307,295,282,303,313,307,295,282,303,511,495,494,486,0,0,37,70,209,0,194,103,187,97,112,92,101,203,1014,486
12,307,251,326,306,310,307,251,326,306,310,486,526,488,509,0,0,46,72,189,0,207,80,195,81,106,130,97,196,991,509
13,288,324,317,285,286,288,324,317,285,286,517,502,481,476,0,0,35,81,203,0,190,124,178,80,100,109,103,208,1024,476
14,284,316,307,309,284,284,316,307,309,284,497,474,529,498,0,0,40,76,183,0,193,101,197,62,80,98,101,209,1002,498
15,262,313,299,316,310,262,313,299,316,310,538,489,473,481,0,0,48,96,208,0,179,109,139,82,87,102,108,197,1019,481
16,322,331,294,264,289,322,331,294,264,289,502,477,521,529,0,0,43,62,203,0,182,116,231,46,127,92,99,202,971,529
17,283,309,295,311,302,283,309,295,311,302,485,500,515,513,0,0,30,68,193,0,200,101,158,99,87,107,90,188,987,513
18,309,295,309,308,279,309,295,309,308,279,492,482,526,532,0,0,58,60,181,0,205,96,211,77,88,96,110,213,968,532
19,320,266,293,310,311,320,266,293,310,311,478,503,519,414,0,0,49,77,181,0,216,94,159,112,94,106,90,187,1086,414
20,294,298,285,307,316,294,298,285,307,316,500,461,539,502,0,0,37,68,195,0,174,104,187,66,117,92,88,193,998,502
21,306,306,314,297,277,306,306,314,297,277,514,481,505,490,0,0,50,70,190,0,181,95,204,67,111,110,108,204,1010,490
22,282,304,328,311,275,282,304,328,311,275,476,511,513,552,0,0,33,65,194,0,204,98,191,61,83,113,110,215,948,552
23,296,304,299,306,295,296,304,299,306,295,472,500,528,484,0,0,35,71,199,0,201,92,200,74,97,100,92,199,1016,484
24,279,296,316,281,328,279,296,316,281,328,494,473,533,476,0,0,51,80,194,0,183,98,167,89,87,96,112,220,1024,476
25,319,305,289,294,293,319,305,289,294,293,516,474,510,494,0,0,41,69,198,0,180,101,215,76,110,96,87,193,1006,494
26,303,294,287,302,314,303,294,287,302,314,456,535,509,501,0,0,32,69,217,0,220,84,189,80,76,98,98,189,999,501
27,292,297,311,287,313,292,297,311,287,313,492,502,506,440,0,0,60,86,196,0,190,108,176,77,104,116,101,195,1060,440
28,290,303,274,346,287,290,303,274,346,287,503,499,498,502,0,0,42,76,194,0,210,96,189,73,93,95,97,179,998,502
29,299,297,295,287,322,299,297,295,287,322,538,488,474,540,0,0,26,91,212,0,182,93,211,66,106,94,108,201,960,540
30,295,267,331,309,298,295,267,331,309,298,509,475,516,455,0,0,36,93,169,0,195,87,176,96,83,111,107,220,1045,455
31,289,300,306,313,292,289,300,306,313,292,472,501,527,484,0,0,42,76,187,0,207,95,188,87,84,107,90,199,1016,484
32,283,272,324,301,320,283,272,324,301,320,476,510,514,486,0,0,54,73,200,0,201,93,141,103,82,109,105,215,1014,486
33,302,319,306,290,283,302,319,306,290,283,472,514,514,499,0,0,35,63,222,0,189,98,169,93,91,103,101,203,1001,499
34,301,295,325,307,272,301,295,325,307,272,479,507,514,484,0,0,37,64,177,0,229,95,183,75,98,101,117,224,1016,484
35,297,281,310,313,299,297,281,310,313,299,460,514,526,495,0,0,42,70,202,0,218,81,180,86,90,94,107,216,1005,495
36,289,310,320,277,304,289,310,320,277,304,471,518,511,477,0,0,45,67,188,0,216,112,173,85,91,114,89,206,1023,477
37,293,321,296,298,292,293,321,296,298,292,505,464,531,601,0,0,1,74,190,0,181,122,195,75,88,93,95,203,899,601
38,307,283,313,316,281,307,283,313,316,281,468,506,526,517,0,0,31,55,183,0,209,92,220,68,93,114,99,199,983,517
39,284,290,314,328,284,284,290,314,328,284,494,511,495,519,0,0,49,67,202,0,194,95,178,88,94,115,98,199,981,519
40,283,312,294,336,275,283,312,294,336,275,475,478,547,501,0,0,48,65,188,0,200,90,175,81,90,90,91,204,999,501
41,318,306,279,300,297,318,306,279,300,297,508,507,485,471,0,0,30,96,193,0,234,97,208,71,105,80,91,199,1029,471
