Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,largerun_db_highthreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
1,637,167,509,125,62,582,107,450,68,15,517,493,490,219,0,0,0,0,0,0,25,24,112,254,318,372,41,78,1003,219
2,397,86,102,575,73,335,27,53,504,15,546,486,468,248,267,0,0,0,0,0,376,27,10,269,66,9,35,44,686,248
3,429,354,491,145,69,383,289,439,60,7,497,487,516,226,12,0,0,0,0,0,27,54,71,120,261,356,28,83,952,226
4,594,79,131,365,61,532,23,70,300,6,489,448,563,168,270,0,0,0,0,0,342,23,23,464,48,21,33,49,763,168
5,657,86,436,258,63,606,20,379,200,9,479,530,491,150,0,0,19,0,0,0,125,19,62,304,293,305,27,74,1064,150
6,614,250,251,96,71,557,198,185,32,24,504,459,537,263,218,0,0,0,0,0,254,26,56,451,98,109,27,76,733,263
7,712,96,320,235,74,647,28,266,176,24,515,503,482,294,63,0,1,0,0,0,190,28,125,432,211,211,43,55,847,294
8,544,250,510,122,69,492,188,463,68,3,498,524,478,208,5,0,0,0,0,0,30,11,88,168,324,394,43,69,1006,208
9,625,115,501,186,67,559,49,451,124,1,499,501,500,157,6,0,0,0,0,0,23,23,60,257,291,372,38,79,1027,157
10,435,86,95,594,68,369,37,38,526,17,497,456,547,255,222,0,0,0,0,0,361,35,6,303,66,0,38,38,732,255
11,287,78,106,706,71,233,18,50,642,6,456,518,526,233,252,0,0,0,0,0,399,18,12,197,36,8,28,42,716,233
12,755,91,459,134,61,691,29,407,74,0,510,504,486,238,0,0,0,0,0,0,69,28,154,319,317,339,33,68,963,238
