Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,random_NB_lowThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
1,312,307,285,282,314,493,507,500,361,0,0,1,58,198,0,206,98,4,204,104,103,85,182,1139,361
2,314,319,311,273,283,499,491,510,354,0,0,1,42,208,0,178,100,2,194,118,105,114,206,1146,354
3,275,324,316,301,284,507,516,477,345,0,0,17,39,192,0,208,118,1,178,96,116,108,200,1155,345
4,322,312,281,300,285,472,496,532,329,0,0,16,48,188,0,209,98,2,226,94,99,93,182,1171,329
5,306,301,319,298,276,489,490,521,338,0,0,26,47,185,0,207,97,0,203,103,98,105,221,1162,338
6,283,316,294,296,311,510,482,508,335,0,0,37,52,204,0,184,107,3,175,106,94,98,200,1165,335
7,291,302,295,312,300,500,495,505,300,0,0,29,50,199,0,188,93,0,199,92,108,108,187,1200,300
8,308,297,298,286,311,485,487,528,362,0,0,1,44,213,0,175,84,3,194,111,99,99,199,1138,362
9,294,290,293,320,303,500,478,522,327,0,0,25,47,184,0,189,94,0,198,96,105,90,188,1173,327
10,321,306,285,305,283,495,528,477,306,0,0,18,48,213,0,209,94,4,220,97,106,100,179,1194,306
11,327,323,264,304,282,479,490,531,318,0,0,25,52,197,0,215,90,6,217,105,78,90,186,1182,318
12,278,287,298,329,308,504,463,533,385,0,0,1,60,172,0,190,102,3,185,91,101,96,197,1115,385
13,321,281,299,293,306,505,492,503,340,0,0,3,46,198,0,199,86,3,205,113,95,109,204,1160,340
14,287,298,294,313,308,490,482,528,391,0,0,0,43,186,0,207,96,5,194,92,89,97,205,1109,391
15,285,298,285,329,303,490,483,527,318,0,0,18,51,201,0,186,80,5,178,103,96,99,189,1182,318
16,320,298,281,335,266,479,497,524,307,0,0,24,38,189,0,216,97,2,211,107,92,105,189,1193,307
17,306,311,294,283,306,442,499,559,329,0,0,15,50,204,0,207,83,3,212,91,88,100,206,1171,329
18,293,286,291,315,315,511,505,484,344,0,0,4,53,197,0,204,97,3,203,87,104,104,187,1156,344
19,306,319,290,285,300,510,499,491,338,0,0,24,48,203,0,204,115,5,189,114,92,97,198,1162,338
20,305,304,288,293,310,491,509,500,323,0,0,38,46,202,0,211,109,1,211,93,96,101,192,1177,323
21,296,279,317,301,307,491,472,537,321,0,0,23,54,183,0,188,89,4,199,93,101,108,216,1179,321
22,316,286,323,312,263,483,513,504,416,0,0,0,46,201,0,210,96,1,212,104,102,94,221,1084,416
23,295,301,302,307,295,475,502,523,302,0,0,13,45,209,0,197,73,1,185,109,96,104,206,1198,302
24,296,290,293,306,315,496,475,529,323,0,0,27,54,191,0,191,87,0,195,101,93,87,200,1177,323
25,312,317,279,304,288,506,497,497,335,0,0,2,45,210,0,201,108,4,209,100,86,96,193,1165,335
26,299,296,302,303,300,483,491,526,315,0,0,20,55,202,0,195,105,10,202,92,94,96,208,1185,315
27,293,329,314,287,277,508,453,539,360,0,0,3,53,178,0,169,109,2,190,102,106,98,208,1140,360
28,293,303,298,305,301,478,490,532,314,0,0,2,49,187,0,204,101,1,205,87,99,98,199,1186,314
29,284,283,320,320,293,462,505,533,336,0,0,27,47,199,0,200,89,8,196,82,106,107,214,1164,336
30,286,292,315,284,323,485,514,501,337,0,0,16,57,203,0,217,87,0,193,93,94,108,221,1163,337
31,320,291,293,302,294,467,510,523,400,0,0,0,44,194,0,214,88,4,209,107,102,83,191,1100,400
32,307,310,308,294,281,488,490,522,342,0,0,0,43,192,0,186,94,4,194,109,112,97,196,1158,342
33,289,307,294,270,340,481,499,520,373,0,0,0,53,218,0,200,93,1,209,79,81,102,213,1127,373
34,301,296,296,307,300,514,500,486,363,0,0,0,48,206,0,199,94,0,192,109,95,100,201,1137,363
35,300,321,284,285,310,498,499,503,310,0,0,22,53,205,0,210,108,1,199,101,84,104,200,1190,310
36,308,298,312,286,296,501,465,534,365,0,0,0,42,185,0,176,120,5,209,94,104,104,208,1135,365
37,302,295,298,304,301,500,485,515,340,0,0,0,55,174,0,209,108,3,201,99,102,87,196,1160,340
38,315,291,276,293,325,473,514,513,346,0,0,22,53,201,0,210,94,2,215,99,103,91,173,1154,346
39,289,297,291,307,316,495,493,512,307,0,0,16,56,193,0,193,110,0,203,86,107,97,184,1193,307
40,281,296,311,309,303,518,505,477,317,0,0,27,50,198,0,195,113,2,184,95,112,109,199,1183,317
41,288,265,313,314,320,486,471,543,340,0,0,15,41,190,0,186,97,5,192,91,95,103,218,1160,340
42,290,300,309,286,315,479,497,524,375,0,0,1,61,200,0,190,99,5,192,95,107,90,202,1125,375
43,290,289,327,297,297,483,490,527,350,0,0,2,49,177,0,204,87,1,202,87,109,98,218,1150,350
