source_file,condition,role,run,behavior,behavior_count,total_actions,percent_of_total_actions
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,1,Hypervigilant Withdrawal,142.0,770.0,18.441558441558442
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,2,Hypervigilant Withdrawal,0.0,582.0,0.0
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,3,Hypervigilant Withdrawal,0.0,614.0,0.0
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,4,Hypervigilant Withdrawal,135.0,772.0,17.487046632124354
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,5,Hypervigilant Withdrawal,44.0,764.0,5.7591623036649215
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,6,Hypervigilant Withdrawal,252.0,616.0,40.909090909090914
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,7,Hypervigilant Withdrawal,219.0,788.0,27.79187817258883
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,8,Hypervigilant Withdrawal,0.0,583.0,0.0
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,9,Hypervigilant Withdrawal,0.0,614.0,0.0
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,10,Hypervigilant Withdrawal,98.0,751.0,13.049267643142477
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,11,Hypervigilant Withdrawal,214.0,744.0,28.763440860215056
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,12,Hypervigilant Withdrawal,7.0,585.0,1.1965811965811968
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,13,Hypervigilant Withdrawal,34.0,751.0,4.527296937416778
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,14,Hypervigilant Withdrawal,58.0,792.0,7.3232323232323235
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,15,Hypervigilant Withdrawal,105.0,789.0,13.307984790874524
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,16,Hypervigilant Withdrawal,0.0,601.0,0.0
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,17,Hypervigilant Withdrawal,47.0,754.0,6.23342175066313
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,18,Hypervigilant Withdrawal,75.0,740.0,10.135135135135135
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,19,Hypervigilant Withdrawal,25.0,730.0,3.4246575342465753
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,20,Hypervigilant Withdrawal,41.0,732.0,5.601092896174864
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,21,Hypervigilant Withdrawal,21.0,761.0,2.759526938239159
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,22,Hypervigilant Withdrawal,120.0,768.0,15.625
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,23,Hypervigilant Withdrawal,4.0,614.0,0.6514657980456027
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,24,Hypervigilant Withdrawal,1.0,630.0,0.15873015873015872
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,25,Hypervigilant Withdrawal,78.0,783.0,9.961685823754788
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,26,Hypervigilant Withdrawal,13.0,812.0,1.600985221674877
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,27,Hypervigilant Withdrawal,0.0,591.0,0.0
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,28,Hypervigilant Withdrawal,0.0,600.0,0.0
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,29,Hypervigilant Withdrawal,1.0,602.0,0.16611295681063123
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,30,Hypervigilant Withdrawal,48.0,754.0,6.36604774535809
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,31,Hypervigilant Withdrawal,1.0,624.0,0.16025641025641024
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,32,Hypervigilant Withdrawal,0.0,592.0,0.0
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,33,Hypervigilant Withdrawal,13.0,680.0,1.911764705882353
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,34,Hypervigilant Withdrawal,7.0,587.0,1.192504258943782
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,35,Hypervigilant Withdrawal,68.0,752.0,9.042553191489363
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,36,Hypervigilant Withdrawal,0.0,605.0,0.0
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,37,Hypervigilant Withdrawal,66.0,750.0,8.799999999999999
multiple_runs_NB_HighThreat_Series_20260501_201727.csv,ACE,NB,38,Hypervigilant Withdrawal,0.0,627.0,0.0
