Behavior,Condition,H_stat,p_kruskal_wallis,Significant_KW,NB_Median,NB_Q1,NB_Q3,NB_N,DB_Median,DB_Q1,DB_Q3,DB_N,Random_NB_Median,Random_NB_Q1,Random_NB_Q3,Random_NB_N,Random_DB_Median,Random_DB_Q1,Random_DB_Q3,Random_DB_N,U_NB_vs_DB,p_NB_vs_DB_raw,p_NB_vs_DB_holm,NB_vs_DB_Sig,U_NB_vs_Random_NB,p_NB_vs_Random_NB_raw,p_NB_vs_Random_NB_holm,NB_vs_Random_NB_Sig,U_DB_vs_Random_DB,p_DB_vs_Random_DB_raw,p_DB_vs_Random_DB_holm,DB_vs_Random_DB_Sig
Hypervigilant Withdrawal,No ACE,495.34023052422424,4.880918905109009e-107,Yes,18.119235213259756,11.555963645418325,30.13616789376106,206,0.0,0.0,0.09708983527528624,206,20.490549957387074,19.709883686428107,21.395106588359948,206,18.844083280461646,18.179639341453186,19.586679319086777,206,42244.5,6.183361139005776e-70,1.236672227801155e-69,Yes,18658.5,0.03421930900068849,0.03421930900068849,Yes,141.5,2.931035573092292e-70,8.793106719276875e-70,Yes
Hypervigilant Withdrawal,Moderate,500.4154432173568,3.878268479272422e-108,Yes,19.859234234234233,12.5274926686217,28.96353265669042,206,0.0,0.0,0.1863506284732327,206,20.85946216289001,20.106629936857743,21.883950143678845,206,19.138862024500323,18.413301978473328,19.896924130453392,206,42269.5,1.254489952612554e-69,2.508979905225108e-69,Yes,19703.5,0.21028625229507492,0.21028625229507492,No,146.5,9.323072685543836e-70,2.796921805663151e-69,Yes
Hypervigilant Withdrawal,ACE,609.0079457474304,1.1234862822123349e-131,Yes,5.882192117889902,0.16942056010221346,13.784067085953879,206,0.0,0.0,0.0,206,23.186727496834685,22.273657233337506,24.150002011829557,206,20.122927345092453,19.233645218191583,21.18380062305296,206,37434.0,2.1335820919012805e-45,4.267164183802561e-45,Yes,5109.0,1.467804464293926e-40,1.467804464293926e-40,Yes,128.5,5.327816322179165e-72,1.5983448966537496e-71,Yes
Dangerous Trust,No ACE,367.48656362827967,2.4380602041876392e-79,Yes,1.6763942931258107,1.0396374458874458,2.666903284039077,206,6.098111891161209,1.9657107520413273,13.19604359156598,206,10.3410753817868,9.653117986074673,10.944168484024782,206,9.514226664462239,8.904612244018573,10.028792756924721,206,9190.5,2.4733508466105328e-23,4.9467016932210655e-23,Yes,947.5,3.862987683411737e-63,1.158896305023521e-62,Yes,16206.5,3.3771814697506024e-05,3.3771814697506024e-05,Yes
Dangerous Trust,Moderate,372.3477329541264,2.1592018229372186e-80,Yes,1.5689998933350837,0.9310575525307255,2.418648323078608,206,2.994590529086754,1.6177418756319981,13.612388724035608,206,10.283315844700944,9.594122376202947,11.17891759795711,206,9.484844944420335,8.839971697194356,10.27825521438194,206,10438.0,4.678077569669361e-19,9.356155139338722e-19,Yes,409.5,1.9506478677101753e-66,5.851943603130526e-66,Yes,15562.5,2.8785171896572595e-06,2.8785171896572595e-06,Yes
Dangerous Trust,ACE,631.489452631138,1.5018165550330721e-136,Yes,3.1616161616161618,2.6763862963591456,3.7095486994194307,206,2.93943771496481,2.478952933254649,3.3985689790215714,206,11.563768090951937,10.833681198266534,12.328847726090295,206,10.086088729703723,9.454980595878466,10.759169433492426,206,25148.0,0.0011479053167590464,0.0011479053167590464,Yes,410.5,1.9787317471049583e-66,3.9574634942099166e-66,Yes,409.5,1.950822104714089e-66,5.852466314142267e-66,Yes
Misdirected Aggression,No ACE,757.3138913190119,7.825792422896138e-164,Yes,0.5394531988883554,0.14662851450220699,0.9259955073705931,206,39.18704824038282,35.8671330623771,42.35922659430122,206,10.232548446257038,9.67657313631081,10.882145987123739,206,19.200671517361915,18.55717785036353,19.856969001402724,206,189.0,7.47718161005197e-68,2.2431544830155908e-67,Yes,211.0,1.0274545541230314e-67,2.0549091082460628e-67,Yes,42230.5,1.0414589788770358e-67,1.0414589788770358e-67,Yes
Misdirected Aggression,Moderate,752.7443642011228,7.664393475571639e-163,Yes,0.5235611063997464,0.15258807847928046,1.0638522427440633,206,39.38259436312761,35.39439661474324,42.80980794763331,206,8.426846679858729,7.280756790341543,9.449036459556348,206,19.15511980160596,18.411591058182367,19.726705540563735,206,186.0,6.765638561327813e-68,1.3531277122655626e-67,Yes,186.0,6.765461843678234e-68,2.02963855310347e-67,Yes,41676.5,2.7860247615082497e-64,2.7860247615082497e-64,Yes
Misdirected Aggression,ACE,748.3430192193032,6.901566725382211e-162,Yes,0.0,0.0,0.0,206,27.991919022453374,23.590724208805906,35.95459830533029,206,1.0588235294117647,0.6843497796460246,1.7968491947763177,206,18.611738800595965,17.936613818994136,19.37888166286778,206,112.5,2.878845122417077e-75,8.636535367251232e-75,Yes,592.5,1.891014484104665e-72,3.78202896820933e-72,Yes,39451.0,1.9804055168585566e-51,1.9804055168585566e-51,Yes
Relational Aggression,No ACE,661.9630113412222,3.7116754006541433e-143,Yes,2.0412660256410255,1.09783624797647,4.141326537895984,206,31.399633175103126,25.21379807951478,35.09509824986655,206,20.450001204500012,19.626235989148284,21.205817908932964,206,19.204976843673926,18.376669429860918,19.785759039007896,206,547.5,1.3931915735392828e-65,4.179574720617848e-65,Yes,1153.5,6.713517494709508e-62,6.713517494709508e-62,Yes,41841.5,2.7145236566484316e-65,5.429047313296863e-65,Yes
Relational Aggression,Moderate,624.9409928960772,3.9476667115579734e-135,Yes,2.567981690523294,1.520600323406549,3.695957605577968,206,30.89375569006668,23.80925689338624,36.55344333122972,206,21.11768673541043,20.194648271786463,22.054964757089305,206,19.174193873946614,18.28772493329455,19.7374194653139,206,675.0,8.462118997980076e-65,2.5386356993940228e-64,Yes,822.0,6.687665194066951e-64,1.3375330388133902e-63,Yes,39226.0,3.2691445202091006e-50,3.2691445202091006e-50,Yes
Relational Aggression,ACE,539.4068293774735,1.3740307068809704e-116,Yes,0.0,0.0,0.14679046801202233,206,28.465639058767234,8.728490726964663,37.130953341323625,206,23.32156865134739,22.36447820128262,24.24541962174941,206,20.371327894595733,19.47126585754975,21.14186583589992,206,664.5,1.1303979886831509e-67,2.2607959773663018e-67,Yes,135.5,5.600012227952417e-71,1.680003668385725e-70,Yes,28416.5,2.583608162951853e-09,2.583608162951853e-09,Yes
Learned Helplessness,No ACE,,,No,0.0,0.0,0.0,206,0.0,0.0,0.0,206,0.0,0.0,0.0,206,0.0,0.0,0.0,206,21218.0,1.0,1.0,No,21218.0,1.0,1.0,No,21218.0,1.0,1.0,No
Learned Helplessness,Moderate,,,No,0.0,0.0,0.0,206,0.0,0.0,0.0,206,0.0,0.0,0.0,206,0.0,0.0,0.0,206,21218.0,1.0,1.0,No,21218.0,1.0,1.0,No,21218.0,1.0,1.0,No
Learned Helplessness,ACE,699.6534211739515,2.495691586542687e-151,Yes,0.0,0.0,0.0,206,18.393901231775306,2.365033942390913,23.83749514626876,206,0.0,0.0,0.0,206,0.0,0.0,0.0,206,2163.0,6.906040247390386e-67,2.071812074217116e-66,Yes,21218.0,1.0,1.0,No,40273.0,6.906040247390386e-67,1.3812080494780773e-66,Yes
Negative Expectancy Bias,No ACE,649.742175749538,1.6567488238913637e-140,Yes,12.17674212828475,10.022914328469884,14.590370683141474,206,14.705739515992096,11.711207866758912,17.78237716293078,206,28.166666666666664,27.200000000000003,29.599999999999998,206,22.7,21.866666666666667,24.116666666666667,206,14737.0,8.213507203412601e-08,8.213507203412601e-08,Yes,411.5,1.9978935296815563e-66,5.993680589044668e-66,Yes,1623.0,4.019344771709021e-59,8.038689543418043e-59,Yes
Negative Expectancy Bias,Moderate,653.6486187279949,2.3565736892657105e-141,Yes,12.766871552624385,10.406915004372632,14.8838805035749,206,14.773189901946065,11.07292913578545,17.984292646925716,206,33.46666666666667,31.950000000000003,35.4,206,26.200000000000003,24.333333333333336,27.650000000000002,206,16377.5,6.203792001805836e-05,6.203792001805836e-05,Yes,424.5,2.4101578360825445e-66,7.230473508247633e-66,Yes,1024.5,1.124559299577129e-62,2.249118599154258e-62,Yes
Negative Expectancy Bias,ACE,684.7838395552269,4.182425641365893e-148,Yes,16.81981829444271,14.904334628768828,18.450288551421487,206,36.8003671120634,24.934411522234612,39.92900653821029,206,52.99116666666667,49.333333333333336,56.43333333333334,206,47.13333333333333,45.93333333333333,48.18333333333333,206,5545.5,1.8581544754153229e-38,1.8581544754153229e-38,Yes,250.5,1.9891685000042143e-67,5.967505500012642e-67,Yes,971.5,5.378685732165796e-63,1.0757371464331592e-62,Yes
