Behavior,Condition,H_stat,p_kruskal_wallis,Significant_KW,NB_Median,NB_Q1,NB_Q3,NB_N,DB_Median,DB_Q1,DB_Q3,DB_N,Random_NB_Median,Random_NB_Q1,Random_NB_Q3,Random_NB_N,Random_DB_Median,Random_DB_Q1,Random_DB_Q3,Random_DB_N,U_NB_vs_DB,p_NB_vs_DB_raw,p_NB_vs_DB_holm,NB_vs_DB_Sig,U_NB_vs_Random_NB,p_NB_vs_Random_NB_raw,p_NB_vs_Random_NB_holm,NB_vs_Random_NB_Sig,U_DB_vs_Random_DB,p_DB_vs_Random_DB_raw,p_DB_vs_Random_DB_holm,DB_vs_Random_DB_Sig
Protective Behavior,No ACE,534.9304426338679,1.2830057599680261e-115,Yes,1.208470244614823,0.592154934770776,1.909079218106996,206,15.633133235563959,11.791550483788447,20.842342537604576,206,10.16573042736246,9.560157473449829,10.797042353931717,206,9.521318234750282,8.91438346103617,10.137382469387116,206,903.0,2.0738239841676588e-63,4.1476479683353176e-63,Yes,616.0,3.670378667239784e-65,1.1011136001719352e-64,Yes,35001.5,3.951268702404714e-30,3.951268702404714e-30,Yes
Protective Behavior,Moderate,529.7529862000183,1.699788653565388e-114,Yes,1.0302849371413407,0.26359842871921046,1.706333266385486,206,14.628775139928223,10.385766658431566,20.601795160658305,206,10.472623728563253,9.651596075021738,11.046490142094274,206,9.511572445218741,8.92686767418892,10.056149131736705,206,657.0,5.864885235768049e-65,1.1729770471536098e-64,Yes,311.5,4.2588023715483045e-67,1.2776407114644914e-66,Yes,33419.0,5.785908846159163e-24,5.785908846159163e-24,Yes
Protective Behavior,ACE,508.7203865077025,6.148971543650744e-110,Yes,0.0,0.0,0.0,206,6.055297511703632,4.516645326504482,26.30243191513317,206,11.466076585764455,10.753956094464751,12.103158961653246,206,10.286599113256727,9.643670639479705,10.927405945267495,206,108.0,1.771487786024687e-76,3.542975572049374e-76,Yes,108.0,1.7712533092739284e-76,5.3137599278217853e-76,Yes,16031.5,1.7769197215199892e-05,1.7769197215199892e-05,Yes
Healthy Friendliness,No ACE,553.5608426080161,1.1751559483699032e-119,Yes,32.133193972583896,21.718155906843393,40.080213903743314,206,3.9223318305584076,0.3031115659764382,7.302241508877032,206,10.24438693371648,9.553169178188597,10.970247997584899,206,9.521623140323758,8.936543954022184,10.055715431428975,206,41739.0,1.0990680586251717e-64,3.297204175875515e-64,Yes,41467.5,5.180301264718009e-63,1.0360602529436018e-62,Yes,7162.5,2.8332445601094375e-31,2.8332445601094375e-31,Yes
Healthy Friendliness,Moderate,509.64604929539314,3.874276223784712e-110,Yes,31.95744680851064,22.47730059169495,39.06278974370501,206,2.0364702564612984,0.4264905806952806,9.057595498963577,206,10.517754526947515,9.824648402396802,11.30437273496156,206,9.387646291756138,8.800406983628557,9.990415359281911,206,40914.0,1.0013990700962222e-59,2.0027981401924443e-59,Yes,40943.5,6.917723293710492e-60,2.0753169881131476e-59,Yes,10018.5,1.900421892763247e-20,1.900421892763247e-20,Yes
Healthy Friendliness,ACE,456.4297290870296,1.3186181827098233e-98,Yes,46.27390604254357,38.529591786282396,62.104704688864345,206,2.1289461353527894,0.636671744581845,28.59823083496027,206,11.627847721822542,10.998618852661174,12.409018678898788,206,10.199882157458841,9.528611449101401,10.961949382243876,206,39528.0,7.467136987214907e-52,1.4934273974429814e-51,Yes,41619.5,6.20025727078176e-64,1.8600771812345282e-63,Yes,15561.0,2.8588744553847076e-06,2.8588744553847076e-06,Yes
Adaptive Avoidance,No ACE,501.6247316175522,2.121125032572227e-108,Yes,22.015221020562706,7.942515074211502,35.828864644970416,206,0.3863116539172877,0.018422991893883568,0.9135436227218116,206,10.267886730763902,9.607980914799096,10.84653344662814,206,9.469696969696969,8.794862009099617,10.113795518207283,206,41514.0,2.0045122876154896e-63,4.009024575230979e-63,Yes,30236.5,8.517923309339669e-14,8.517923309339669e-14,Yes,180.0,5.2108902656022065e-68,1.5632670796806618e-67,Yes
Adaptive Avoidance,Moderate,510.01437968361006,3.2237764728668934e-110,Yes,24.88425925925926,9.244312479089997,36.88171855062838,206,0.7712857285777248,0.16954521988079035,1.4015419251812875,206,10.346475507765831,9.76613037346137,11.042122844048158,206,9.501185396778393,8.966504343248223,10.007288629737609,206,41210.5,1.564283061628977e-61,3.128566123257954e-61,Yes,30952.5,7.97877205803022e-16,7.97877205803022e-16,Yes,186.5,6.887740946243514e-68,2.0663222838730543e-67,Yes
Adaptive Avoidance,ACE,468.16033877843967,3.787356527340775e-101,Yes,39.65753424657534,7.029092742935565,44.04992519095992,206,2.1738242672244956,1.623542604594403,2.7337082585671144,206,11.587530053366986,10.950778725229341,12.248305401921238,206,10.19895554838911,9.526265292697126,10.71848227660613,206,38281.5,2.900887339681892e-45,5.801774679363784e-45,Yes,30002.5,3.6367448650880606e-13,3.6367448650880606e-13,Yes,410.5,1.9790347199492548e-66,5.937104159847764e-66,Yes
Help-Seeking Vulnerability,No ACE,575.709176244535,1.8583813310803905e-124,Yes,13.035782364794946,4.162665666416604,26.15554484255492,206,0.0,0.0,0.20611829569413595,206,7.759960690359503,7.111581950957945,8.226795040819432,206,4.732915893630179,4.351939451277199,5.117131979104046,206,41901.0,5.282821326007722e-67,1.0565642652015445e-66,Yes,26717.5,5.358960792420818e-06,5.358960792420818e-06,Yes,151.0,2.2660599813183944e-69,6.798179943955183e-69,Yes
