action,comparison,model,global_test,global_statistic,global_p_value,estimate_diff_pct_points,std_err,z_value,p_value_raw,p_value_holm,significant_alpha_0_05,n_runs_random,n_runs_no_ace,n_runs_moderate_adversity,n_runs_ace,n_clusters_random,n_clusters_no_ace,n_clusters_moderate_adversity,n_clusters_ace
fight_count,Random_vs_No ACE,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,0.35513372510923635,0.9493465803864196,7.464512813951201,17.968910385218134,0.41541265741365013,0.6778398423496401,1.0,False,1000,400,400,400,5,2,2,2
fight_count,Random_vs_Moderate adversity,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,0.35513372510923635,0.9493465803864196,7.009546545291135,17.9077842753563,0.3914245580307378,0.6954834427687453,1.0,False,1000,400,400,400,5,2,2,2
fight_count,Random_vs_ACE,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,0.35513372510923635,0.9493465803864196,2.6784846713963506,15.632054933692057,0.17134565370694566,0.8639519847565569,1.0,False,1000,400,400,400,5,2,2,2
flee_count,Random_vs_No ACE,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,1.687531239578524,0.6397094354086328,-5.151281725742756,6.158989491751836,-0.8363842368364794,0.4029387775815447,1.0,False,1000,400,400,400,5,2,2,2
flee_count,Random_vs_Moderate adversity,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,1.687531239578524,0.6397094354086328,-4.141616994549797,5.0740869281795025,-0.8162290187716078,0.414369162715824,1.0,False,1000,400,400,400,5,2,2,2
flee_count,Random_vs_ACE,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,1.687531239578524,0.6397094354086328,9.3526494457672,16.486457702732388,0.5672928420649839,0.5705152393719495,1.0,False,1000,400,400,400,5,2,2,2
cry_count,Random_vs_No ACE,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,20.471326052380046,0.00013553861330391798,-10.532203077702471,6.363121332899527,-1.6551944441554738,0.09788506186272983,0.19577012372545965,False,1000,400,400,400,5,2,2,2
cry_count,Random_vs_Moderate adversity,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,20.471326052380046,0.00013553861330391798,-9.475173492562403,6.991576382639936,-1.3552270581051264,0.17534522635742655,0.19577012372545965,False,1000,400,400,400,5,2,2,2
cry_count,Random_vs_ACE,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,20.471326052380046,0.00013553861330391798,-13.979842518849704,3.5064604636532435,-3.986881547292467,6.694742804653318e-05,0.00020084228413959953,True,1000,400,400,400,5,2,2,2
chase_count,Random_vs_No ACE,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,3.7551074673991165,0.2891512447511159,8.218971989488034,5.447046576568929,1.5088859391881921,0.13132793368836213,0.39398380106508635,False,1000,400,400,400,5,2,2,2
chase_count,Random_vs_Moderate adversity,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,3.7551074673991165,0.2891512447511159,6.607243941817206,5.842401819798352,1.1309122764249127,0.2580920156786469,0.5161840313572938,False,1000,400,400,400,5,2,2,2
chase_count,Random_vs_ACE,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,3.7551074673991165,0.2891512447511159,1.9487084016944831,4.361013724332469,0.44684757372387485,0.6549851191878371,0.6549851191878371,False,1000,400,400,400,5,2,2,2
