analysis_type,action,comparison,model,estimate_diff_pct_points,std_err,z_value,p_value_raw,p_value_holm,significant_alpha_0_05,role_main_wald_stat,role_main_wald_p,condition_main_wald_stat,condition_main_wald_p,interaction_wald_stat,interaction_wald_p,n_runs,n_clusters
DB_vs_NB_within_condition_clustered,fight_count,DB_vs_NB_at_No ACE,GEE Gaussian exchangeable; cluster=source_file,-50.82349855112808,3.6793771899432146e-15,-1.3813071051819088e+16,0.0,0.0,True,1.9080093188260245e+32,0.0,2.37184812832565e+31,0.0,1.8925314130479413e+30,0.0,1200,6
DB_vs_NB_within_condition_clustered,fight_count,DB_vs_NB_at_Moderate adversity,GEE Gaussian exchangeable; cluster=source_file,-50.65060693361315,7.0936784079996144e-15,-7140245725897855.0,0.0,0.0,True,1.9080093188260245e+32,0.0,2.37184812832565e+31,0.0,1.8925314130479413e+30,0.0,1200,6
DB_vs_NB_within_condition_clustered,fight_count,DB_vs_NB_at_ACE,GEE Gaussian exchangeable; cluster=source_file,-44.21383508725807,3.4884188959537413e-15,-1.267446267377528e+16,0.0,0.0,True,1.9080093188260245e+32,0.0,2.37184812832565e+31,0.0,1.8925314130479413e+30,0.0,1200,6
Within_role_across_conditions_clustered,fight_count,DB_No_ACE_vs_Moderate_adversity,GEE Gaussian exchangeable; cluster=source_file,-0.5414120774207501,4.0734105535448624e-15,-132913702241378.39,0.0,0.0,True,1.9080093188260245e+32,0.0,2.37184812832565e+31,0.0,1.8925314130479413e+30,0.0,1200,6
Within_role_across_conditions_clustered,fight_count,DB_No_ACE_vs_ACE,GEE Gaussian exchangeable; cluster=source_file,-8.090859874505286,1.69889698723007e-15,-4762419343445216.0,0.0,0.0,True,1.9080093188260245e+32,0.0,2.37184812832565e+31,0.0,1.8925314130479413e+30,0.0,1200,6
Within_role_across_conditions_clustered,fight_count,DB_Moderate_adversity_vs_ACE,GEE Gaussian exchangeable; cluster=source_file,-7.549447797084536,4.0268393772140074e-15,-1874782450922506.2,0.0,0.0,True,1.9080093188260245e+32,0.0,2.37184812832565e+31,0.0,1.8925314130479413e+30,0.0,1200,6
Within_role_across_conditions_clustered,fight_count,NB_No_ACE_vs_Moderate_adversity,GEE Gaussian exchangeable; cluster=source_file,-0.3685204599058134,6.874984819612388e-15,-53603094344954.586,0.0,0.0,True,1.9080093188260245e+32,0.0,2.37184812832565e+31,0.0,1.8925314130479413e+30,0.0,1200,6
Within_role_across_conditions_clustered,fight_count,NB_No_ACE_vs_ACE,GEE Gaussian exchangeable; cluster=source_file,-1.4811964106352749,4.777094502128689e-15,-310062195750000.1,0.0,0.0,True,1.9080093188260245e+32,0.0,2.37184812832565e+31,0.0,1.8925314130479413e+30,0.0,1200,6
Within_role_across_conditions_clustered,fight_count,NB_Moderate_adversity_vs_ACE,GEE Gaussian exchangeable; cluster=source_file,-1.1126759507294617,6.802442882783232e-15,-163570054155928.22,0.0,0.0,True,1.9080093188260245e+32,0.0,2.37184812832565e+31,0.0,1.8925314130479413e+30,0.0,1200,6
DB_vs_NB_within_condition_clustered,flee_count,DB_vs_NB_at_No ACE,GEE Gaussian exchangeable; cluster=source_file,17.41967736246375,7.15699526363358e-16,2.433937248914686e+16,0.0,0.0,True,5.92405053165439e+32,0.0,1.7636702337114282e+31,0.0,1.45738613092807e+31,0.0,1200,6
DB_vs_NB_within_condition_clustered,flee_count,DB_vs_NB_at_Moderate adversity,GEE Gaussian exchangeable; cluster=source_file,14.350986452993553,3.251665622962362e-15,4413426261190837.5,0.0,0.0,True,5.92405053165439e+32,0.0,1.7636702337114282e+31,0.0,1.45738613092807e+31,0.0,1200,6
DB_vs_NB_within_condition_clustered,flee_count,DB_vs_NB_at_ACE,GEE Gaussian exchangeable; cluster=source_file,46.63052913712392,7.891734908867398e-15,5908780474205794.0,0.0,0.0,True,5.92405053165439e+32,0.0,1.7636702337114282e+31,0.0,1.45738613092807e+31,0.0,1200,6
Within_role_across_conditions_clustered,flee_count,DB_No_ACE_vs_Moderate_adversity,GEE Gaussian exchangeable; cluster=source_file,2.544010185928822,9.074131383542744e-16,2803585355335227.5,0.0,0.0,True,5.92405053165439e+32,0.0,1.7636702337114282e+31,0.0,1.45738613092807e+31,0.0,1200,6
Within_role_across_conditions_clustered,flee_count,DB_No_ACE_vs_ACE,GEE Gaussian exchangeable; cluster=source_file,-0.10149471581945647,7.626455548148691e-16,-133082419714744.34,0.0,0.0,True,5.92405053165439e+32,0.0,1.7636702337114282e+31,0.0,1.45738613092807e+31,0.0,1200,6
Within_role_across_conditions_clustered,flee_count,DB_Moderate_adversity_vs_ACE,GEE Gaussian exchangeable; cluster=source_file,-2.6455049017482786,6.358740577511839e-16,-4160422759035498.0,0.0,0.0,True,5.92405053165439e+32,0.0,1.7636702337114282e+31,0.0,1.45738613092807e+31,0.0,1200,6
Within_role_across_conditions_clustered,flee_count,NB_No_ACE_vs_Moderate_adversity,GEE Gaussian exchangeable; cluster=source_file,-0.5246807235413775,3.2034599691950986e-15,-163785634466101.6,0.0,0.0,True,5.92405053165439e+32,0.0,1.7636702337114282e+31,0.0,1.45738613092807e+31,0.0,1200,6
Within_role_across_conditions_clustered,flee_count,NB_No_ACE_vs_ACE,GEE Gaussian exchangeable; cluster=source_file,29.109357058840715,7.887336461185557e-15,3690644769890448.5,0.0,0.0,True,5.92405053165439e+32,0.0,1.7636702337114282e+31,0.0,1.45738613092807e+31,0.0,1200,6
Within_role_across_conditions_clustered,flee_count,NB_Moderate_adversity_vs_ACE,GEE Gaussian exchangeable; cluster=source_file,29.63403778238209,8.511361282464746e-15,3481703666302433.5,0.0,0.0,True,5.92405053165439e+32,0.0,1.7636702337114282e+31,0.0,1.45738613092807e+31,0.0,1200,6
DB_vs_NB_within_condition_clustered,cry_count,DB_vs_NB_at_No ACE,GEE Gaussian exchangeable; cluster=source_file,17.9975842878154,4.3204617868347765e-15,4165662185152817.0,0.0,0.0,True,1.7352741440812146e+31,0.0,3.3364124279940216e+30,0.0,7.78078242047619e+30,0.0,1200,6
DB_vs_NB_within_condition_clustered,cry_count,DB_vs_NB_at_Moderate adversity,GEE Gaussian exchangeable; cluster=source_file,19.775127254549133,4.709026057968691e-15,4199409179544747.0,0.0,0.0,True,1.7352741440812146e+31,0.0,3.3364124279940216e+30,0.0,7.78078242047619e+30,0.0,1200,6
DB_vs_NB_within_condition_clustered,cry_count,DB_vs_NB_at_ACE,GEE Gaussian exchangeable; cluster=source_file,9.917694050770141,3.6212770075171976e-16,2.738728363000836e+16,0.0,0.0,True,1.7352741440812146e+31,0.0,3.3364124279940216e+30,0.0,7.78078242047619e+30,0.0,1200,6
Within_role_across_conditions_clustered,cry_count,DB_No_ACE_vs_Moderate_adversity,GEE Gaussian exchangeable; cluster=source_file,0.1682581017736244,3.276474593174029e-16,513533973753867.0,0.0,0.0,True,1.7352741440812146e+31,0.0,3.3364124279940216e+30,0.0,7.78078242047619e+30,0.0,1200,6
Within_role_across_conditions_clustered,cry_count,DB_No_ACE_vs_ACE,GEE Gaussian exchangeable; cluster=source_file,0.592305677375711,3.495837932982286e-16,1694316752465745.2,0.0,0.0,True,1.7352741440812146e+31,0.0,3.3364124279940216e+30,0.0,7.78078242047619e+30,0.0,1200,6
Within_role_across_conditions_clustered,cry_count,DB_Moderate_adversity_vs_ACE,GEE Gaussian exchangeable; cluster=source_file,0.4240475756020866,2.9611954352263703e-16,1432014822654452.8,0.0,0.0,True,1.7352741440812146e+31,0.0,3.3364124279940216e+30,0.0,7.78078242047619e+30,0.0,1200,6
Within_role_across_conditions_clustered,cry_count,NB_No_ACE_vs_Moderate_adversity,GEE Gaussian exchangeable; cluster=source_file,1.9458010685073583,6.382316399151912e-15,304873802365222.44,0.0,0.0,True,1.7352741440812146e+31,0.0,3.3364124279940216e+30,0.0,7.78078242047619e+30,0.0,1200,6
Within_role_across_conditions_clustered,cry_count,NB_No_ACE_vs_ACE,GEE Gaussian exchangeable; cluster=source_file,-7.487584559669548,4.321494833731639e-15,-1732637628356012.5,0.0,0.0,True,1.7352741440812146e+31,0.0,3.3364124279940216e+30,0.0,7.78078242047619e+30,0.0,1200,6
Within_role_across_conditions_clustered,cry_count,NB_Moderate_adversity_vs_ACE,GEE Gaussian exchangeable; cluster=source_file,-9.433385628176906,4.713460105436404e-15,-2001371692378735.0,0.0,0.0,True,1.7352741440812146e+31,0.0,3.3364124279940216e+30,0.0,7.78078242047619e+30,0.0,1200,6
DB_vs_NB_within_condition_clustered,chase_count,DB_vs_NB_at_No ACE,GEE Gaussian exchangeable; cluster=source_file,15.406236900848928,2.990813668009919e-15,5151185801253946.0,0.0,0.0,True,2.653471515904026e+31,0.0,1.6063425390829343e+31,0.0,5.644322557442534e+31,0.0,1200,6
DB_vs_NB_within_condition_clustered,chase_count,DB_vs_NB_at_Moderate adversity,GEE Gaussian exchangeable; cluster=source_file,16.52449322607046,5.076030506488413e-15,3255396752432457.5,0.0,0.0,True,2.653471515904026e+31,0.0,1.6063425390829343e+31,0.0,5.644322557442534e+31,0.0,1200,6
DB_vs_NB_within_condition_clustered,chase_count,DB_vs_NB_at_ACE,GEE Gaussian exchangeable; cluster=source_file,-12.33438810063599,2.699151325882945e-15,-4569728263235175.0,0.0,0.0,True,2.653471515904026e+31,0.0,1.6063425390829343e+31,0.0,5.644322557442534e+31,0.0,1200,6
Within_role_across_conditions_clustered,chase_count,DB_No_ACE_vs_Moderate_adversity,GEE Gaussian exchangeable; cluster=source_file,-2.170856210281698,9.87562675794517e-16,-2198195885172750.0,0.0,0.0,True,2.653471515904026e+31,0.0,1.6063425390829343e+31,0.0,5.644322557442534e+31,0.0,1200,6
Within_role_across_conditions_clustered,chase_count,DB_No_ACE_vs_ACE,GEE Gaussian exchangeable; cluster=source_file,7.60004891294903,2.7860141228722454e-15,2727929069187111.0,0.0,0.0,True,2.653471515904026e+31,0.0,1.6063425390829343e+31,0.0,5.644322557442534e+31,0.0,1200,6
Within_role_across_conditions_clustered,chase_count,DB_Moderate_adversity_vs_ACE,GEE Gaussian exchangeable; cluster=source_file,9.770905123230728,2.7240341908682434e-15,3586924553291456.0,0.0,0.0,True,2.653471515904026e+31,0.0,1.6063425390829343e+31,0.0,5.644322557442534e+31,0.0,1200,6
Within_role_across_conditions_clustered,chase_count,NB_No_ACE_vs_Moderate_adversity,GEE Gaussian exchangeable; cluster=source_file,-1.0525998850601648,5.80825011923959e-15,-181224958197559.53,0.0,0.0,True,2.653471515904026e+31,0.0,1.6063425390829343e+31,0.0,5.644322557442534e+31,0.0,1200,6
Within_role_across_conditions_clustered,chase_count,NB_No_ACE_vs_ACE,GEE Gaussian exchangeable; cluster=source_file,-20.140576088535887,2.910070359407946e-15,-6920992828720983.0,0.0,0.0,True,2.653471515904026e+31,0.0,1.6063425390829343e+31,0.0,5.644322557442534e+31,0.0,1200,6
Within_role_across_conditions_clustered,chase_count,NB_Moderate_adversity_vs_ACE,GEE Gaussian exchangeable; cluster=source_file,-19.087976203475723,5.062832789927136e-15,-3770216595233522.5,0.0,0.0,True,2.653471515904026e+31,0.0,1.6063425390829343e+31,0.0,5.644322557442534e+31,0.0,1200,6
