action,comparison,role,condition,estimate_diff,std_err,z,p_value,p_holm,significant,n_runs,n_clusters
fight_count,Random_vs_DB,DB,No ACE,-32.945386536024934,0.11512254699540293,-286.1766647444007,0.0,0.0,True,2200,11
fight_count,Random_vs_DB,DB,Moderate adversity,-32.31876964812812,0.04078666391372227,-792.385710105964,0.0,0.0,True,2200,11
fight_count,Random_vs_DB,DB,ACE,-24.679314049957704,0.0,-0.0,1.0,1.0,False,2200,11
fight_count,Random_vs_NB,NB,No ACE,17.87811201510315,0.11512254699540313,155.2963557678847,0.0,0.0,True,2200,11
fight_count,Random_vs_NB,NB,Moderate adversity,18.33183728548503,0.04078666391372229,449.4566489738685,0.0,0.0,True,2200,11
fight_count,Random_vs_NB,NB,ACE,19.534521037300365,0.0,0.0,1.0,1.0,False,2200,11
fight_count,DB_vs_NB,both,No ACE,-50.82349855112808,0.0,-0.0,1.0,1.0,False,2200,11
fight_count,DB_vs_NB,both,Moderate adversity,-50.65060693361315,nan,nan,nan,1.0,False,2200,11
fight_count,DB_vs_NB,both,ACE,-44.21383508725807,0.0,-0.0,1.0,1.0,False,2200,11
fight_count,DB_condition,DB,No_ACE_vs_Moderate_adversity,0.5414120774207503,0.0,0.0,1.0,1.0,False,2200,11
fight_count,DB_condition,DB,No_ACE_vs_ACE,8.090859874505286,0.0,0.0,1.0,1.0,False,2200,11
fight_count,DB_condition,DB,Moderate_adversity_vs_ACE,7.549447797084536,0.0,0.0,1.0,1.0,False,2200,11
fight_count,NB_condition,NB,No_ACE_vs_Moderate_adversity,0.36852045990581284,nan,nan,nan,0.0,True,2200,11
fight_count,NB_condition,NB,No_ACE_vs_ACE,1.4811964106352722,0.0,0.0,1.0,1.0,False,2200,11
fight_count,NB_condition,NB,Moderate_adversity_vs_ACE,1.1126759507294592,0.0,0.0,1.0,1.0,False,2200,11
flee_count,Random_vs_DB,DB,No ACE,13.979759401710396,0.0571627798686282,244.56052406546274,0.0,0.0,True,2200,11
flee_count,Random_vs_DB,DB,Moderate adversity,11.236286421997411,0.0257882697357653,435.7130795174677,0.0,0.0,True,2200,11
flee_count,Random_vs_DB,DB,ACE,13.886984731422752,0.0,0.0,1.0,1.0,False,2200,11
flee_count,Random_vs_NB,NB,No ACE,-3.4399179607533537,0.05716277986862811,-60.17758353703225,0.0,0.0,True,2200,11
flee_count,Random_vs_NB,NB,Moderate adversity,-3.114700030996139,0.02578826973576528,-120.77972128065726,0.0,0.0,True,2200,11
flee_count,Random_vs_NB,NB,ACE,-32.743544405701165,0.0,-0.0,1.0,1.0,False,2200,11
flee_count,DB_vs_NB,both,No ACE,17.41967736246375,nan,nan,nan,0.0,True,2200,11
flee_count,DB_vs_NB,both,Moderate adversity,14.350986452993553,nan,nan,nan,0.0,True,2200,11
flee_count,DB_vs_NB,both,ACE,46.630529137123915,0.0,0.0,1.0,1.0,False,2200,11
flee_count,DB_condition,DB,No_ACE_vs_Moderate_adversity,-2.5440101859288204,0.0,-0.0,1.0,1.0,False,2200,11
flee_count,DB_condition,DB,No_ACE_vs_ACE,0.10149471581945635,6.585445079827193e-10,154119751.344308,0.0,0.0,True,2200,11
flee_count,DB_condition,DB,Moderate_adversity_vs_ACE,2.645504901748277,1.1406325468715177e-09,2319331417.470301,0.0,0.0,True,2200,11
flee_count,NB_condition,NB,No_ACE_vs_Moderate_adversity,0.5246807235413797,0.0,0.0,1.0,1.0,False,2200,11
flee_count,NB_condition,NB,No_ACE_vs_ACE,-29.109357058840708,0.0,-0.0,1.0,1.0,False,2200,11
flee_count,NB_condition,NB,Moderate_adversity_vs_ACE,-29.634037782382087,0.0,-0.0,1.0,1.0,False,2200,11
cry_count,Random_vs_DB,DB,No ACE,19.513255090438648,0.027200836927204118,717.3770109596531,0.0,0.0,True,2200,11
cry_count,Random_vs_DB,DB,Moderate adversity,19.382224405936142,0.007350664416201378,2636.7989760512487,0.0,0.0,True,2200,11
cry_count,Random_vs_DB,DB,ACE,18.93519523437924,0.0,0.0,1.0,1.0,False,2200,11
cry_count,Random_vs_NB,NB,No ACE,1.5156708026232475,0.027200836927204056,55.72147675748158,0.0,0.0,True,2200,11
cry_count,Random_vs_NB,NB,Moderate adversity,-0.3929028486129891,0.00735066441620137,-53.45133805142895,0.0,0.0,True,2200,11
cry_count,Random_vs_NB,NB,ACE,9.017501183609106,3.2927225399135965e-10,27386155603.15547,0.0,0.0,True,2200,11
cry_count,DB_vs_NB,both,No ACE,17.9975842878154,0.0,0.0,1.0,1.0,False,2200,11
cry_count,DB_vs_NB,both,Moderate adversity,19.77512725454913,5.703162734357589e-10,34673966315.94912,0.0,0.0,True,2200,11
cry_count,DB_vs_NB,both,ACE,9.917694050770134,3.2927225399135965e-10,30120041790.798386,0.0,0.0,True,2200,11
cry_count,DB_condition,DB,No_ACE_vs_Moderate_adversity,-0.168258101773626,3.2927225399135965e-10,-510999939.2115231,0.0,0.0,True,2200,11
cry_count,DB_condition,DB,No_ACE_vs_ACE,-0.5923056773757139,0.0,-0.0,1.0,1.0,False,2200,11
cry_count,DB_condition,DB,Moderate_adversity_vs_ACE,-0.42404757560208794,4.656612873077393e-10,-910635234.5795276,0.0,0.0,True,2200,11
cry_count,NB_condition,NB,No_ACE_vs_Moderate_adversity,-1.9458010685073586,3.2927225399135965e-10,-5909398817.910779,0.0,0.0,True,2200,11
cry_count,NB_condition,NB,No_ACE_vs_ACE,7.487584559669552,0.0,0.0,1.0,1.0,False,2200,11
cry_count,NB_condition,NB,Moderate_adversity_vs_ACE,9.433385628176909,3.2927225399135965e-10,28649196869.24015,0.0,0.0,True,2200,11
chase_count,Random_vs_DB,DB,No ACE,-0.5476279561241151,0.03075893019957035,-17.80386874871755,6.595139692206017e-71,6.595139692206017e-71,True,2200,11
chase_count,Random_vs_DB,DB,Moderate adversity,1.7002588201945594,0.07392559806568888,22.999595061560974,4.7049721149698284e-117,9.409944229939657e-117,True,2200,11
chase_count,Random_vs_DB,DB,ACE,-8.142865915844292,3.2927225399135965e-10,-24729887857.657043,0.0,0.0,True,2200,11
chase_count,Random_vs_NB,NB,No ACE,-15.953864856973041,0.030758930199570343,-518.6742436574043,0.0,0.0,True,2200,11
chase_count,Random_vs_NB,NB,Moderate adversity,-14.824234405875899,0.07392559806568887,-200.5291102643954,0.0,0.0,True,2200,11
chase_count,Random_vs_NB,NB,ACE,4.1915221847916975,nan,nan,nan,0.0,True,2200,11
chase_count,DB_vs_NB,both,No ACE,15.406236900848926,0.0,0.0,1.0,1.0,False,2200,11
chase_count,DB_vs_NB,both,Moderate adversity,16.524493226070458,1.3170890159654386e-09,12546223547.356707,0.0,0.0,True,2200,11
chase_count,DB_vs_NB,both,ACE,-12.334388100635989,3.2927225399135965e-10,-37459542828.530136,0.0,0.0,True,2200,11
chase_count,DB_condition,DB,No_ACE_vs_Moderate_adversity,2.1708562102816984,9.313225746154785e-10,2330939106.8695984,0.0,0.0,True,2200,11
chase_count,DB_condition,DB,No_ACE_vs_ACE,-7.60004891294903,3.2927225399135965e-10,-23081352348.468636,0.0,0.0,True,2200,11
chase_count,DB_condition,DB,Moderate_adversity_vs_ACE,-9.77090512323073,0.0,-0.0,1.0,1.0,False,2200,11
chase_count,NB_condition,NB,No_ACE_vs_Moderate_adversity,1.0525998850601654,9.313225746154785e-10,1130220520.5266924,0.0,0.0,True,2200,11
chase_count,NB_condition,NB,No_ACE_vs_ACE,20.140576088535884,0.0,0.0,1.0,1.0,False,2200,11
chase_count,NB_condition,NB,Moderate_adversity_vs_ACE,19.08797620347572,8.711724976948326e-10,21910673550.85645,0.0,0.0,True,2200,11
