analysis_type,role,condition,action,comparison,global_test,global_statistic,global_p_value,test_used,test_statistic,p_value_raw,p_value_holm,significant_alpha_0_05,n_group_1,n_group_2,group_1,group_2,group_1_shapiro_p,group_2_shapiro_p
DB_vs_NB_within_condition,,No ACE,fight_count,DB_vs_NB,,,,Insufficient N,,,,,1,1,DB,NB,,
DB_vs_NB_within_condition,,No ACE,flee_count,DB_vs_NB,,,,Insufficient N,,,,,1,1,DB,NB,,
DB_vs_NB_within_condition,,No ACE,cry_count,DB_vs_NB,,,,Insufficient N,,,,,1,1,DB,NB,,
DB_vs_NB_within_condition,,No ACE,chase_count,DB_vs_NB,,,,Insufficient N,,,,,1,1,DB,NB,,
DB_vs_NB_within_condition,,Moderate adversity,fight_count,DB_vs_NB,,,,Insufficient N,,,,,1,1,DB,NB,,
DB_vs_NB_within_condition,,Moderate adversity,flee_count,DB_vs_NB,,,,Insufficient N,,,,,1,1,DB,NB,,
DB_vs_NB_within_condition,,Moderate adversity,cry_count,DB_vs_NB,,,,Insufficient N,,,,,1,1,DB,NB,,
DB_vs_NB_within_condition,,Moderate adversity,chase_count,DB_vs_NB,,,,Insufficient N,,,,,1,1,DB,NB,,
DB_vs_NB_within_condition,,ACE,fight_count,DB_vs_NB,,,,Insufficient N,,,,,1,1,DB,NB,,
DB_vs_NB_within_condition,,ACE,flee_count,DB_vs_NB,,,,Insufficient N,,,,,1,1,DB,NB,,
DB_vs_NB_within_condition,,ACE,cry_count,DB_vs_NB,,,,Insufficient N,,,,,1,1,DB,NB,,
DB_vs_NB_within_condition,,ACE,chase_count,DB_vs_NB,,,,Insufficient N,,,,,1,1,DB,NB,,
Within_role_across_conditions,DB,,fight_count,No ACE_vs_Moderate adversity,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,No ACE,Moderate adversity,,
Within_role_across_conditions,DB,,fight_count,No ACE_vs_ACE,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,No ACE,ACE,,
Within_role_across_conditions,DB,,fight_count,Moderate adversity_vs_ACE,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,Moderate adversity,ACE,,
Within_role_across_conditions,DB,,flee_count,No ACE_vs_Moderate adversity,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,No ACE,Moderate adversity,,
Within_role_across_conditions,DB,,flee_count,No ACE_vs_ACE,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,No ACE,ACE,,
Within_role_across_conditions,DB,,flee_count,Moderate adversity_vs_ACE,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,Moderate adversity,ACE,,
Within_role_across_conditions,DB,,cry_count,No ACE_vs_Moderate adversity,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,No ACE,Moderate adversity,,
Within_role_across_conditions,DB,,cry_count,No ACE_vs_ACE,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,No ACE,ACE,,
Within_role_across_conditions,DB,,cry_count,Moderate adversity_vs_ACE,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,Moderate adversity,ACE,,
Within_role_across_conditions,DB,,chase_count,No ACE_vs_Moderate adversity,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,No ACE,Moderate adversity,,
Within_role_across_conditions,DB,,chase_count,No ACE_vs_ACE,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,No ACE,ACE,,
Within_role_across_conditions,DB,,chase_count,Moderate adversity_vs_ACE,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,Moderate adversity,ACE,,
Within_role_across_conditions,NB,,fight_count,No ACE_vs_Moderate adversity,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,No ACE,Moderate adversity,,
Within_role_across_conditions,NB,,fight_count,No ACE_vs_ACE,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,No ACE,ACE,,
Within_role_across_conditions,NB,,fight_count,Moderate adversity_vs_ACE,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,Moderate adversity,ACE,,
Within_role_across_conditions,NB,,flee_count,No ACE_vs_Moderate adversity,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,No ACE,Moderate adversity,,
Within_role_across_conditions,NB,,flee_count,No ACE_vs_ACE,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,No ACE,ACE,,
Within_role_across_conditions,NB,,flee_count,Moderate adversity_vs_ACE,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,Moderate adversity,ACE,,
Within_role_across_conditions,NB,,cry_count,No ACE_vs_Moderate adversity,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,No ACE,Moderate adversity,,
Within_role_across_conditions,NB,,cry_count,No ACE_vs_ACE,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,No ACE,ACE,,
Within_role_across_conditions,NB,,cry_count,Moderate adversity_vs_ACE,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,Moderate adversity,ACE,,
Within_role_across_conditions,NB,,chase_count,No ACE_vs_Moderate adversity,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,No ACE,Moderate adversity,,
Within_role_across_conditions,NB,,chase_count,No ACE_vs_ACE,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,No ACE,ACE,,
Within_role_across_conditions,NB,,chase_count,Moderate adversity_vs_ACE,Kruskal-Wallis,2.0,0.36787944117144245,Insufficient N,,,,,1,1,Moderate adversity,ACE,,
