agent_type,condition,metric,early_mean,late_mean,pct_change
DB,LowThreat,loss,579.8197259892986,45.67752139767733,-92.12211669416016
DB,LowThreat,entropy,1.4880976693526982,0.6613220129986854,-55.55923333403571
DB,ModerateThreat,loss,431.9794679559468,30.140387161043023,-93.02272691254004
DB,ModerateThreat,entropy,1.4875542131877586,0.6410503862576065,-56.90574632007087
DB,HighThreat,loss,2246.888488940102,63.30528144670894,-97.18253568175199
DB,HighThreat,entropy,1.4908737530919338,0.5038425619838064,-66.2048807996731
NB,LowThreat,loss,83.51149411632741,0.2143476589085067,-99.74333154833761
NB,LowThreat,entropy,1.501301108242901,0.9993888068979921,-33.43182114428325
NB,ModerateThreat,loss,84.53582609238421,0.24505096284912908,-99.71012176236222
NB,ModerateThreat,entropy,1.499688103355837,0.9854192880737392,-34.291717999984364
NB,HighThreat,loss,2242.6888254831997,13.596320589238044,-99.39374912672922
NB,HighThreat,entropy,1.4953416384225238,0.7702697686444304,-48.48870994744661
