agent_type,condition,metric,n_runs,mean_slope,std_slope,sem_slope,ci95_low,ci95_high,t_stat,p_value
DB,LowThreat,loss,200,-0.3169923530455913,2.6127778246592515,0.1847512917550393,-0.6813138718809061,0.04732916578972346,-1.7157788182931337,0.08775887751585709
DB,LowThreat,reward,200,0.0003223802771640937,0.006579059636885235,0.0004652097683072254,-0.0005949931698991815,0.0012397537242273687,0.6929783059739906,0.4891311122840687
DB,LowThreat,entropy,200,-0.00039988751452510826,0.002432473984312185,0.00017200188493670055,-0.000739067757149672,-6.070727190054452e-05,-2.3249019315821644,0.02108549371891295
DB,ModerateThreat,loss,200,0.030183349765829107,1.8765350079910985,0.1326910629284458,-0.23147766013964083,0.291844359671299,0.2274708567381483,0.82029115759514
DB,ModerateThreat,reward,200,-0.0013371660142013069,0.02211606257873856,0.0015638417822572079,-0.004420994050897733,0.0017466620224951197,-0.8550519811993237,0.3935506248346423
DB,ModerateThreat,entropy,200,-0.00015654770280172333,0.003740918511439768,0.0002645228847305345,-0.000678175336450453,0.0003650799308470064,-0.5918115665538584,0.5546485109446835
DB,HighThreat,loss,200,-0.2672045747206048,3.996923885332632,0.28262519832051863,-0.8245291841192013,0.2901200346779916,-0.9454379025948504,0.34558188401125745
DB,HighThreat,reward,200,0.003579275169494546,0.044528900345053295,0.003148668739276718,-0.002629762756603096,0.009788313095592187,1.136758251144813,0.2570063542013124
DB,HighThreat,entropy,200,5.543339612304868e-05,0.004631677558202216,0.0003275090609674337,-0.0005904002399534288,0.0007012670321995261,0.16925759537553917,0.8657659544549223
NB,LowThreat,loss,200,-0.0001548781862170952,0.024441644764609985,0.0017282852756408398,-0.003562981645850995,0.003253225273416804,-0.08961378564060678,0.9286842562796305
NB,LowThreat,reward,200,-4.246244730213063e-05,0.00035780056754886177,2.530032076261955e-05,-9.235358040164676e-05,7.428685797385505e-06,-1.678336322315233,0.09485112098218128
NB,LowThreat,entropy,200,6.947173479859338e-05,0.0033900645857548083,0.0002397137657247589,-0.0004032333942695766,0.0005421768638667634,0.2898112029092285,0.7722624195226386
NB,ModerateThreat,loss,200,-0.0045982222183505415,0.024360978712863534,0.0017225813244206936,-0.00799507773404778,-0.001201366702653302,-2.669378886884734,0.008226640626610271
NB,ModerateThreat,reward,200,2.1283433997497875e-05,0.0004675969949691004,3.3064100600510284e-05,-4.391753556147671e-05,8.648440355647245e-05,0.6437021909245402,0.5205097139129715
NB,ModerateThreat,entropy,200,-0.00010105161319581761,0.0035793747661278783,0.00025310001695370355,-0.000600153847977903,0.00039805062158626786,-0.39925565557864723,0.6901329786681266
NB,HighThreat,loss,200,0.17370105291450194,2.663850178647654,0.1883626525386752,-0.19774191245175782,0.5451440182807616,0.9221629159147517,0.3575602675037818
NB,HighThreat,reward,200,-0.0009563912588758516,0.01899962932580714,0.0013434766736309018,-0.003605668877491886,0.0016928863597401823,-0.7118778298480561,0.4773741429707878
NB,HighThreat,entropy,200,8.467424929902521e-06,0.0033858043628827166,0.0002394125224765367,-0.000463643665543524,0.00048057851540332907,0.03536751061437214,0.9718221422251965
