analysis_type,cluster,comparison,group_label,predictor,dependent_variables,statistic,value,num_df,den_df,f_value,p_value
within_agent_conditions,adaptive,DB,condition,condition,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Wilks' lambda,0.1488464034093219,10.0,4386.0,698.2402847741919,0.0
within_agent_conditions,adaptive,DB,condition,condition,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Pillai's trace,0.8559768727579012,10.0,4388.0,328.31735899573454,0.0
within_agent_conditions,adaptive,DB,condition,condition,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Hotelling-Lawley trace,5.685930603886203,10.0,3286.7511972633934,1246.5459230175225,0.0
within_agent_conditions,adaptive,DB,condition,condition,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Roy's greatest root,5.680225833339001,5.0,2194.0,2492.483095669154,0.0
within_agent_conditions,maladaptive,DB,condition,condition,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical|learned_helplessness,Wilks' lambda,0.12766377389493846,12.0,4384.0,657.1481694810034,0.0
within_agent_conditions,maladaptive,DB,condition,condition,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical|learned_helplessness,Pillai's trace,0.8785886168810331,12.0,4386.0,286.35712487319256,0.0
within_agent_conditions,maladaptive,DB,condition,condition,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical|learned_helplessness,Hotelling-Lawley trace,6.784100210305847,12.0,3406.6927600891213,1238.8255776698209,0.0
within_agent_conditions,maladaptive,DB,condition,condition,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical|learned_helplessness,Roy's greatest root,6.776873359897835,6.0,2193.0,2476.947213042659,0.0
within_agent_conditions,adaptive,NB,condition,condition,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Wilks' lambda,0.23856789524183444,10.0,2386.0,249.89985576107793,0.0
within_agent_conditions,adaptive,NB,condition,condition,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Pillai's trace,0.7944475802781213,10.0,2388.0,157.36692910805365,6.857661453539143e-254
within_agent_conditions,adaptive,NB,condition,condition,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Hotelling-Lawley trace,3.0532885764021995,10.0,1786.752201257863,364.0541732690162,0.0
within_agent_conditions,adaptive,NB,condition,condition,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Roy's greatest root,3.0072700046954792,5.0,1194.0,718.1360771212804,0.0
within_agent_conditions,maladaptive,NB,condition,condition,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical,Wilks' lambda,0.27686767545639523,10.0,2386.0,214.8551222923398,0.0
