Behavior,Condition,H_stat,p_kruskal_wallis,Significant_KW,NB_Median,NB_Q1,NB_Q3,NB_N,DB_Median,DB_Q1,DB_Q3,DB_N,Random_NB_Median,Random_NB_Q1,Random_NB_Q3,Random_NB_N,Random_DB_Median,Random_DB_Q1,Random_DB_Q3,Random_DB_N,U_NB_vs_DB,p_NB_vs_DB_raw,p_NB_vs_DB_holm,NB_vs_DB_Sig,U_NB_vs_Random_NB,p_NB_vs_Random_NB_raw,p_NB_vs_Random_NB_holm,NB_vs_Random_NB_Sig,U_DB_vs_Random_DB,p_DB_vs_Random_DB_raw,p_DB_vs_Random_DB_holm,DB_vs_Random_DB_Sig
Protective Behavior,No ACE,449.2041476093156,4.849358189661484e-97,Yes,1.1054087786825866,0.5886922217567379,1.8810189238332549,206,15.799368171994686,9.453404762312275,20.46942280804054,206,10.16573042736246,9.560157473449829,10.797042353931717,206,9.521318234750282,8.91438346103617,10.137382469387116,206,2030.0,9.136638297186707e-57,1.8273276594373413e-56,Yes,1622.5,4.002597979915003e-59,1.200779393974501e-58,Yes,31494.5,1.8473156794246512e-17,1.8473156794246512e-17,Yes
Protective Behavior,Moderate,479.76484661676443,1.1580943290043606e-103,Yes,1.0238572495381835,0.40214477211796246,1.7608870049223029,206,15.663436469061141,9.817625432884785,20.296033938437255,206,10.472623728563253,9.651596075021738,11.046490142094274,206,9.511572445218741,8.92686767418892,10.056149131736705,206,1248.5,2.2973374822981567e-61,6.89201244689447e-61,Yes,1377.5,1.342582501078684e-60,2.685165002157368e-60,Yes,32025.5,3.8084177522332594e-19,3.8084177522332594e-19,Yes
Protective Behavior,ACE,497.1750480364992,1.953780076258463e-107,Yes,0.0,0.0,0.0,206,6.919676548134017,4.770518336237293,28.29521324829598,206,11.466076585764455,10.753956094464751,12.103158961653246,206,10.286599113256727,9.643670639479705,10.927405945267495,206,107.0,9.088256238026694e-77,1.8176512476053388e-76,Yes,107.0,9.086741047746471e-77,2.7260223143239413e-76,Yes,18571.5,0.028562935307784112,0.028562935307784112,Yes
Healthy Friendliness,No ACE,501.33203194698376,2.4547030069609006e-108,Yes,33.440445586975144,22.317823612394804,41.90919727412102,206,4.90319045051481,0.37800557231575493,8.933021910651455,206,10.24438693371648,9.553169178188597,10.970247997584899,206,9.521623140323758,8.936543954022184,10.055715431428975,206,41250.0,9.658622674296872e-62,2.8975868022890618e-61,Yes,41243.5,1.1493340939496568e-61,2.2986681878993137e-61,Yes,10353.0,2.411751856170681e-19,2.411751856170681e-19,Yes
Healthy Friendliness,Moderate,510.6434413986007,2.3552256986178934e-110,Yes,31.855858478759647,22.539071905745853,38.33377078685389,206,5.013825670859257,0.5206124029710756,9.47909837856737,206,10.517754526947515,9.824648402396802,11.30437273496156,206,9.387646291756138,8.800406983628557,9.990415359281911,206,41163.0,3.354997239326836e-61,6.709994478653672e-61,Yes,41447.5,6.841584492729849e-63,2.0524753478189547e-62,Yes,10966.5,2.187344186060876e-17,2.187344186060876e-17,Yes
Healthy Friendliness,ACE,433.00283621084327,1.5696895101928719e-93,Yes,43.72483688195247,36.62910742729043,55.947817989515315,206,3.091129657741745,0.6277351873118346,29.490359526434318,206,11.627847721822542,10.998618852661174,12.409018678898788,206,10.199882157458841,9.528611449101401,10.961949382243876,206,39095.0,1.6226810092192176e-49,3.2453620184384353e-49,Yes,41411.5,1.1277266182803122e-62,3.3831798548409367e-62,Yes,17036.5,0.0005404751265328199,0.0005404751265328199,Yes
Adaptive Avoidance,No ACE,509.52130528619193,4.123115012243155e-110,Yes,23.826369770195285,8.443952802359881,35.26294478484499,206,0.3026101316207175,0.0,0.8744781071948062,206,10.267886730763902,9.607980914799096,10.84653344662814,206,9.469696969696969,8.794862009099617,10.113795518207283,206,41921.0,5.438639322210512e-66,1.0877278644421023e-65,Yes,30194.5,1.1083073758934881e-13,1.1083073758934881e-13,Yes,176.0,4.14580839160923e-68,1.2437425174827691e-67,Yes
Adaptive Avoidance,Moderate,496.3179224396772,2.99657361691477e-107,Yes,20.998892426969405,7.858926879683059,33.6798442994949,206,0.6268542142061226,0.19217476615717358,1.3276473828832072,206,10.346475507765831,9.76613037346137,11.042122844048158,206,9.501185396778393,8.966504343248223,10.007288629737609,206,41242.5,9.369809004921003e-62,1.8739618009842005e-61,Yes,29191.5,4.185334258226e-11,4.185334258226e-11,Yes,183.5,6.1335202607671565e-68,1.840056078230147e-67,Yes
Adaptive Avoidance,ACE,553.1855451052785,1.4172405853801894e-119,Yes,41.644706048306944,24.5731313392338,43.74802465233881,206,2.195519441766515,1.604814981852544,2.717106951561763,206,11.587530053366986,10.950778725229341,12.248305401921238,206,10.19895554838911,9.526265292697126,10.71848227660613,206,40413.0,8.345935193959103e-57,1.6691870387918205e-56,Yes,34392.5,1.1399880834846184e-27,1.1399880834846184e-27,Yes,205.5,1.0413776834804638e-67,3.124133050441391e-67,Yes
Help-Seeking Vulnerability,No ACE,567.568694503876,1.0807777316057992e-122,Yes,11.279390986000852,3.711189982298193,21.50322783813573,206,0.0,0.0,0.2457007393121183,206,7.759960690359503,7.111581950957945,8.226795040819432,206,4.732915893630179,4.351939451277199,5.117131979104046,206,41824.5,2.5645474773972427e-66,5.129094954794485e-66,Yes,25017.0,0.001671573278838268,0.001671573278838268,Yes,154.0,3.8070208304639933e-69,1.142106249139198e-68,Yes
