condition,behavior_key,behavior,n_runs,n_present,probability_percent,ci95_low_percent,ci95_high_percent,ci95_halfwidth_percent
No ACE,bully_behavior,Misdirected Aggression,400,124,31.0,26.467566216699907,35.53243378330009,4.532433783300094
No ACE,aggressive_withdrawn_relationship,Relational Aggression,400,96,24.0,19.814585325203726,28.18541467479627,4.185414674796275
No ACE,dangerous_trust,Dangerous Trust,400,151,37.75,32.99933691470338,42.50066308529662,4.750663085296621
No ACE,fearful_withdrawn_relationship,Hypervigilant Withdrawal,400,116,28.999999999999996,24.553131888620936,33.44686811137906,4.446868111379064
No ACE,negative_expectancy_combo,Negative Expectancy,400,39,9.75,6.8429534317455465,12.657046568254454,2.9070465682544544
Moderate,bully_behavior,Misdirected Aggression,400,126,31.5,26.947744405242606,36.05225559475739,4.552255594757395
Moderate,aggressive_withdrawn_relationship,Relational Aggression,400,93,23.25,19.11022491552983,27.38977508447017,4.13977508447017
Moderate,dangerous_trust,Dangerous Trust,400,125,31.25,26.707578426653907,35.7924215733461,4.542421573346093
Moderate,fearful_withdrawn_relationship,Hypervigilant Withdrawal,400,130,32.5,27.909926471177176,37.09007352882283,4.590073528822823
Moderate,negative_expectancy_combo,Negative Expectancy,400,68,17.0,13.318798565685382,20.68120143431462,3.6812014343146173
ACE,bully_behavior,Misdirected Aggression,400,50,12.5,9.258954643945877,15.741045356054123,3.2410453560541237
ACE,aggressive_withdrawn_relationship,Relational Aggression,400,111,27.750000000000004,23.361900211936838,32.138099788063165,4.388099788063165
ACE,dangerous_trust,Dangerous Trust,400,24,6.0,3.672628950940568,8.327371049059431,2.3273710490594315
ACE,fearful_withdrawn_relationship,Hypervigilant Withdrawal,400,54,13.5,10.151108989531012,16.84889101046899,3.348891010468988
ACE,negative_expectancy_combo,Negative Expectancy,400,193,48.25,43.35300216969621,53.14699783030379,4.896997830303787
