behavior_key,behavior,condition,role,n_runs,n_present,probability_percent,ci95_low_percent,ci95_high_percent,ci95_halfwidth_percent
fearful_withdrawn_relationship,Hypervigilant Withdrawal,No ACE,NB,200,116,57.99999999999999,51.15962808028686,64.84037191971314,6.840371919713138
fearful_withdrawn_relationship,Hypervigilant Withdrawal,No ACE,DB,200,0,0.0,0.0,0.0,0.0
fearful_withdrawn_relationship,Hypervigilant Withdrawal,No ACE,Random NB,200,200,100.0,100.0,100.0,0.0
fearful_withdrawn_relationship,Hypervigilant Withdrawal,No ACE,Random DB,200,200,100.0,100.0,100.0,0.0
fearful_withdrawn_relationship,Hypervigilant Withdrawal,Moderate,NB,200,130,65.0,58.3895385940163,71.6104614059837,6.6104614059837
fearful_withdrawn_relationship,Hypervigilant Withdrawal,Moderate,DB,200,0,0.0,0.0,0.0,0.0
fearful_withdrawn_relationship,Hypervigilant Withdrawal,Moderate,Random NB,200,200,100.0,100.0,100.0,0.0
fearful_withdrawn_relationship,Hypervigilant Withdrawal,Moderate,Random DB,200,200,100.0,100.0,100.0,0.0
fearful_withdrawn_relationship,Hypervigilant Withdrawal,ACE,NB,200,54,27.0,20.847035836281833,33.15296416371817,6.152964163718167
fearful_withdrawn_relationship,Hypervigilant Withdrawal,ACE,DB,200,0,0.0,0.0,0.0,0.0
fearful_withdrawn_relationship,Hypervigilant Withdrawal,ACE,Random NB,200,200,100.0,100.0,100.0,0.0
fearful_withdrawn_relationship,Hypervigilant Withdrawal,ACE,Random DB,200,200,100.0,100.0,100.0,0.0
dangerous_trust,Dangerous Trust,No ACE,NB,200,26,13.0,8.339072195367107,17.66092780463289,4.660927804632893
dangerous_trust,Dangerous Trust,No ACE,DB,200,125,62.5,55.790398670561714,69.20960132943829,6.709601329438285
dangerous_trust,Dangerous Trust,No ACE,Random NB,200,200,100.0,100.0,100.0,0.0
dangerous_trust,Dangerous Trust,No ACE,Random DB,200,200,100.0,100.0,100.0,0.0
dangerous_trust,Dangerous Trust,Moderate,NB,200,9,4.5,1.6269114180032664,7.373088581996734,2.8730885819967336
dangerous_trust,Dangerous Trust,Moderate,DB,200,116,57.99999999999999,51.15962808028686,64.84037191971314,6.840371919713138
dangerous_trust,Dangerous Trust,Moderate,Random NB,200,200,100.0,100.0,100.0,0.0
dangerous_trust,Dangerous Trust,Moderate,Random DB,200,200,100.0,100.0,100.0,0.0
dangerous_trust,Dangerous Trust,ACE,NB,200,3,1.5,0.0,3.184631116891766,1.684631116891766
dangerous_trust,Dangerous Trust,ACE,DB,200,21,10.5,6.251386343758708,14.748613656241293,4.248613656241292
dangerous_trust,Dangerous Trust,ACE,Random NB,200,200,100.0,100.0,100.0,0.0
dangerous_trust,Dangerous Trust,ACE,Random DB,200,200,100.0,100.0,100.0,0.0
bully_behavior,Misdirected Aggression,No ACE,NB,200,0,0.0,0.0,0.0,0.0
bully_behavior,Misdirected Aggression,No ACE,DB,200,124,62.0,55.272887097721636,68.72711290227836,6.7271129022783605
bully_behavior,Misdirected Aggression,No ACE,Random NB,200,0,0.0,0.0,0.0,0.0
bully_behavior,Misdirected Aggression,No ACE,Random DB,200,0,0.0,0.0,0.0,0.0
bully_behavior,Misdirected Aggression,Moderate,NB,200,0,0.0,0.0,0.0,0.0
bully_behavior,Misdirected Aggression,Moderate,DB,200,126,63.0,56.30867367407627,69.69132632592374,6.6913263259237326
bully_behavior,Misdirected Aggression,Moderate,Random NB,200,0,0.0,0.0,0.0,0.0
bully_behavior,Misdirected Aggression,Moderate,Random DB,200,0,0.0,0.0,0.0,0.0
bully_behavior,Misdirected Aggression,ACE,NB,200,0,0.0,0.0,0.0,0.0
bully_behavior,Misdirected Aggression,ACE,DB,200,50,25.0,18.998750130181215,31.001249869818785,6.0012498698187855
bully_behavior,Misdirected Aggression,ACE,Random NB,200,0,0.0,0.0,0.0,0.0
bully_behavior,Misdirected Aggression,ACE,Random DB,200,0,0.0,0.0,0.0,0.0
aggressive_withdrawn_relationship,Relational Aggression,No ACE,NB,200,1,0.5,0.0,1.4775469298197401,0.9775469298197402
aggressive_withdrawn_relationship,Relational Aggression,No ACE,DB,200,95,47.5,40.57902102300549,54.42097897699451,6.920978976994512
aggressive_withdrawn_relationship,Relational Aggression,No ACE,Random NB,200,0,0.0,0.0,0.0,0.0
aggressive_withdrawn_relationship,Relational Aggression,No ACE,Random DB,200,0,0.0,0.0,0.0,0.0
aggressive_withdrawn_relationship,Relational Aggression,Moderate,NB,200,0,0.0,0.0,0.0,0.0
aggressive_withdrawn_relationship,Relational Aggression,Moderate,DB,200,93,46.5,39.587352026900255,53.412647973099745,6.912647973099744
aggressive_withdrawn_relationship,Relational Aggression,Moderate,Random NB,200,0,0.0,0.0,0.0,0.0
aggressive_withdrawn_relationship,Relational Aggression,Moderate,Random DB,200,0,0.0,0.0,0.0,0.0
aggressive_withdrawn_relationship,Relational Aggression,ACE,NB,200,0,0.0,0.0,0.0,0.0
aggressive_withdrawn_relationship,Relational Aggression,ACE,DB,200,111,55.50000000000001,48.612405499740866,62.38759450025915,6.887594500259143
aggressive_withdrawn_relationship,Relational Aggression,ACE,Random NB,200,0,0.0,0.0,0.0,0.0
