Behavior,Condition,NB_Probability,DB_Probability,Random_NB_Probability,Random_DB_Probability,NB_N,DB_N,Random_NB_N,Random_DB_N,NB_Present,DB_Present,Random_NB_Present,Random_DB_Present,Chi2,p_global,Cramers_V,NB_vs_DB_p_raw,NB_vs_DB_p_holm,NB_vs_Random_NB_p_raw,NB_vs_Random_NB_p_holm,DB_vs_Random_DB_p_raw,DB_vs_Random_DB_p_holm
Hypervigilant Withdrawal,No ACE,57.99999999999999,0.0,100.0,100.0,200,200,200,200,116,0,200,200,587.2256796593514,5.924396506609075e-127,0.8567567330194664,8.470422224383881e-37,1.6940844448767762e-36,2.2239337093999176e-24,2.2239337093999176e-24,4.0692864175653454e-88,1.2207859252696036e-87
Hypervigilant Withdrawal,Moderate,65.0,0.0,100.0,100.0,200,200,200,200,130,0,200,200,596.5059399021663,5.765734348479523e-129,0.8635001012609714,3.807919599116073e-43,7.615839198232146e-43,1.0884112886060296e-19,1.0884112886060296e-19,4.0692864175653454e-88,1.2207859252696036e-87
Hypervigilant Withdrawal,ACE,27.0,0.0,100.0,100.0,200,200,200,200,54,0,200,200,639.3929362634004,2.9046220375502236e-138,0.8940028916783495,8.847865137420893e-15,8.847865137420893e-15,2.999576034857897e-51,5.999152069715794e-51,4.0692864175653454e-88,1.2207859252696036e-87
Dangerous Trust,No ACE,13.0,62.5,100.0,100.0,200,200,200,200,26,125,200,200,475.82271007806185,8.279113421315703e-103,0.7712187676642583,5.088045455936324e-24,1.0176090911872647e-23,3.560968976553858e-68,1.0682906929661574e-67,2.552921898742884e-21,2.552921898742884e-21
Dangerous Trust,Moderate,4.5,57.99999999999999,100.0,100.0,200,200,200,200,9,116,200,200,545.9283116883116,5.302425446274878e-118,0.8260813456375767,2.8137952095498396e-30,5.627590419099679e-30,1.1812388882979633e-80,3.54371666489389e-80,2.2239337093999176e-24,2.2239337093999176e-24
Dangerous Trust,ACE,1.5,10.5,100.0,100.0,200,200,200,200,3,21,200,200,712.6856684062625,3.726238202051917e-154,0.9438522583052011,0.00034471929645556236,0.00034471929645556236,1.480657090608122e-85,4.4419712718243663e-85,1.2018476550210789e-71,2.4036953100421577e-71
Misdirected Aggression,No ACE,0.0,62.0,0.0,0.0,200,200,200,200,0,124,0,0,440.2366863905325,4.251914514544374e-95,0.7418192893071504,2.3936477296767367e-40,4.787295459353473e-40,,,2.3936477296767367e-40,4.787295459353473e-40
Misdirected Aggression,Moderate,0.0,63.0,0.0,0.0,200,200,200,200,0,126,0,0,448.6646884272997,6.346971641059988e-97,0.7488864136396952,2.8825200266446484e-41,5.765040053289297e-41,,,2.8825200266446484e-41,5.765040053289297e-41
Misdirected Aggression,ACE,0.0,25.0,0.0,0.0,200,200,200,200,0,50,0,0,160.0,1.8328665315368073e-34,0.4472135954999579,1.281181372461709e-13,2.562362744923418e-13,,,1.281181372461709e-13,2.562362744923418e-13
Relational Aggression,No ACE,0.5,47.5,0.0,0.0,200,200,200,200,1,95,0,0,318.2765151515152,1.1011167774024941e-68,0.6307500645575821,1.3177077124788634e-27,2.6354154249577268e-27,1.0,1.0,2.3305704517008376e-28,6.991711355102513e-28
Relational Aggression,Moderate,0.0,46.5,0.0,0.0,200,200,200,200,0,93,0,0,315.70014144271573,3.976783472079549e-68,0.628191990400542,1.293761720379224e-27,2.587523440758448e-27,,,1.293761720379224e-27,2.587523440758448e-27
Relational Aggression,ACE,0.0,55.50000000000001,0.0,0.0,200,200,200,200,0,111,0,0,386.6473149492017,1.727105250291333e-83,0.6952043898642342,1.1147002716801301e-34,2.2294005433602603e-34,,,1.1147002716801301e-34,2.2294005433602603e-34
Negative Expectancy,No ACE,8.5,11.0,100.0,100.0,200,200,200,200,17,22,200,200,658.1111693031885,2.5393551897374715e-142,0.906994466151247,0.5001690371494412,0.5001690371494412,1.5405976428248962e-74,4.6217929284746885e-74,6.11870260886658e-71,1.223740521773316e-70
Negative Expectancy,Moderate,7.5,26.5,100.0,100.0,200,200,200,200,15,53,200,200,582.3911028730306,6.617136322451686e-126,0.8532226430371431,8.435063510806199e-07,8.435063510806199e-07,5.027899864128488e-76,1.5083699592385465e-75,8.645221660095663e-52,1.7290443320191327e-51
Negative Expectancy,ACE,17.0,79.5,100.0,100.0,200,200,200,200,34,159,200,200,482.92233871821816,2.396192975899679e-104,0.7769510431151841,2.376646883851498e-35,4.753293767702996e-35,6.292897136881151e-63,1.8878691410643453e-62,4.280488483924129e-11,4.280488483924129e-11
