behavior_key,behavior,condition,role,n_runs,n_present,probability_percent,ci95_low_percent,ci95_high_percent,ci95_halfwidth_percent
protective_behavior,Protective Behavior,No ACE,NB,200,3,1.5,0.0,3.184631116891766,1.684631116891766
protective_behavior,Protective Behavior,No ACE,DB,200,106,53.0,46.082838154271656,59.917161845728344,6.917161845728346
protective_behavior,Protective Behavior,No ACE,Random NB,200,0,0.0,0.0,0.0,0.0
protective_behavior,Protective Behavior,No ACE,Random DB,200,0,0.0,0.0,0.0,0.0
protective_behavior,Protective Behavior,Moderate,NB,200,2,1.0,0.0,2.378982233388088,1.3789822333880883
protective_behavior,Protective Behavior,Moderate,DB,200,108,54.0,47.09256400681121,60.90743599318879,6.90743599318879
protective_behavior,Protective Behavior,Moderate,Random NB,200,0,0.0,0.0,0.0,0.0
protective_behavior,Protective Behavior,Moderate,Random DB,200,0,0.0,0.0,0.0,0.0
protective_behavior,Protective Behavior,ACE,NB,200,0,0.0,0.0,0.0,0.0
protective_behavior,Protective Behavior,ACE,DB,200,81,40.5,33.696583358341194,47.303416641658806,6.803416641658806
protective_behavior,Protective Behavior,ACE,Random NB,200,0,0.0,0.0,0.0,0.0
protective_behavior,Protective Behavior,ACE,Random DB,200,0,0.0,0.0,0.0,0.0
healthy_friendliness,Healthy Friendliness,No ACE,NB,200,67,33.5,26.95854588031071,40.04145411968929,6.541454119689292
healthy_friendliness,Healthy Friendliness,No ACE,DB,200,1,0.5,0.0,1.4775469298197401,0.9775469298197402
healthy_friendliness,Healthy Friendliness,No ACE,Random NB,200,0,0.0,0.0,0.0,0.0
healthy_friendliness,Healthy Friendliness,No ACE,Random DB,200,0,0.0,0.0,0.0,0.0
healthy_friendliness,Healthy Friendliness,Moderate,NB,200,47,23.5,17.623676149155834,29.376323850844166,5.876323850844165
healthy_friendliness,Healthy Friendliness,Moderate,DB,200,0,0.0,0.0,0.0,0.0
healthy_friendliness,Healthy Friendliness,Moderate,Random NB,200,0,0.0,0.0,0.0,0.0
healthy_friendliness,Healthy Friendliness,Moderate,Random DB,200,0,0.0,0.0,0.0,0.0
healthy_friendliness,Healthy Friendliness,ACE,NB,200,144,72.0,65.77719291637608,78.22280708362392,6.222807083623917
healthy_friendliness,Healthy Friendliness,ACE,DB,200,41,20.5,14.904980965179831,26.09501903482017,5.595019034820168
healthy_friendliness,Healthy Friendliness,ACE,Random NB,200,0,0.0,0.0,0.0,0.0
healthy_friendliness,Healthy Friendliness,ACE,Random DB,200,0,0.0,0.0,0.0,0.0
willingness_to_flee,Adaptive Avoidance,No ACE,NB,200,83,41.5,34.671221046189885,48.328778953810115,6.828778953810116
willingness_to_flee,Adaptive Avoidance,No ACE,DB,200,0,0.0,0.0,0.0,0.0
willingness_to_flee,Adaptive Avoidance,No ACE,Random NB,200,0,0.0,0.0,0.0,0.0
willingness_to_flee,Adaptive Avoidance,No ACE,Random DB,200,0,0.0,0.0,0.0,0.0
willingness_to_flee,Adaptive Avoidance,Moderate,NB,200,70,35.0,28.3895385940163,41.6104614059837,6.6104614059837
willingness_to_flee,Adaptive Avoidance,Moderate,DB,200,0,0.0,0.0,0.0,0.0
willingness_to_flee,Adaptive Avoidance,Moderate,Random NB,200,0,0.0,0.0,0.0,0.0
willingness_to_flee,Adaptive Avoidance,Moderate,Random DB,200,0,0.0,0.0,0.0,0.0
willingness_to_flee,Adaptive Avoidance,ACE,NB,200,147,73.5,67.38343380645644,79.61656619354356,6.116566193543563
willingness_to_flee,Adaptive Avoidance,ACE,DB,200,0,0.0,0.0,0.0,0.0
willingness_to_flee,Adaptive Avoidance,ACE,Random NB,200,0,0.0,0.0,0.0,0.0
willingness_to_flee,Adaptive Avoidance,ACE,Random DB,200,0,0.0,0.0,0.0,0.0
community_trusting_vulnerability,Help-Seeking Vulnerability,No ACE,NB,200,109,54.50000000000001,47.59847567562065,61.401524324379366,6.901524324379362
community_trusting_vulnerability,Help-Seeking Vulnerability,No ACE,DB,200,0,0.0,0.0,0.0,0.0
community_trusting_vulnerability,Help-Seeking Vulnerability,No ACE,Random NB,200,43,21.5,15.806292771840127,27.193707228159873,5.693707228159874
community_trusting_vulnerability,Help-Seeking Vulnerability,No ACE,Random DB,200,0,0.0,0.0,0.0,0.0
community_trusting_vulnerability,Help-Seeking Vulnerability,Moderate,NB,200,138,69.0,62.59017067309901,75.40982932690099,6.40982932690099
community_trusting_vulnerability,Help-Seeking Vulnerability,Moderate,DB,200,0,0.0,0.0,0.0,0.0
community_trusting_vulnerability,Help-Seeking Vulnerability,Moderate,Random NB,200,49,24.5,18.53929551143491,30.46070448856509,5.9607044885650895
community_trusting_vulnerability,Help-Seeking Vulnerability,Moderate,Random DB,200,0,0.0,0.0,0.0,0.0
community_trusting_vulnerability,Help-Seeking Vulnerability,ACE,NB,200,53,26.5,20.383433806456438,32.61656619354356,6.116566193543563
community_trusting_vulnerability,Help-Seeking Vulnerability,ACE,DB,200,0,0.0,0.0,0.0,0.0
community_trusting_vulnerability,Help-Seeking Vulnerability,ACE,Random NB,200,0,0.0,0.0,0.0,0.0
community_trusting_vulnerability,Help-Seeking Vulnerability,ACE,Random DB,200,0,0.0,0.0,0.0,0.0
hopefulness,Positive Expectancy,No ACE,NB,200,83,41.5,34.671221046189885,48.328778953810115,6.828778953810116
hopefulness,Positive Expectancy,No ACE,DB,200,58,28.999999999999996,22.711178806803296,35.288821193196696,6.288821193196702
hopefulness,Positive Expectancy,No ACE,Random NB,200,0,0.0,0.0,0.0,0.0
hopefulness,Positive Expectancy,No ACE,Random DB,200,0,0.0,0.0,0.0,0.0
hopefulness,Positive Expectancy,Moderate,NB,200,86,43.0,36.138600142828,49.861399857172,6.861399857172004
hopefulness,Positive Expectancy,Moderate,DB,200,65,32.5,26.008655763249035,38.99134423675097,6.491344236750966
hopefulness,Positive Expectancy,Moderate,Random NB,200,0,0.0,0.0,0.0,0.0
hopefulness,Positive Expectancy,Moderate,Random DB,200,0,0.0,0.0,0.0,0.0
hopefulness,Positive Expectancy,ACE,NB,200,2,1.0,0.0,2.378982233388088,1.3789822333880883
hopefulness,Positive Expectancy,ACE,DB,200,6,3.0,0.6357817359642959,5.364218264035705,2.364218264035704
hopefulness,Positive Expectancy,ACE,Random NB,200,0,0.0,0.0,0.0,0.0
hopefulness,Positive Expectancy,ACE,Random DB,200,0,0.0,0.0,0.0,0.0
