action,comparison,model,global_test,global_statistic,global_p_value,estimate_diff_pct_points,std_err,z_value,p_value_raw,p_value_holm,significant_alpha_0_05,n_runs_random,n_runs_no_ace,n_runs_moderate_adversity,n_runs_ace,n_clusters_random,n_clusters_no_ace,n_clusters_moderate_adversity,n_clusters_ace
fight_count,Random_vs_No ACE,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,0.35680677986717,0.9490132852641346,7.4794247509500895,17.968887995503152,0.4162430503669382,0.6772321606357471,1.0,False,1200,400,400,400,6,2,2,2
fight_count,Random_vs_Moderate adversity,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,0.35680677986717,0.9490132852641346,7.024458482290005,17.90776180921731,0.39225775711817007,0.6948677725317651,1.0,False,1200,400,400,400,6,2,2,2
fight_count,Random_vs_ACE,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,0.35680677986717,0.9490132852641346,2.693396608389736,15.63202919690872,0.1722998706349885,0.8632017860502201,1.0,False,1200,400,400,400,6,2,2,2
flee_count,Random_vs_No ACE,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,1.6864290389889605,0.6399551339645411,-5.149079719244144,6.158927640797461,-0.836035105386859,0.4031351541014908,1.0,False,1200,400,400,400,6,2,2,2
flee_count,Random_vs_Moderate adversity,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,1.6864290389889605,0.6399551339645411,-4.139414988051136,5.074011852547269,-0.8158071183797209,0.41461046131052526,1.0,False,1200,400,400,400,6,2,2,2
flee_count,Random_vs_ACE,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,1.6864290389889605,0.6399551339645411,9.354851452265875,16.48643459663425,0.5674272018872832,0.5704239730915625,1.0,False,1200,400,400,400,6,2,2,2
cry_count,Random_vs_No ACE,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,20.48319739373516,0.0001347721956712342,-10.535897957306146,6.363117831310407,-1.6557760262529047,0.09776718445886809,0.19553436891773618,False,1200,400,400,400,6,2,2,2
cry_count,Random_vs_Moderate adversity,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,20.48319739373516,0.0001347721956712342,-9.478868372165907,6.991573195799518,-1.355756151971739,0.17517676678930716,0.19553436891773618,False,1200,400,400,400,6,2,2,2
cry_count,Random_vs_ACE,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,20.48319739373516,0.0001347721956712342,-13.983537398453242,3.5064541093675703,-3.9879425089568143,6.664880911309181e-05,0.00019994642733927543,True,1200,400,400,400,6,2,2,2
chase_count,Random_vs_No ACE,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,3.739831110931996,0.2909627795928952,8.205552925598539,5.447023903416755,1.5064286610623172,0.13195716772434932,0.395871503173048,False,1200,400,400,400,6,2,2,2
chase_count,Random_vs_Moderate adversity,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,3.739831110931996,0.2909627795928952,6.593824877927731,5.842380680943474,1.1286195196823272,0.25905837275092325,0.5181167455018465,False,1200,400,400,400,6,2,2,2
chase_count,Random_vs_ACE,GEE Gaussian with exchangeable correlation; cluster=source_file,GEE Wald test,3.739831110931996,0.2909627795928952,1.9352893378050071,4.3609854048017676,0.4437734039820703,0.6572064188945865,0.6572064188945865,False,1200,400,400,400,6,2,2,2
