action,comparison,role,condition,estimate_diff,std_err,z,p_value,p_holm,significant,n_runs,n_clusters
fight_count,Random_vs_DB,DB,No ACE,-32.94538653602493,0.11512254699540266,-286.1766647444013,0.0,0.0,True,2400,12
fight_count,Random_vs_DB,DB,Moderate adversity,-32.31876964812811,0.04078666391372219,-792.3857101059655,0.0,0.0,True,2400,12
fight_count,Random_vs_DB,DB,ACE,-24.77709394347029,0.06914082576645039,-358.35692832429294,0.0,0.0,True,2400,12
fight_count,Random_vs_NB,NB,No ACE,17.87811201510315,0.11512254699540267,155.2963557678853,0.0,0.0,True,2400,12
fight_count,Random_vs_NB,NB,Moderate adversity,18.33183728548503,0.04078666391372221,449.4566489738694,0.0,0.0,True,2400,12
fight_count,Random_vs_NB,NB,ACE,19.436741143787778,0.06914082576645039,281.1181516611157,0.0,0.0,True,2400,12
fight_count,DB_vs_NB,both,No ACE,-50.823498551128075,0.0,-0.0,1.0,1.0,False,2400,12
fight_count,DB_vs_NB,both,Moderate adversity,-50.65060693361314,0.0,-0.0,1.0,1.0,False,2400,12
fight_count,DB_vs_NB,both,ACE,-44.21383508725807,0.0,-0.0,1.0,1.0,False,2400,12
fight_count,DB_condition,DB,No_ACE_vs_Moderate_adversity,0.5414120774207447,nan,nan,nan,0.0,True,2400,12
fight_count,DB_condition,DB,No_ACE_vs_ACE,8.090859874505282,nan,nan,nan,0.0,True,2400,12
fight_count,DB_condition,DB,Moderate_adversity_vs_ACE,7.549447797084538,nan,nan,nan,0.0,True,2400,12
fight_count,NB_condition,NB,No_ACE_vs_Moderate_adversity,0.36852045990581106,0.0,0.0,1.0,1.0,False,2400,12
fight_count,NB_condition,NB,No_ACE_vs_ACE,1.4811964106352753,nan,nan,nan,1.0,False,2400,12
fight_count,NB_condition,NB,Moderate_adversity_vs_ACE,1.1126759507294641,nan,nan,nan,1.0,False,2400,12
flee_count,Random_vs_DB,DB,No ACE,13.979759401710396,0.05716277986862829,244.56052406546235,0.0,0.0,True,2400,12
flee_count,Random_vs_DB,DB,Moderate adversity,11.236286421997411,0.025788269735765305,435.7130795174675,0.0,0.0,True,2400,12
flee_count,Random_vs_DB,DB,ACE,13.918193907612801,0.02206822011923193,630.6894635097203,0.0,0.0,True,2400,12
flee_count,Random_vs_NB,NB,No ACE,-3.4399179607533563,0.057162779868628326,-60.17758353703207,0.0,0.0,True,2400,12
flee_count,Random_vs_NB,NB,Moderate adversity,-3.1147000309961417,0.025788269735765323,-120.77972128065716,0.0,0.0,True,2400,12
flee_count,Random_vs_NB,NB,ACE,-32.712335229511126,0.02206822011923193,-1482.3277569631953,0.0,0.0,True,2400,12
flee_count,DB_vs_NB,both,No ACE,17.41967736246375,nan,nan,nan,0.0,True,2400,12
flee_count,DB_vs_NB,both,Moderate adversity,14.350986452993553,nan,nan,nan,0.0,True,2400,12
flee_count,DB_vs_NB,both,ACE,46.63052913712393,nan,nan,nan,0.0,True,2400,12
flee_count,DB_condition,DB,No_ACE_vs_Moderate_adversity,-2.5440101859288213,nan,nan,nan,0.0,True,2400,12
flee_count,DB_condition,DB,No_ACE_vs_ACE,0.10149471581945638,nan,nan,nan,0.0,True,2400,12
flee_count,DB_condition,DB,Moderate_adversity_vs_ACE,2.6455049017482777,nan,nan,nan,0.0,True,2400,12
flee_count,NB_condition,NB,No_ACE_vs_Moderate_adversity,0.5246807235413788,0.0,0.0,1.0,1.0,False,2400,12
