action,condition,db_mean_delta,nb_mean_delta,difference,diff_sem,ci_lower_95,ci_upper_95,t_statistic,p_value,significant_alpha_0_05,n_db,n_nb
fight_count,No ACE,32.89117402651645,-17.932324524611627,50.82349855112808,1.1092796193194792,48.6493104972619,52.997686604994264,45.816670265976114,8.392134304548138e-161,True,200,200
fight_count,Moderate adversity,32.34976194909571,-18.30084498451744,50.65060693361315,1.0974008160669535,48.499701334121916,52.80151253310438,46.15506585382647,7.126798553475383e-162,True,200,200
fight_count,ACE,24.80031415201117,-19.4135209352469,44.21383508725807,1.0548819016646482,42.14626655999536,46.28140361452078,41.91354029061146,4.7509471798913374e-148,True,200,200
flee_count,No ACE,-13.858918400476657,3.5607589619870943,-17.41967736246375,1.2213558778110158,-19.813534882973343,-15.02581984195416,-14.262572996892844,1.4295915880698686e-37,True,200,200
flee_count,Moderate adversity,-11.314908214547835,3.036078238445715,-14.35098645299355,1.237455942510158,-16.77640010031346,-11.925572805673639,-11.597169612263384,5.46288399182312e-27,True,200,200
flee_count,ACE,-13.960413116296113,32.670116020827805,-46.630529137123915,1.509822002467979,-49.58978026196115,-43.67127801228668,-30.884785796538214,9.946661060831152e-108,True,200,200
cry_count,No ACE,-19.53469010121388,-1.5371058133984754,-17.997584287815403,0.8773363564759469,-19.71716354650826,-16.278005029122546,-20.51389316647887,2.497480272532656e-64,True,200,200
cry_count,Moderate adversity,-19.366431999440252,0.40869525510888244,-19.775127254549133,0.8907054562964687,-21.52090994889021,-18.029344560208056,-22.201646026480656,1.2271141181495942e-71,True,200,200
cry_count,ACE,-18.942384423838167,-9.024690373068026,-9.917694050770141,0.889756910326053,-11.661617595009204,-8.173770506531078,-11.146520960579878,2.690737437447869e-25,True,200,200
chase_count,No ACE,0.5024344751740767,15.908671376023003,-15.406236900848926,1.4515515124948644,-18.25127786533886,-12.561195936358992,-10.613634285957477,2.4349217447622155e-23,True,200,200
chase_count,Moderate adversity,-1.6684217351076205,14.856071490962837,-16.524493226070458,1.2839403936419451,-19.041016397608672,-14.007970054532246,-12.870140473731894,6.199624726758998e-32,True,200,200
chase_count,ACE,8.102483388123108,-4.231904712512883,12.33438810063599,1.4528420986983877,9.48681758718715,15.18195861408483,8.489833899834306,4.151044068913178e-16,True,200,200
