source_file,condition,role,run,behavior,behavior_count,total_actions,percent_of_total_actions
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,1,Hypervigilant Withdrawal,293.0,443.0,66.13995485327314
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,2,Hypervigilant Withdrawal,84.0,460.0,18.26086956521739
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,3,Hypervigilant Withdrawal,81.0,425.0,19.058823529411764
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,4,Hypervigilant Withdrawal,66.0,439.0,15.034168564920272
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,5,Hypervigilant Withdrawal,119.0,438.0,27.168949771689498
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,6,Hypervigilant Withdrawal,129.0,457.0,28.227571115973742
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,7,Hypervigilant Withdrawal,44.0,569.0,7.732864674868189
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,8,Hypervigilant Withdrawal,323.0,448.0,72.09821428571429
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,9,Hypervigilant Withdrawal,132.0,465.0,28.387096774193548
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,10,Hypervigilant Withdrawal,11.0,525.0,2.0952380952380953
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,11,Hypervigilant Withdrawal,50.0,440.0,11.363636363636363
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,12,Hypervigilant Withdrawal,91.0,434.0,20.967741935483872
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,13,Hypervigilant Withdrawal,181.0,472.0,38.347457627118644
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,14,Hypervigilant Withdrawal,53.0,475.0,11.157894736842106
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,15,Hypervigilant Withdrawal,30.0,553.0,5.424954792043399
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,16,Hypervigilant Withdrawal,127.0,433.0,29.330254041570434
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,17,Hypervigilant Withdrawal,77.0,416.0,18.509615384615387
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,18,Hypervigilant Withdrawal,124.0,471.0,26.326963906581742
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,19,Hypervigilant Withdrawal,39.0,429.0,9.090909090909092
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,20,Hypervigilant Withdrawal,47.0,452.0,10.398230088495575
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,21,Hypervigilant Withdrawal,0.0,626.0,0.0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,22,Hypervigilant Withdrawal,0.0,638.0,0.0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,23,Hypervigilant Withdrawal,25.0,457.0,5.470459518599562
