Behavior,Condition,H_stat,p_kruskal_wallis,Significant_KW,NB_Median,NB_Q1,NB_Q3,NB_N,DB_Median,DB_Q1,DB_Q3,DB_N,Random_NB_Median,Random_NB_Q1,Random_NB_Q3,Random_NB_N,Random_DB_Median,Random_DB_Q1,Random_DB_Q3,Random_DB_N,U_NB_vs_DB,p_NB_vs_DB_raw,p_NB_vs_DB_holm,NB_vs_DB_Sig,U_NB_vs_Random_NB,p_NB_vs_Random_NB_raw,p_NB_vs_Random_NB_holm,NB_vs_Random_NB_Sig,U_DB_vs_Random_DB,p_DB_vs_Random_DB_raw,p_DB_vs_Random_DB_holm,DB_vs_Random_DB_Sig
Hypervigilant Withdrawal,No ACE,484.0483747970944,1.3661859648250388e-104,Yes,22.786007577505963,11.880403513286941,37.348021971239895,206,0.0,0.0,0.09987517472547412,206,21.918511329276942,20.917225950782996,22.875469468447754,206,20.52233716039559,19.84173995277687,21.267986185588068,206,42297.5,1.3316220631000016e-70,2.6632441262000032e-70,Yes,22478.0,0.29732363882584867,0.29732363882584867,No,138.5,1.3315470322249993e-70,3.994641096674998e-70,Yes
Hypervigilant Withdrawal,Moderate,489.8356721737292,7.609996331004042e-106,Yes,23.783099932359647,15.852116151852918,35.986206205233195,206,0.0,0.0,0.19088682249931455,206,22.22824777054712,21.307526240039316,23.36870124135224,206,20.938001262302258,20.12371020238569,21.81864843233462,206,42290.0,8.375452003199288e-70,1.6750904006398577e-69,Yes,23974.0,0.02260330610040549,0.02260330610040549,Yes,146.0,8.374413971859819e-70,2.512324191557946e-69,Yes
Hypervigilant Withdrawal,ACE,534.5437148071638,1.5561412943384034e-115,Yes,13.940214505681215,3.0924456709210073,26.086046865489962,206,0.0,0.0,0.0,206,25.668794150150674,24.636342584072533,26.737866321530923,206,22.376561482446274,21.393964890658577,23.56142851564025,206,39405.0,1.2098544671969899e-56,2.4197089343939797e-56,Yes,11232.0,1.4139965986283923e-16,1.4139965986283923e-16,Yes,122.5,4.6685856420050734e-73,1.400575692601522e-72,Yes
Dangerous Trust,No ACE,290.4691937364643,1.1491946686191521e-62,Yes,2.4716813032964238,1.4675052410901468,4.131837544989138,206,8.32566890804372,2.51463182251259,16.75452369154722,206,10.987921074764287,10.290827740492169,11.682547146463396,206,10.372572611384275,9.68421052631579,10.938640443453732,206,11112.0,6.169904211802762e-17,1.2339808423605524e-16,Yes,2462.0,2.560533253197824e-54,7.681599759593472e-54,Yes,17777.0,0.004414909128065443,0.004414909128065443,Yes
Dangerous Trust,Moderate,359.23534797701956,1.4923437165502453e-77,Yes,1.835280248633587,1.0952956344273763,2.6877576405717294,206,6.550896783922194,1.9741091864967497,17.07821324737152,206,10.99975766197856,10.227925809822363,11.848941947553396,206,10.337660711123778,9.5875,11.153989466368577,206,9610.0,7.6314307151697555e-22,1.5262861430339511e-21,Yes,735.5,1.9870312424460614e-64,5.961093727338184e-64,Yes,16111.5,2.3891447311843526e-05,2.3891447311843526e-05,Yes
Dangerous Trust,ACE,675.5073135420657,4.293853326741695e-146,Yes,4.8000062693959435,3.937092523234845,5.667652276759314,206,3.0260359524010463,2.5332757740810044,3.528256768022465,206,12.720403022670027,11.960006662912168,13.68200234950013,206,11.214472632056463,10.453357721452836,11.967182297672972,206,36834.0,3.415419112666174e-38,3.415419112666174e-38,Yes,205.5,1.0412963943462038e-67,3.123889183038611e-67,Yes,389.5,1.465642088841484e-66,2.931284177682968e-66,Yes
Misdirected Aggression,No ACE,755.6374939325979,1.807479775609536e-163,Yes,0.7485097037335843,0.33277870216306155,1.3634874885366173,206,38.76831107281344,34.25893985371568,41.74967257186186,206,10.937482481765464,10.342070435997353,11.625497030202325,206,20.913043595509663,20.20408163265306,21.680482696523647,206,192.0,8.128400109470322e-68,2.4385200328410965e-67,Yes,205.0,9.806225301353284e-68,1.961245060270657e-67,Yes,42009.5,2.4874726375391475e-66,2.4874726375391475e-66,Yes
Misdirected Aggression,Moderate,753.8189978723623,4.481599256407947e-163,Yes,0.7294043038578093,0.20286267757210505,1.249607535321821,206,39.24846716720762,33.90012863439457,42.2045195166096,206,8.972840072358533,7.7312914671693544,10.066964934549013,206,20.921506599481067,20.110425101214577,21.636515107610442,206,187.5,7.128110799152176e-68,2.138433239745653e-67,Yes,196.5,8.116743267517046e-68,1.6233486535034092e-67,Yes,41717.5,1.5647794249143603e-64,1.5647794249143603e-64,Yes
Misdirected Aggression,ACE,738.7426688941857,8.33376066990325e-160,Yes,0.0,0.0,0.0,206,27.82534654241836,23.37246963562753,34.866519005976855,206,1.1851056894782102,0.7474942355653851,1.9841042824452435,206,20.72534641784334,19.922225810032188,21.554847431440713,206,107.5,1.2717474656306558e-76,3.8152423968919674e-76,Yes,542.5,3.9381929646647095e-74,7.876385929329419e-74,Yes,37485.5,2.6768586519817985e-41,2.6768586519817985e-41,Yes
Relational Aggression,No ACE,569.2364897266572,4.701258980821287e-123,Yes,2.6653844715735944,1.6431533211426201,4.5479514174582985,206,29.340311780825402,24.05506815545244,32.96560218392563,206,21.878453038674035,20.872841297327653,22.612099722503636,206,20.92499601466603,20.02056036939795,21.64365878907236,206,1451.5,3.965667814715076e-60,7.931335629430152e-60,Yes,1235.5,2.0752485694181507e-61,6.225745708254451e-61,Yes,39112.5,1.327503500506988e-49,1.327503500506988e-49,Yes
Relational Aggression,Moderate,552.2680394913602,2.2403621883257336e-119,Yes,3.4898785425101213,1.9348265513716858,5.9350110434375205,206,28.676691035723348,23.009723166897853,35.127890944651874,206,22.53897135079077,21.438503098681075,23.641825091868213,206,20.866935483870968,20.06303048146054,21.630607939378283,206,922.5,2.728454502593965e-63,8.185363507781895e-63,Yes,1210.5,1.471634213517158e-61,2.943268427034316e-61,Yes,36883.5,2.0039252383493033e-38,2.0039252383493033e-38,Yes
Relational Aggression,ACE,524.2195174043889,2.689681766474428e-113,Yes,0.0,0.0,0.39546061176320724,206,28.16661835621492,9.010653410471125,38.079453067257944,206,25.820620784992627,24.68298300064426,26.947062084257205,206,22.636071534599488,21.61245215047427,23.46623834719073,206,695.5,8.265827418564805e-67,1.653165483712961e-66,Yes,140.5,2.2717311874384465e-70,6.815193562315339e-70,Yes,25820.5,0.00014010402523855829,0.00014010402523855829,Yes
Learned Helplessness,No ACE,,,No,0.0,0.0,0.0,206,0.0,0.0,0.0,206,0.0,0.0,0.0,206,0.0,0.0,0.0,206,21218.0,1.0,1.0,No,21218.0,1.0,1.0,No,21218.0,1.0,1.0,No
Learned Helplessness,Moderate,,,No,0.0,0.0,0.0,206,0.0,0.0,0.0,206,0.0,0.0,0.0,206,0.0,0.0,0.0,206,21218.0,1.0,1.0,No,21218.0,1.0,1.0,No,21218.0,1.0,1.0,No
Learned Helplessness,ACE,657.8713843792982,2.8622870982592104e-142,Yes,0.0,0.0,0.0,206,17.773662331174506,0.9732354946204234,24.444148260979944,206,0.0,0.0,0.0,206,0.0,0.0,0.0,206,3090.0,3.2670820449384406e-62,9.801246134815322e-62,Yes,21218.0,1.0,1.0,No,39346.0,3.2670820449384406e-62,6.534164089876881e-62,Yes
Negative Expectancy Bias,No ACE,649.3185313721872,2.046956824545543e-140,Yes,11.884115921115262,10.233355929418048,15.376374346013069,206,13.831073717129206,10.561142666677595,16.849235478339736,206,28.166666666666664,27.200000000000003,29.599999999999998,206,22.7,21.866666666666667,24.116666666666667,206,18026.0,0.00826984430762602,0.00826984430762602,Yes,559.5,1.6446326261744085e-65,4.933897878523226e-65,Yes,867.5,1.2613063285196797e-63,2.5226126570393593e-63,Yes
Negative Expectancy Bias,Moderate,656.9222401953605,4.59731929713203e-142,Yes,12.338978604124524,10.00208507089241,14.630612724419663,206,15.482474018485807,10.168818348143548,19.329308909242297,206,33.46666666666667,31.950000000000003,35.4,206,26.200000000000003,24.333333333333336,27.650000000000002,206,15463.5,1.9242356710740447e-06,1.9242356710740447e-06,Yes,409.5,1.94520448568872e-66,5.83561345706616e-66,Yes,1545.0,1.4041461631176706e-59,2.808292326235341e-59,Yes
Negative Expectancy Bias,ACE,681.6612262940283,1.9884080817355677e-147,Yes,16.703617269544925,14.954240572672436,18.07428303942403,206,36.44699499165276,21.310103017589885,39.84953876341116,206,52.99116666666667,49.333333333333336,56.43333333333334,206,47.13333333333333,45.93333333333333,48.18333333333333,206,5988.5,2.0733031201148293e-36,2.0733031201148293e-36,Yes,270.5,2.6527910940724728e-67,7.958373282217419e-67,Yes,956.5,4.3654213036062945e-63,8.730842607212589e-63,Yes
