condition,behavior_key,behavior,n_runs,n_present,probability_percent,ci95_low_percent,ci95_high_percent,ci95_halfwidth_percent
No ACE,protective_behavior,Protective Behavior,400,109,27.250000000000004,22.886591956967585,31.613408043032422,4.363408043032418
No ACE,healthy_friendliness,Healthy Friendliness,400,68,17.0,13.318798565685382,20.68120143431462,3.6812014343146173
No ACE,willingness_to_flee,Adaptive Avoidance,400,83,20.75,16.77593687141233,24.724063128587666,3.9740631285876673
No ACE,community_trusting_vulnerability,Help-Seeking Vulnerability,400,109,27.250000000000004,22.886591956967585,31.613408043032422,4.363408043032418
No ACE,hopefulness,Positive Expectancy,400,141,35.25,30.568063461557816,39.93193653844218,4.681936538442185
Moderate,protective_behavior,Protective Behavior,400,110,27.500000000000004,23.124160080624524,31.87583991937548,4.375839919375479
Moderate,healthy_friendliness,Healthy Friendliness,400,47,11.75,8.594251633922628,14.90574836607737,3.155748366077372
Moderate,willingness_to_flee,Adaptive Avoidance,400,70,17.5,13.776322382375186,21.223677617624812,3.7236776176248125
Moderate,community_trusting_vulnerability,Help-Seeking Vulnerability,400,138,34.5,29.84139087280334,39.158609127196655,4.658609127196656
Moderate,hopefulness,Positive Expectancy,400,151,37.75,32.99933691470338,42.50066308529662,4.750663085296621
ACE,protective_behavior,Protective Behavior,400,81,20.25,16.31174407256207,24.188255927437933,3.9382559274379316
ACE,healthy_friendliness,Healthy Friendliness,400,185,46.25,41.363800684581115,51.136199315418885,4.886199315418886
ACE,willingness_to_flee,Adaptive Avoidance,400,147,36.75,32.02518278131312,41.47481721868688,4.724817218686877
ACE,community_trusting_vulnerability,Help-Seeking Vulnerability,400,53,13.25,9.927471181464336,16.572528818535666,3.322528818535665
ACE,hopefulness,Positive Expectancy,400,8,2.0,0.6280000000000001,3.372,1.3719999999999999
