Behavior,Condition,NB_Probability,DB_Probability,Random_NB_Probability,Random_DB_Probability,NB_N,DB_N,Random_NB_N,Random_DB_N,NB_Present,DB_Present,Random_NB_Present,Random_DB_Present,Chi2,p_global,Cramers_V,NB_vs_DB_p_raw,NB_vs_DB_p_holm,NB_vs_Random_NB_p_raw,NB_vs_Random_NB_p_holm,DB_vs_Random_DB_p_raw,DB_vs_Random_DB_p_holm
Protective Behavior,No ACE,1.5,53.0,0.0,0.0,200,200,200,200,3,106,0,0,351.5606951765159,6.850706141285144e-76,0.6629109057563051,2.2363629052170196e-30,4.472725810434039e-30,0.246433695355312,0.246433695355312,1.244937690920511e-32,3.7348130727615333e-32
Protective Behavior,Moderate,1.0,54.0,0.0,0.0,200,200,200,200,2,108,0,0,364.3952569169961,1.138908197150855e-78,0.6749030086955051,6.443393871795835e-32,1.288678774359167e-31,0.4783981994489356,0.4783981994489356,1.9242666919428487e-33,5.7728000758285457e-33
Protective Behavior,ACE,0.0,40.5,0.0,0.0,200,200,200,200,0,81,0,0,270.375521557719,2.55989802849722e-58,0.5813513584289185,2.4311288388726448e-23,4.8622576777452896e-23,,,2.4311288388726448e-23,4.8622576777452896e-23
Healthy Friendliness,No ACE,33.5,0.5,0.0,0.0,200,200,200,200,67,1,0,0,214.33622629379622,3.364960051564735e-46,0.5176101649574179,5.0575111414147475e-18,1.0115022282829495e-17,9.81521871216666e-19,2.9445656136499985e-18,1.0,1.0
Healthy Friendliness,Moderate,23.5,0.0,0.0,0.0,200,200,200,200,47,0,0,0,149.800796812749,2.9089621009039896e-32,0.4327250813344845,9.163429511347391e-13,1.8326859022694783e-12,9.163429511347391e-13,1.8326859022694783e-12,,
Healthy Friendliness,ACE,72.0,20.5,0.0,0.0,200,200,200,200,144,41,0,0,389.843111404087,3.508639247614859e-84,0.6980715502404525,1.4731981072437548e-24,2.9463962144875097e-24,3.5078358514248933e-50,1.052350755427468e-49,4.280488483924113e-11,4.280488483924113e-11
Adaptive Avoidance,No ACE,41.5,0.0,0.0,0.0,200,200,200,200,83,0,0,0,277.8242677824268,6.260467673082504e-60,0.5893049590220953,4.960041775551325e-24,9.92008355110265e-24,4.960041775551325e-24,9.92008355110265e-24,,
Adaptive Avoidance,Moderate,35.0,0.0,0.0,0.0,200,200,200,200,70,0,0,0,230.13698630136986,1.291803986510837e-49,0.5363499164507368,1.0884112886060296e-19,2.1768225772120592e-19,1.0884112886060296e-19,2.1768225772120592e-19,,
Adaptive Avoidance,ACE,73.5,0.0,0.0,0.0,200,200,200,200,147,0,0,0,540.2756508422665,8.905994941728294e-117,0.821793504204574,8.645221660095542e-52,1.7290443320191083e-51,8.645221660095542e-52,1.7290443320191083e-51,,
Help-Seeking Vulnerability,No ACE,54.50000000000001,0.0,21.5,0.0,200,200,200,200,109,0,43,0,258.414554905783,9.90288853910596e-56,0.56834689550681,7.493702355041378e-34,1.4987404710082757e-33,2.146477500403291e-11,2.146477500403291e-11,,
Help-Seeking Vulnerability,Moderate,69.0,0.0,24.5,0.0,200,200,200,200,138,0,49,0,354.60564768692586,1.5010475526155637e-76,0.6657755324496818,4.484868456352543e-47,8.969736912705086e-47,1.1584885174902088e-18,1.1584885174902088e-18,,
Help-Seeking Vulnerability,ACE,26.5,0.0,0.0,0.0,200,200,200,200,53,0,0,0,170.28112449799198,1.106560862117283e-36,0.4613582183320136,1.7353511632481826e-14,3.470702326496365e-14,1.7353511632481826e-14,3.470702326496365e-14,,
Positive Expectancy,No ACE,41.5,28.999999999999996,0.0,0.0,200,200,200,200,83,58,0,0,181.930498606313,3.377184343553124e-39,0.47687852044088885,0.012012355353791047,0.012012355353791047,4.960041775551325e-24,1.4880125326653974e-23,5.760777142621625e-16,1.152155428524325e-15
Positive Expectancy,Moderate,43.0,32.5,0.0,0.0,200,200,200,200,86,65,0,0,193.3325850263778,1.1632802402656572e-41,0.49159508874984936,0.03912498827872401,0.03912498827872401,4.404366550458065e-25,1.3213099651374196e-24,4.163613839897218e-18,8.327227679794436e-18
Positive Expectancy,ACE,1.0,3.0,0.0,0.0,200,200,200,200,2,6,0,0,12.121212121212121,0.00697926563331799,0.12309149097933274,0.28397677175090863,0.5679535435018173,0.4783981994489356,0.5679535435018173,0.0397126691798061,0.1191380075394183
