source_file,source_path,run,total_complex_behaviors,learned_helplessness_pct,protective_behavior,community_trusting_vulnerability,healthy_friendliness,bully_behavior,aggressive_withdrawn_relationship,learned_helplessness,dangerous_trust,latent_group
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,1,1010.0,0.0,318.0,0.0,372.0,254.0,25.0,0.0,41.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,2,1022.0,26.125244618395303,66.0,0.0,9.0,269.0,376.0,267.0,35.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,3,804.0,1.4925373134328357,261.0,0.0,356.0,120.0,27.0,12.0,28.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,4,1178.0,22.920203735144312,48.0,0.0,21.0,464.0,342.0,270.0,33.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,5,1054.0,0.0,293.0,0.0,305.0,304.0,125.0,0.0,27.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,6,1157.0,18.84183232497839,98.0,0.0,109.0,451.0,254.0,218.0,27.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,7,1150.0,5.478260869565217,211.0,0.0,211.0,432.0,190.0,63.0,43.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,8,964.0,0.5186721991701244,324.0,0.0,394.0,168.0,30.0,5.0,43.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,9,987.0,0.60790273556231,291.0,0.0,372.0,257.0,23.0,6.0,38.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,10,990.0,22.424242424242426,66.0,0.0,0.0,303.0,361.0,222.0,38.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,11,920.0,27.391304347826086,36.0,0.0,8.0,197.0,399.0,252.0,28.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,12,1077.0,0.0,317.0,0.0,339.0,319.0,69.0,0.0,33.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,13,1368.0,18.128654970760234,56.0,0.0,60.0,630.0,340.0,248.0,34.0,vulnerable
