source_file,source_path,run,total_complex_behaviors,total_expectancy,protective_behavior,community_trusting_vulnerability,healthy_friendliness,bully_behavior,aggressive_withdrawn_relationship,learned_helplessness,dangerous_trust,hopefulness,cynical,bully_behavior_pct,aggressive_withdrawn_relationship_pct,dangerous_trust_pct,learned_helplessness_pct,negative_expectancy_pct,threshold_from_figure7A_pct,latent_group
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,1,1010.0,1222.0,318.0,0.0,372.0,254.0,25.0,0.0,41.0,1003.0,219.0,25.14851485148515,2.4752475247524752,4.0594059405940595,0.0,17.921440261865794,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,2,1022.0,1201.0,66.0,0.0,9.0,269.0,376.0,267.0,35.0,686.0,248.0,26.320939334637966,36.79060665362035,3.4246575342465753,26.125244618395303,42.88093255620316,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,3,804.0,1190.0,261.0,0.0,356.0,120.0,27.0,12.0,28.0,952.0,226.0,14.925373134328357,3.3582089552238807,3.482587064676617,1.4925373134328357,20.0,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,4,1178.0,1201.0,48.0,0.0,21.0,464.0,342.0,270.0,33.0,763.0,168.0,39.38879456706282,29.03225806451613,2.801358234295416,22.920203735144312,36.46960865945046,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,5,1054.0,1214.0,293.0,0.0,305.0,304.0,125.0,0.0,27.0,1064.0,150.0,28.842504743833018,11.859582542694497,2.5616698292220113,0.0,12.355848434925864,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,6,1157.0,1214.0,98.0,0.0,109.0,451.0,254.0,218.0,27.0,733.0,263.0,38.98012100259291,21.9533275713051,2.33362143474503,18.84183232497839,39.621087314662276,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,7,1150.0,1204.0,211.0,0.0,211.0,432.0,190.0,63.0,43.0,847.0,294.0,37.565217391304344,16.52173913043478,3.739130434782609,5.478260869565217,29.651162790697676,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,8,964.0,1219.0,324.0,0.0,394.0,168.0,30.0,5.0,43.0,1006.0,208.0,17.42738589211618,3.112033195020747,4.460580912863071,0.5186721991701244,17.473338802296965,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,9,987.0,1190.0,291.0,0.0,372.0,257.0,23.0,6.0,38.0,1027.0,157.0,26.038500506585617,2.330293819655522,3.850050658561297,0.60790273556231,13.69747899159664,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,10,990.0,1209.0,66.0,0.0,0.0,303.0,361.0,222.0,38.0,732.0,255.0,30.606060606060602,36.464646464646464,3.8383838383838382,22.424242424242426,39.45409429280397,2.037872954566788,vulnerable
