source_file,source_path,run,total_complex_behaviors,total_expectancy,protective_behavior,community_trusting_vulnerability,healthy_friendliness,bully_behavior,aggressive_withdrawn_relationship,learned_helplessness,dangerous_trust,hopefulness,cynical,learned_helplessness_pct,protective_behavior_pct,positive_expectancy_pct,threshold_from_figure7A_pct,latent_group
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,1,1010.0,1222.0,318.0,0.0,372.0,254.0,25.0,0.0,41.0,1003.0,219.0,0.0,31.485148514851485,82.0785597381342,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,2,1022.0,1201.0,66.0,0.0,9.0,269.0,376.0,267.0,35.0,686.0,248.0,26.125244618395303,6.457925636007827,57.11906744379684,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,3,804.0,1190.0,261.0,0.0,356.0,120.0,27.0,12.0,28.0,952.0,226.0,1.4925373134328357,32.46268656716418,80.0,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,4,1178.0,1201.0,48.0,0.0,21.0,464.0,342.0,270.0,33.0,763.0,168.0,22.920203735144312,4.074702886247878,63.53039134054954,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,5,1054.0,1214.0,293.0,0.0,305.0,304.0,125.0,0.0,27.0,1064.0,150.0,0.0,27.798861480075903,87.64415156507414,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,6,1157.0,1214.0,98.0,0.0,109.0,451.0,254.0,218.0,27.0,733.0,263.0,18.84183232497839,8.47018150388937,60.378912685337724,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,7,1150.0,1204.0,211.0,0.0,211.0,432.0,190.0,63.0,43.0,847.0,294.0,5.478260869565217,18.347826086956523,70.34883720930233,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,8,964.0,1219.0,324.0,0.0,394.0,168.0,30.0,5.0,43.0,1006.0,208.0,0.5186721991701244,33.60995850622407,82.52666119770304,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,9,987.0,1190.0,291.0,0.0,372.0,257.0,23.0,6.0,38.0,1027.0,157.0,0.60790273556231,29.48328267477204,86.30252100840336,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,10,990.0,1209.0,66.0,0.0,0.0,303.0,361.0,222.0,38.0,732.0,255.0,22.424242424242426,6.666666666666667,60.545905707196034,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,11,920.0,1201.0,36.0,0.0,8.0,197.0,399.0,252.0,28.0,716.0,233.0,27.391304347826086,3.91304347826087,59.61698584512906,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,12,1077.0,1201.0,317.0,0.0,339.0,319.0,69.0,0.0,33.0,963.0,238.0,0.0,29.433611884865368,80.18318068276436,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,13,1368.0,1219.0,56.0,0.0,60.0,630.0,340.0,248.0,34.0,785.0,186.0,18.128654970760234,4.093567251461988,64.39704675963905,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,14,1023.0,1205.0,74.0,0.0,9.0,272.0,399.0,240.0,29.0,743.0,222.0,23.46041055718475,7.233626588465299,61.6597510373444,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,15,1301.0,1204.0,49.0,0.0,4.0,561.0,402.0,260.0,25.0,667.0,277.0,19.984627209838585,3.7663335895465027,55.39867109634552,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,16,1118.0,1213.0,73.0,0.0,28.0,408.0,376.0,206.0,27.0,764.0,243.0,18.425760286225405,6.529516994633274,62.9843363561418,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,17,977.0,1195.0,314.0,0.0,382.0,219.0,19.0,0.0,43.0,838.0,357.0,0.0,32.139201637666325,70.1255230125523,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,18,1057.0,1193.0,283.0,0.0,335.0,315.0,85.0,0.0,39.0,1062.0,131.0,0.0,26.773888363292336,89.01927912824812,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,19,1184.0,1210.0,40.0,0.0,9.0,447.0,393.0,271.0,24.0,773.0,166.0,22.888513513513516,3.3783783783783785,63.88429752066116,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,20,929.0,1193.0,28.0,0.0,20.0,229.0,368.0,256.0,28.0,724.0,213.0,27.556512378902042,3.013993541442411,60.687342833193625,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,21,1010.0,1204.0,54.0,1.0,41.0,271.0,358.0,262.0,23.0,750.0,192.0,25.940594059405942,5.346534653465347,62.292358803986716,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,22,1237.0,1199.0,99.0,0.0,58.0,503.0,354.0,190.0,33.0,801.0,208.0,15.359741309620048,8.003233629749394,66.80567139282736,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,23,1048.0,1199.0,307.0,0.0,381.0,295.0,30.0,4.0,31.0,981.0,214.0,0.38167938931297707,29.293893129770993,81.81818181818183,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,24,961.0,1200.0,317.0,0.0,286.0,253.0,74.0,6.0,25.0,1019.0,175.0,0.6243496357960457,32.98647242455775,84.91666666666666,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,25,897.0,1192.0,343.0,0.0,367.0,137.0,14.0,6.0,30.0,1032.0,154.0,0.6688963210702341,38.238573021181715,86.57718120805369,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,26,901.0,1208.0,50.0,0.0,6.0,186.0,357.0,276.0,26.0,716.0,216.0,30.632630410654826,5.549389567147614,59.27152317880795,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,27,904.0,1197.0,273.0,0.0,339.0,157.0,89.0,4.0,42.0,1023.0,170.0,0.4424778761061947,30.199115044247787,85.46365914786968,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,28,1016.0,1197.0,65.0,0.0,8.0,284.0,391.0,238.0,30.0,649.0,310.0,23.4251968503937,6.397637795275591,54.218880534670014,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,29,1050.0,1176.0,41.0,0.0,21.0,329.0,392.0,241.0,26.0,701.0,234.0,22.952380952380953,3.9047619047619047,59.60884353741497,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,30,1007.0,1198.0,48.0,0.0,11.0,314.0,383.0,224.0,27.0,681.0,293.0,22.244289970208538,4.766633565044687,56.84474123539231,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,31,920.0,1206.0,36.0,0.0,5.0,183.0,398.0,267.0,31.0,701.0,238.0,29.02173913043478,3.91304347826087,58.12603648424543,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,32,970.0,1204.0,57.0,0.0,21.0,228.0,388.0,244.0,32.0,647.0,313.0,25.15463917525773,5.876288659793814,53.737541528239205,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,33,1068.0,1209.0,299.0,0.0,338.0,294.0,64.0,32.0,41.0,972.0,205.0,2.9962546816479403,27.99625468164794,80.39702233250621,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,34,1124.0,1173.0,36.0,0.0,18.0,419.0,354.0,279.0,18.0,715.0,179.0,24.822064056939503,3.202846975088968,60.954816709292416,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,35,1099.0,1186.0,184.0,0.0,174.0,375.0,227.0,109.0,30.0,774.0,303.0,9.918107370336669,16.742493175614197,65.26138279932546,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,36,1120.0,1196.0,43.0,0.0,10.0,405.0,391.0,246.0,25.0,725.0,225.0,21.964285714285715,3.8392857142857144,60.618729096989966,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,37,936.0,1198.0,295.0,0.0,378.0,211.0,4.0,13.0,35.0,1027.0,158.0,1.3888888888888888,31.517094017094017,85.72621035058431,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,38,1262.0,1199.0,34.0,0.0,45.0,538.0,331.0,284.0,30.0,717.0,198.0,22.503961965134707,2.694136291600634,59.79983319432861,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,39,1051.0,1187.0,233.0,0.0,234.0,330.0,155.0,59.0,40.0,799.0,329.0,5.613701236917222,22.169362511893436,67.31255265374895,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,40,1265.0,1183.0,54.0,0.0,7.0,533.0,421.0,223.0,27.0,714.0,246.0,17.628458498023715,4.2687747035573125,60.35502958579882,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,41,948.0,1213.0,35.0,0.0,20.0,214.0,364.0,266.0,49.0,698.0,249.0,28.059071729957807,3.691983122362869,57.54328112118714,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,42,854.0,1206.0,336.0,0.0,354.0,112.0,15.0,0.0,37.0,988.0,218.0,0.0,39.34426229508197,81.92371475953566,2.037872954566788,resilient
