cry,flee
0,321
56,194
131,97
185,10
11,334
28,312
8,332
11,323
170,17
15,314
16,338
13,345
11,316
1,334
13,342
18,363
8,324
18,320
139,63
14,328
41,284
10,314
12,322
12,345
35,288
45,237
162,38
166,6
13,320
15,338
19,320
9,350
3,315
7,317
8,352
8,325
40,274
190,8
8,324
21,320
23,327
10,348
13,328
16,296
118,129
8,327
92,155
13,354
3,355
25,300
13,374
8,310
9,345
91,180
148,61
6,370
6,321
160,24
17,326
8,323
34,291
34,308
12,341
37,279
16,341
14,287
153,42
150,64
16,309
0,372
172,13
24,299
114,98
11,362
7,377
80,171
156,54
151,11
162,20
9,377
144,33
15,354
4,343
31,307
146,27
15,321
48,217
166,24
6,338
12,313
11,343
88,150
19,307
27,329
24,306
0,345
18,314
8,327
123,91
9,350
6,331
6,323
168,43
4,351
23,302
15,304
15,358
151,43
9,309
153,49
15,343
14,376
8,360
11,339
9,321
163,11
26,282
30,331
5,338
173,12
20,321
9,342
10,315
173,27
135,68
16,354
18,317
10,323
15,338
17,333
5,340
22,325
179,14
30,308
70,195
164,4
6,307
162,11
6,328
89,146
8,323
17,321
176,54
156,18
16,333
6,323
10,350
157,20
22,327
10,334
179,9
159,19
7,329
10,334
7,340
95,187
116,176
14,339
16,364
8,317
12,307
25,308
169,23
7,303
181,31
171,2
49,287
9,362
14,329
8,325
24,273
167,14
30,282
9,332
108,163
7,340
168,12
14,343
167,24
35,255
29,270
32,291
14,311
30,298
4,330
171,20
18,308
34,309
11,368
163,54
15,361
19,315
72,201
14,309
22,319
9,365
6,363
21,343
41,275
6,345
