cry,flee,d,dominance_ratio,cry_dominant,flee_dominant,dominance_state
0,321,-321,-0.9999999999688474,,321.0,flee_dominant
56,194,-138,-0.5519999999779199,,194.0,flee_dominant
131,97,34,0.1491228070110034,131.0,,cry_dominant
185,10,175,0.8974358973898751,185.0,,cry_dominant
11,334,-323,-0.9362318840308338,,334.0,flee_dominant
28,312,-284,-0.8352941176224913,,312.0,flee_dominant
8,332,-324,-0.9529411764425605,,332.0,flee_dominant
11,323,-312,-0.9341317364989781,,323.0,flee_dominant
170,17,153,0.8181818181380651,170.0,,cry_dominant
15,314,-299,-0.90881458963803,,314.0,flee_dominant
16,338,-322,-0.9096045197483162,,338.0,flee_dominant
13,345,-332,-0.9273743016500733,,345.0,flee_dominant
11,316,-305,-0.9327217125097027,,316.0,flee_dominant
1,334,-333,-0.9940298507165961,,334.0,flee_dominant
13,342,-329,-0.9267605633541758,,342.0,flee_dominant
18,363,-345,-0.9055118109998553,,363.0,flee_dominant
8,324,-316,-0.9518072288869938,,324.0,flee_dominant
18,320,-302,-0.8934911242339204,,320.0,flee_dominant
139,63,76,0.3762376237437506,139.0,,cry_dominant
14,328,-314,-0.9181286549439144,,328.0,flee_dominant
41,284,-243,-0.7476923076693017,,284.0,flee_dominant
10,314,-304,-0.9382716049093126,,314.0,flee_dominant
12,322,-310,-0.9281437125470615,,322.0,flee_dominant
12,345,-333,-0.9327731092175694,,345.0,flee_dominant
35,288,-253,-0.7832817337218798,,288.0,flee_dominant
45,237,-192,-0.6808510638056435,,237.0,flee_dominant
162,38,124,0.619999999969,162.0,,cry_dominant
166,6,160,0.9302325580854516,166.0,,cry_dominant
13,320,-307,-0.9219219218942366,,320.0,flee_dominant
15,338,-323,-0.9150141642800279,,338.0,flee_dominant
19,320,-301,-0.887905604693572,,320.0,flee_dominant
9,350,-341,-0.9498607242075248,,350.0,flee_dominant
3,315,-312,-0.9811320754408449,,315.0,flee_dominant
7,317,-310,-0.9567901234272596,,317.0,flee_dominant
8,352,-344,-0.9555555555290123,,352.0,flee_dominant
8,325,-317,-0.9519519519233648,,325.0,flee_dominant
40,274,-234,-0.7452229299125726,,274.0,flee_dominant
190,8,182,0.9191919191454954,190.0,,cry_dominant
8,324,-316,-0.9518072288869938,,324.0,flee_dominant
21,320,-299,-0.8768328445490665,,320.0,flee_dominant
23,327,-304,-0.8685714285466122,,327.0,flee_dominant
10,348,-338,-0.944134078185918,,348.0,flee_dominant
13,328,-315,-0.92375366566206,,328.0,flee_dominant
16,296,-280,-0.8974358974071335,,296.0,flee_dominant
118,129,-11,-0.044534412953662575,,,indeterminate
8,327,-319,-0.9522388059417242,,327.0,flee_dominant
92,155,-63,-0.25506072873461294,,155.0,flee_dominant
13,354,-341,-0.9291553133261811,,354.0,flee_dominant
3,355,-352,-0.9832402234362223,,355.0,flee_dominant
25,300,-275,-0.8461538461278106,,300.0,flee_dominant
13,374,-361,-0.9328165374435965,,374.0,flee_dominant
8,310,-302,-0.9496855345613306,,310.0,flee_dominant
9,345,-336,-0.9491525423460692,,345.0,flee_dominant
