cry,flee
16,261
135,13
84,226
34,299
218,113
35,289
156,81
98,16
151,104
21,299
39,283
206,11
59,260
226,23
70,230
107,16
34,252
173,68
127,206
27,288
129,178
104,174
218,12
175,132
95,150
165,16
30,231
119,180
52,34
231,25
98,216
96,77
50,25
64,239
196,12
242,31
225,60
98,241
233,19
32,310
33,316
136,32
58,265
159,137
8,287
16,195
80,194
50,298
240,20
236,30
6,73
209,67
238,34
34,309
126,174
58,53
24,54
2,295
187,169
261,11
251,11
97,202
84,253
28,267
1,248
26,316
14,242
39,331
147,147
75,214
51,280
20,315
46,307
205,32
64,228
40,223
163,138
116,244
40,285
61,255
1,304
60,129
236,15
144,9
11,305
204,63
249,36
206,6
128,109
24,96
82,243
87,205
18,50
17,330
173,87
101,215
194,112
208,24
15,279
18,352
91,138
54,255
185,1
224,12
169,42
54,287
210,35
25,292
193,40
22,297
182,51
116,206
147,155
101,114
133,91
23,160
10,284
61,198
29,72
5,272
216,21
154,57
16,289
70,143
13,193
6,281
8,341
50,70
7,269
17,276
49,258
40,32
204,38
47,306
117,87
203,39
9,112
16,345
159,156
175,90
127,125
4,216
64,274
162,116
241,9
193,58
92,275
17,224
95,212
44,275
9,332
137,139
17,121
31,184
140,129
175,74
223,97
10,6
7,305
34,310
21,303
184,26
184,54
13,338
191,49
14,339
34,340
120,141
155,106
3,348
29,284
102,223
154,74
25,291
55,10
9,315
154,128
20,284
20,187
1,325
106,172
10,128
19,149
5,341
182,112
25,320
98,220
215,86
236,40
172,15
18,299
144,201
169,122
79,206
47,214
185,22
19,353
167,33
192,17
205,28
