cry,flee,d,dominance_ratio,cry_dominant,flee_dominant,dominance_state
16,261,-245,-0.8844765342640983,,261.0,flee_dominant
135,13,122,0.8243243242686267,135.0,,cry_dominant
84,226,-142,-0.45806451611425597,,226.0,flee_dominant
34,299,-265,-0.795795795771898,,299.0,flee_dominant
218,113,105,0.3172205437970628,218.0,,cry_dominant
35,289,-254,-0.7839506172597546,,289.0,flee_dominant
156,81,75,0.31645569618917907,156.0,,cry_dominant
98,16,82,0.7192982455509388,98.0,,cry_dominant
151,104,47,0.1843137254829681,151.0,,cry_dominant
21,299,-278,-0.8687499999728515,,299.0,flee_dominant
39,283,-244,-0.7577639751317464,,283.0,flee_dominant
206,11,195,0.8986175114793263,206.0,,cry_dominant
59,260,-201,-0.6300940438673952,,260.0,flee_dominant
226,23,203,0.8152610441439654,226.0,,cry_dominant
70,230,-160,-0.5333333333155555,,230.0,flee_dominant
107,16,91,0.7398373983138344,107.0,,cry_dominant
34,252,-218,-0.7622377622111105,,252.0,flee_dominant
173,68,105,0.43568464728482637,173.0,,cry_dominant
127,206,-79,-0.237237237230113,,206.0,flee_dominant
27,288,-261,-0.8285714285451247,,288.0,flee_dominant
129,178,-49,-0.15960912051597365,,178.0,flee_dominant
104,174,-70,-0.25179856114202165,,174.0,flee_dominant
218,12,206,0.895652173874102,218.0,,cry_dominant
175,132,43,0.14006514657524216,175.0,,cry_dominant
95,150,-55,-0.22448979590920448,,150.0,flee_dominant
165,16,149,0.8232044198440218,165.0,,cry_dominant
30,231,-201,-0.7701149424992293,,231.0,flee_dominant
119,180,-61,-0.2040133779195982,,180.0,flee_dominant
52,34,18,0.20930232555705788,52.0,,cry_dominant
231,25,206,0.8046874999685669,231.0,,cry_dominant
98,216,-118,-0.375796178331981,,216.0,flee_dominant
96,77,19,0.10982658958902736,96.0,,cry_dominant
50,25,25,0.3333333332888889,50.0,,cry_dominant
64,239,-175,-0.5775577557565162,,239.0,flee_dominant
196,12,184,0.884615384572855,196.0,,cry_dominant
242,31,211,0.7728937728654618,242.0,,cry_dominant
225,60,165,0.5789473684007387,225.0,,cry_dominant
98,241,-143,-0.42182890854212896,,241.0,flee_dominant
233,19,214,0.8492063491726505,233.0,,cry_dominant
32,310,-278,-0.8128654970522554,,310.0,flee_dominant
33,316,-283,-0.8108882521257625,,316.0,flee_dominant
136,32,104,0.619047619010771,136.0,,cry_dominant
58,265,-207,-0.6408668730451744,,265.0,flee_dominant
159,137,22,0.07432432432181336,,,indeterminate
8,287,-279,-0.945762711832347,,287.0,flee_dominant
16,195,-179,-0.8483412321872824,,195.0,flee_dominant
80,194,-114,-0.4160583941453993,,194.0,flee_dominant
50,298,-248,-0.7126436781404413,,298.0,flee_dominant
240,20,220,0.8461538461213017,240.0,,cry_dominant
236,30,206,0.7744360901964498,236.0,,cry_dominant
6,73,-67,-0.8481012657154303,,73.0,flee_dominant
209,67,142,0.5144927536045474,209.0,,cry_dominant
238,34,204,0.7499999999724265,238.0,,cry_dominant
34,309,-275,-0.8017492711136516,,309.0,flee_dominant
126,174,-48,-0.15999999999466666,,174.0,flee_dominant
58,53,5,0.045045045040986935,,,indeterminate
24,54,-30,-0.38461538456607497,,54.0,flee_dominant
2,295,-293,-0.9865319864987699,,295.0,flee_dominant
187,169,18,0.050561797751388714,,,indeterminate
261,11,250,0.9191176470250324,261.0,,cry_dominant
251,11,240,0.916030534316182,251.0,,cry_dominant
97,202,-105,-0.35117056855012807,,202.0,flee_dominant
84,253,-169,-0.5014836795103417,,253.0,flee_dominant
28,267,-239,-0.8101694914979604,,267.0,flee_dominant
1,248,-247,-0.9919678714461057,,248.0,flee_dominant
26,316,-290,-0.8479532163494751,,316.0,flee_dominant
14,242,-228,-0.8906249999652099,,242.0,flee_dominant
39,331,-292,-0.7891891891678597,,331.0,flee_dominant
147,147,0,0.0,,,indeterminate
75,214,-139,-0.48096885811484535,,214.0,flee_dominant
51,280,-229,-0.6918429002812132,,280.0,flee_dominant
20,315,-295,-0.8805970148990866,,315.0,flee_dominant
46,307,-261,-0.7393767705172981,,307.0,flee_dominant
205,32,173,0.729957805876373,205.0,,cry_dominant
64,228,-164,-0.561643835597204,,228.0,flee_dominant
40,223,-183,-0.6958174904678396,,223.0,flee_dominant
163,138,25,0.08305647840255626,,,indeterminate
116,244,-128,-0.355555555545679,,244.0,flee_dominant
40,285,-245,-0.7538461538229586,,285.0,flee_dominant
61,255,-194,-0.6139240506134834,,255.0,flee_dominant
1,304,-303,-0.9934426229182478,,304.0,flee_dominant
60,129,-69,-0.3650793650600487,,129.0,flee_dominant
236,15,221,0.8804780876143236,236.0,,cry_dominant
144,9,135,0.8823529411188004,144.0,,cry_dominant
11,305,-294,-0.9303797468060007,,305.0,flee_dominant
204,63,141,0.5280898876206708,204.0,,cry_dominant
249,36,213,0.7473684210264081,249.0,,cry_dominant
206,6,200,0.9433962263705945,206.0,,cry_dominant
128,109,19,0.08016877636792537,,,indeterminate
24,96,-72,-0.5999999999500001,,96.0,flee_dominant
82,243,-161,-0.4953846153693728,,243.0,flee_dominant
87,205,-118,-0.4041095890272565,,205.0,flee_dominant
18,50,-32,-0.47058823522491355,,50.0,flee_dominant
17,330,-313,-0.9020172910402877,,330.0,flee_dominant
173,87,86,0.3307692307565089,173.0,,cry_dominant
101,215,-114,-0.36075949365946963,,215.0,flee_dominant
194,112,82,0.267973856200393,194.0,,cry_dominant
208,24,184,0.7931034482416766,208.0,,cry_dominant
15,279,-264,-0.8979591836429265,,279.0,flee_dominant
18,352,-334,-0.9027027026783053,,352.0,flee_dominant
91,138,-47,-0.20524017466352662,,138.0,flee_dominant
54,255,-201,-0.6504854368721525,,255.0,flee_dominant
185,1,184,0.9892473117747717,185.0,,cry_dominant
224,12,212,0.8983050847076989,224.0,,cry_dominant
169,42,127,0.6018957345686305,169.0,,cry_dominant
54,287,-233,-0.6832844574579682,,287.0,flee_dominant
210,35,175,0.7142857142565597,210.0,,cry_dominant
25,292,-267,-0.8422712933488242,,292.0,flee_dominant
193,40,153,0.656652360486839,193.0,,cry_dominant
22,297,-275,-0.8620689654902173,,297.0,flee_dominant
182,51,131,0.5622317596325223,182.0,,cry_dominant
116,206,-90,-0.27950310558138186,,206.0,flee_dominant
147,155,-8,-0.026490066224288407,,,indeterminate
101,114,-13,-0.06046511627625743,,,indeterminate
133,91,42,0.18749999999162945,133.0,,cry_dominant
23,160,-137,-0.7486338797405118,,160.0,flee_dominant
10,284,-274,-0.9319727890839464,,284.0,flee_dominant
61,198,-137,-0.5289575289371059,,198.0,flee_dominant
29,72,-43,-0.42574257421527306,,72.0,flee_dominant
5,272,-267,-0.9638989169327112,,272.0,flee_dominant
216,21,195,0.8227848100918655,216.0,,cry_dominant
154,57,97,0.45971563978863905,154.0,,cry_dominant
16,289,-273,-0.8950819671837678,,289.0,flee_dominant
70,143,-73,-0.3427230046787454,,143.0,flee_dominant
13,193,-180,-0.8737864077245734,,193.0,flee_dominant
6,281,-275,-0.9581881532767181,,281.0,flee_dominant
8,341,-333,-0.9541547277663566,,341.0,flee_dominant
50,70,-20,-0.1666666666527778,,70.0,flee_dominant
7,269,-262,-0.9492753622844465,,269.0,flee_dominant
17,276,-259,-0.8839590443384314,,276.0,flee_dominant
49,258,-209,-0.6807817589354794,,258.0,flee_dominant
40,32,8,0.11111111109567902,40.0,,cry_dominant
204,38,166,0.6859504131947954,204.0,,cry_dominant
47,306,-259,-0.7337110481378551,,306.0,flee_dominant
117,87,30,0.14705882352220298,117.0,,cry_dominant
203,39,164,0.6776859503852196,203.0,,cry_dominant
9,112,-103,-0.8512396693511373,,112.0,flee_dominant
16,345,-329,-0.9113573406949762,,345.0,flee_dominant
159,156,3,0.00952380952350718,,,indeterminate
175,90,85,0.32075471696902813,175.0,,cry_dominant
127,125,2,0.007936507936192995,,,indeterminate
4,216,-212,-0.963636363592562,,216.0,flee_dominant
64,274,-210,-0.6213017751295473,,274.0,flee_dominant
162,116,46,0.1654676258933285,162.0,,cry_dominant
241,9,232,0.92799999996288,241.0,,cry_dominant
193,58,135,0.537848605556261,193.0,,cry_dominant
92,275,-183,-0.49863760216624964,,275.0,flee_dominant
17,224,-207,-0.8589211617900863,,224.0,flee_dominant
95,212,-117,-0.38110749184426357,,212.0,flee_dominant
44,275,-231,-0.7241379310117825,,275.0,flee_dominant
9,332,-323,-0.9472140762185568,,332.0,flee_dominant
137,139,-2,-0.007246376811331653,,,indeterminate
17,121,-104,-0.7536231883511867,,121.0,flee_dominant
31,184,-153,-0.7116279069436452,,184.0,flee_dominant
140,129,11,0.04089219330703003,,,indeterminate
175,74,101,0.40562248994354927,175.0,,cry_dominant
223,97,126,0.3937499999876953,223.0,,cry_dominant
10,6,4,0.24999999984375,10.0,,cry_dominant
7,305,-298,-0.955128205097592,,305.0,flee_dominant
34,310,-276,-0.8023255813720254,,310.0,flee_dominant
21,303,-282,-0.8703703703435071,,303.0,flee_dominant
184,26,158,0.7523809523451247,184.0,,cry_dominant
184,54,130,0.5462184873720076,184.0,,cry_dominant
13,338,-325,-0.9259259258995463,,338.0,flee_dominant
191,49,142,0.5916666666420138,191.0,,cry_dominant
14,339,-325,-0.9206798866594708,,339.0,flee_dominant
34,340,-306,-0.8181818181599416,,340.0,flee_dominant
120,141,-21,-0.08045977011185977,,,indeterminate
155,106,49,0.1877394635943395,155.0,,cry_dominant
3,348,-345,-0.9829059828779798,,348.0,flee_dominant
29,284,-255,-0.8146964855969745,,284.0,flee_dominant
102,223,-121,-0.37230769229623667,,223.0,flee_dominant
