learned_helplessness,aggressiveness_in_relationship,healthy_friendliness,bully_behavior,low_aggressiveness_in_relationship,low_healthy_friendliness,low_bully_behavior
160,334,73,441,375,34,435
244,383,22,254,300,74,424
233,377,5,232,376,12,427
21,100,297,342,309,110,437
0,23,403,292,250,174,295
251,380,11,235,383,2,508
258,403,2,320,372,23,553
252,393,16,327,318,86,543
0,35,355,278,372,26,441
0,36,342,238,253,173,332
123,277,124,448,346,31,451
1,55,332,233,335,73,458
217,358,53,417,337,38,520
5,42,333,237,305,94,348
0,11,373,196,373,10,511
22,23,359,208,248,142,299
271,389,2,216,344,31,459
257,392,10,423,397,3,445
256,388,0,298,307,90,569
1,91,316,232,296,103,413
259,373,11,247,385,6,544
0,32,359,177,388,5,407
15,82,320,350,281,108,352
28,94,308,219,299,102,504
214,279,97,463,228,161,360
5,96,312,252,358,57,461
235,372,15,374,362,21,493
20,68,295,229,328,56,370
21,96,310,272,351,58,448
252,381,11,600,419,0,477
249,370,8,328,313,92,563
16,30,353,111,328,68,562
252,366,23,573,378,4,481
207,327,58,639,303,82,362
264,399,2,681,410,0,450
228,372,32,269,393,9,598
284,380,9,201,294,92,527
260,374,0,457,396,0,445
253,395,3,555,329,89,484
16,81,315,174,355,49,417
6,36,370,180,365,74,411
127,248,149,458,339,72,374
8,22,387,197,305,84,532
293,372,2,327,310,92,559
257,346,54,509,394,9,491
193,307,104,398,316,117,383
9,89,338,312,395,4,498
100,300,105,481,314,78,359
247,365,17,189,386,28,403
0,50,331,256,305,90,393
272,395,11,186,366,43,485
8,71,348,204,354,85,525
169,374,40,540,361,44,396
0,15,362,200,254,130,325
296,376,0,195,260,129,331
215,403,14,224,342,33,468
229,382,17,501,385,20,520
288,369,24,293,396,1,558
193,303,105,502,316,74,536
1,13,370,165,327,66,575
263,360,1,299,270,144,349
247,382,12,312,323,68,397
13,139,253,265,305,110,360
258,383,4,195,197,192,244
0,71,334,193,325,85,488
0,39,369,151,182,209,255
263,370,13,192,354,43,462
0,95,319,308,282,131,499
253,392,13,308,250,113,282
239,419,8,224,391,7,400
10,61,360,197,266,106,338
263,377,27,680,392,0,441
95,245,172,459,390,4,444
258,344,5,325,332,45,405
5,54,378,272,400,0,456
291,372,13,584,402,0,397
242,312,70,471,419,0,497
268,397,8,628,370,13,426
261,377,9,620,303,90,495
0,41,349,225,384,43,460
1,38,351,262,313,75,525
3,36,365,234,393,0,658
168,221,173,346,195,179,311
10,3,392,231,389,10,436
0,33,345,123,353,72,397
250,388,5,474,390,11,484
273,368,8,517,313,44,503
0,2,417,236,367,40,403
292,383,17,497,282,90,456
219,393,6,341,399,3,478
190,261,122,456,312,85,354
243,355,52,301,390,6,446
255,340,36,615,380,39,440
235,390,0,266,379,44,460
169,335,51,418,378,18,417
0,54,350,291,306,113,475
80,189,223,338,348,81,590
0,36,394,219,384,0,553
