learned_helplessness,aggressiveness_in_relationship,healthy_friendliness,flee,cry
160,334,73,24,0
244,383,22,21,0
233,377,5,18,0
21,100,297,57,0
0,23,403,9,0
251,380,11,52,0
258,403,2,33,0
252,393,16,16,0
0,35,355,46,0
0,36,342,10,0
123,277,124,23,0
1,55,332,19,0
217,358,53,34,0
5,42,333,16,0
0,11,373,24,0
22,23,359,51,0
271,389,2,32,0
257,392,10,19,0
256,388,0,24,0
1,91,316,25,0
259,373,11,37,0
0,32,359,22,1
15,82,320,22,0
28,94,308,36,0
214,279,97,22,0
5,96,312,22,0
235,372,15,21,0
20,68,295,14,0
21,96,310,21,0
252,381,11,19,0
249,370,8,18,0
16,30,353,23,0
252,366,23,23,0
207,327,58,23,0
264,399,2,29,0
228,372,32,29,0
284,380,9,23,0
260,374,0,26,0
253,395,3,40,0
16,81,315,24,0
6,36,370,13,0
127,248,149,38,0
8,22,387,17,0
293,372,2,19,0
257,346,54,42,0
193,307,104,19,0
9,89,338,18,0
100,300,105,32,0
247,365,17,21,0
0,50,331,31,0
272,395,11,16,0
8,71,348,28,0
169,374,40,43,0
0,15,362,17,0
296,376,0,19,0
215,403,14,28,0
229,382,17,25,0
288,369,24,35,0
193,303,105,40,0
1,13,370,14,0
263,360,1,35,1
247,382,12,20,0
13,139,253,44,0
258,383,4,26,0
0,71,334,22,0
0,39,369,5,0
263,370,13,27,0
0,95,319,31,0
253,392,13,19,0
239,419,8,30,0
10,61,360,19,0
263,377,27,28,0
95,245,172,51,0
258,344,5,43,0
5,54,378,17,0
291,372,13,29,0
242,312,70,16,0
268,397,8,14,0
261,377,9,30,0
0,41,349,17,0
1,38,351,26,0
3,36,365,12,0
168,221,173,40,0
10,3,392,79,0
0,33,345,19,0
250,388,5,18,0
273,368,8,22,0
0,2,417,16,0
292,383,17,22,0
219,393,6,21,0
190,261,122,25,0
243,355,52,22,0
255,340,36,43,0
235,390,0,38,0
169,335,51,20,0
0,54,350,11,0
80,189,223,27,0
0,36,394,18,0
257,370,24,24,0
247,393,14,28,0
29,28,313,37,0
305,369,12,15,0
185,376,26,31,0
53,14,367,10,2
197,409,28,36,0
286,396,9,16,0
11,38,350,21,0
190,340,64,36,0
229,254,122,38,0
231,393,3,33,0
3,48,363,27,0
82,278,106,40,0
244,404,1,22,0
262,401,3,24,0
0,100,290,46,0
250,386,0,24,0
245,399,7,36,0
3,26,370,13,0
254,391,0,33,0
17,34,319,30,0
183,310,98,27,0
215,250,147,30,0
313,372,0,14,0
272,385,3,29,0
268,403,4,31,0
0,110,297,20,0
12,1,382,12,0
263,399,8,20,0
280,396,6,34,0
242,415,11,19,0
16,82,289,34,0
229,406,3,25,0
15,26,364,60,0
1,25,344,17,0
242,422,0,46,0
151,241,171,23,0
278,363,23,23,0
4,11,397,10,0
149,361,30,40,0
269,366,20,24,0
29,106,278,21,0
0,70,317,15,0
286,390,6,36,0
0,48,339,24,0
0,5,396,14,0
199,325,64,21,0
238,417,0,29,0
247,339,43,21,0
1,7,379,20,0
209,416,1,40,0
214,410,7,32,0
2,48,355,22,0
208,393,0,22,0
247,388,2,20,0
241,325,67,29,0
243,400,2,12,0
211,403,32,25,0
119,219,169,31,0
70,250,157,38,0
17,14,374,13,0
136,288,113,27,0
247,375,11,20,0
244,371,22,15,0
0,4,377,11,1
231,404,8,35,0
241,395,1,27,0
22,58,326,9,0
68,270,139,29,0
240,385,0,29,0
268,358,37,21,0
272,381,6,29,0
259,382,8,35,0
203,300,97,21,0
5,0,389,9,0
208,382,8,17,0
265,375,18,30,0
7,91,286,26,0
225,361,21,36,0
12,36,378,10,0
0,25,358,16,0
245,384,16,25,0
146,295,91,27,0
269,390,14,27,0
256,378,5,17,0
236,373,3,46,0
0,129,316,15,0
37,71,309,20,0
255,380,13,18,0
136,244,119,34,0
237,294,5,27,0
0,0,389,19,0
260,409,0,39,0
235,374,15,17,0
0,8,391,15,0
8,49,333,11,0
1,38,362,33,0
235,368,6,39,0
0,65,331,23,0
0,15,359,12,0
268,379,5,17,0
