flee,learned_helplessness,cry
321,0,0
194,0,56
97,0,131
10,0,185
334,0,11
312,0,28
332,0,8
323,0,11
17,0,170
314,0,15
338,0,16
345,0,13
316,0,11
334,0,1
342,0,13
363,0,18
324,0,8
320,0,18
63,0,139
328,0,14
284,0,41
314,0,10
322,0,12
345,0,12
288,0,35
237,0,45
38,0,162
6,0,166
320,0,13
338,0,15
320,0,19
350,0,9
315,0,3
317,0,7
352,0,8
325,0,8
274,0,40
8,0,190
324,0,8
320,0,21
327,0,23
348,0,10
328,0,13
296,0,16
129,0,118
327,0,8
155,0,92
354,0,13
355,0,3
300,0,25
374,0,13
310,0,8
345,0,9
180,0,91
61,0,148
370,0,6
321,0,6
24,0,160
326,0,17
323,0,8
291,0,34
308,0,34
341,0,12
279,0,37
341,0,16
287,0,14
42,0,153
64,0,150
309,0,16
372,0,0
13,0,172
299,0,24
98,0,114
362,0,11
377,0,7
171,0,80
54,0,156
11,0,151
20,0,162
377,0,9
33,0,144
354,0,15
343,0,4
307,0,31
27,0,146
321,0,15
217,0,48
24,0,166
338,0,6
313,0,12
343,0,11
150,0,88
307,0,19
329,0,27
306,0,24
345,0,0
314,0,18
327,0,8
91,0,123
350,0,9
331,0,6
323,0,6
43,0,168
351,0,4
302,0,23
304,0,15
358,0,15
43,0,151
309,0,9
49,0,153
343,0,15
376,0,14
360,0,8
339,0,11
321,0,9
11,0,163
282,0,26
331,0,30
338,0,5
12,0,173
321,0,20
342,0,9
315,0,10
27,0,173
68,0,135
354,0,16
317,0,18
323,0,10
338,0,15
333,0,17
340,0,5
325,0,22
14,0,179
308,0,30
195,0,70
4,0,164
307,0,6
11,0,162
328,0,6
146,0,89
323,0,8
321,0,17
54,0,176
18,0,156
333,0,16
323,0,6
350,0,10
20,0,157
327,0,22
334,0,10
9,0,179
19,0,159
329,0,7
334,0,10
340,0,7
187,0,95
176,0,116
339,0,14
364,0,16
317,0,8
307,0,12
308,0,25
23,0,169
303,0,7
31,0,181
2,0,171
287,0,49
362,0,9
329,0,14
325,0,8
273,0,24
14,0,167
282,0,30
332,0,9
163,0,108
340,0,7
12,0,168
343,0,14
24,0,167
255,0,35
270,0,29
291,0,32
311,0,14
298,0,30
330,0,4
20,0,171
308,0,18
309,0,34
368,0,11
54,0,163
361,0,15
315,0,19
201,0,72
309,0,14
319,0,22
365,0,9
363,0,6
343,0,21
275,0,41
345,0,6
