Category,Subcategory,Tags,Advice,Conditions
Protective Role,Natural Tendencies,"Guardian, High_Value","Your protective role is naturally a Guardian and your environment heavily lets you be who you want to be known for. A guardian protects, confronts threats, and defends his loved ones. Your surrounding allows you to be who you are.",pr_guardian >= pr_sustainer * 2 and belonging_type == 'DB'
Protective Role,Natural Tendencies,"Sustainer, High_Value","Your protective role is naturally a Sustainer and your environment heavily lets you be who you want to be known for. A sustainer nurtures others, provides positivity, and looks to better those around them. Your surrounding allows you to be who you are.",pr_sustainer >= pr_guardian * 2 and belonging_type == 'NB'
Protective Role,Mild Unnatural Tendencies,"Guardian, High_Medium_Value","Your protective role is naturally a Guardian and your environment lets you be who you want to be known for most of the time.  A guardian protects, confronts threats, and defends his loved ones. Your surrounding allows you to be who you are majority of the time. However, there are times when you feel like you can't be a Guardian and may feel weak in your ability to protect others or fight off threatening scenarios.",pr_guardian < pr_sustainer * 2 and pr_guardian >= pr_sustainer and belonging_type == 'DB'
Protective Role,Mild Unnatural Tendencies,"Sustainer, High_Medium_Value","Your protective role is naturally a Sustainer and your environment heavily lets you be who you want to be known for most of the time. A sustainer nurtures others, provides positivity, and looks to better those around them. Your surrounding allows you to be who you are majority of the time. However, there are times when you feel you can't be a Sustainer and you may feel worthless in helping others and a burden.",pr_sustainer < pr_guardian * 2 and pr_sustainer >= pr_guardian and belonging_type == 'NB'
Protective Role,Moderate Unnatural Tendencies,"Guardian, Low_Medium_Value","Your protective role is naturally a Guardian and your environment does not let you be who you are a considerable amount of time.  A guardian protects, confronts threats, and defends his loved ones. Your surrounding does not generally allow you to be who you are. Often times you feel like you can't be a Guardian and may feel weak in your ability to protect others or fight off threatening scenarios.","pr_guardian < pr_sustainer and pr_guardian >= 0.5 * pr_sustainer and belonging_type == ""DB"""
Protective Role,Moderate Unnatural Tendencies,"Sustainer, Low_Medium_Value","Your protective role is naturally a Sustainer and your environment does not let you be who you are a considerable amount of time. A sustainer nurtures others, provides positivity, and looks to better those around them. Your surrounding does not generally allow you to be who you are. Often times you feel you can't be a Sustainer and you may feel worthless in helping others and a burden.","pr_sustainer < pr_guardian and pr_sustainer >= 0.5 * pr_guardian and belonging_type == ""NB"""
Protective Role,Severe Unnatural Tendencies,"Guardian, Low_Value","Your protective role is naturally a Guardian and your environment does not let you be who you are majority of the time.  A guardian protects, confronts threats, and defends his loved ones. Your surrounding does not allow you to be who you are. You feel like you can't be a Guardian and may feel weak in your ability to protect others or fight off threatening scenarios.","pr_guardian < pr_sustainer * 0.5 and belonging_type == ""DB"""
Protective Role,Severe Unnatural Tendencies,"Sustainer, Low_Value","Your protective role is naturally a Sustainer and your environment does not let you be who you are majority of the time. A sustainer nurtures others, provides positivity, and looks to better those around them. Your surrounding does not allow you to be who you are. You feel you can't be a Sustainer and you may feel worthless in helping others and a burden.","pr_sustainer < pr_guardian * 0.5 and belonging_type == ""NB"""
Relational Style,Very Trusting Tendencies,"Engaging, High_Value","Your Relational Style tested very high. You have Very Trusting Tendencies. You love to make friends and form relationships with others! With Very Trusting Tendencies, there may be times when you can be too trusting and that could lead to the wrong relationships. Be wary of over-extending yourself to these types of relationships!",relationship_engaging >= relationship_withdrawn * 3
Relational Style,Trusting Tendencies,"Engaging, High_Medium_Value","Your Relational Style tested high. You have Trusting Tendencies. You love to make friends and form relationships with others! However, you still make sure you are relatively selective with who you befriend and get involved with. You lean to be more trusting towards others than being disengaged.",relationship_engaging >= relationship_withdrawn * 2 and relationship_engaging < relationship_withdrawn * 3
Relational Style,Guarding Tendencies,"Engaging and Withdrawn, Medium_Value","Your Relational Style tested in the middle. You have Guarded Tendencies, which does not mean you do not allow yourself to trust others. Instead, you are hesitant to befriend but am still willing if the conditions are right. You could benefit from opening up more often to develop stronger relationships! ",relationship_engaging >= relationship_withdrawn and relationship_engaging < relationship_withdrawn * 2
