Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_HighThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
1,538,96,460,342,63,481,46,392,276,6,497,486,517,104,1,0,23,0,0,0,67,26,18,164,317,310,38,82,1097,104,819.0090811455319,195.01022491736157,79.30281002962809,12.578973992729042,18.47182485191235,3.96780020275481
2,597,312,213,95,72,532,245,170,34,0,501,515,484,263,211,0,0,0,5,0,297,24,63,435,97,104,41,66,718,263,924.7312003639083,205.5694160785117,96.54180595487911,14.670294493432081,177.31281103916564,181.91257712484443
3,525,284,499,97,73,461,227,439,45,4,480,518,502,137,22,0,0,0,1,0,60,15,25,187,274,357,33,82,1039,137,983.1527738763822,233.44294893958045,83.8564753594131,13.46836953289085,33.39229767497919,17.673253977598648
4,673,99,542,113,68,615,39,481,52,21,493,511,496,296,5,0,0,0,0,0,6,39,186,254,283,414,33,67,912,296,806.0699843143706,190.6209630418499,68.35022263080677,11.04216431267037,46.65705158581016,10.673483825055927
5,629,169,505,126,71,582,110,448,69,0,504,504,492,122,0,0,0,0,0,0,42,11,34,244,332,368,31,80,1087,122,952.5473151872143,218.24806030782173,76.36480633723448,11.574042324299985,40.632067092013315,19.578271738278904
6,693,256,131,117,68,636,213,75,42,11,454,507,539,212,235,0,0,0,7,0,388,35,34,562,47,10,18,65,765,212,833.619271660426,200.63475994737473,103.72289353439496,15.877967803378095,27.65761806802337,19.450979331442074
7,472,404,452,87,68,408,341,394,38,0,491,493,516,235,17,0,0,0,0,0,75,8,79,115,292,327,27,67,946,235,759.7803546922275,191.86420146311403,69.95333113287474,11.692986884566983,10.170491961685453,3.8919740298091408
8,729,190,182,93,61,666,116,132,45,6,488,500,512,145,245,0,0,0,0,0,334,26,34,606,47,70,35,62,820,145,836.4734655715998,196.30005331285827,89.72132722507992,13.792055615795613,599.395641862094,486.8613333037223
9,592,98,297,323,64,536,39,234,263,3,495,503,502,319,126,0,4,0,1,0,222,17,164,315,190,178,31,56,756,319,935.802104267709,212.77347357723562,89.98488609411909,13.777183954093141,86.83784142687372,41.230537329255434
10,365,93,107,619,59,286,16,46,575,14,484,474,542,231,257,0,0,0,0,0,367,16,0,247,39,7,27,39,706,231,1029.91583837005,234.22469241665198,78.98524225623683,12.654250657290616,16.65690216596919,6.2813123020536965
