Run,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
1,161,0,0,1,0,2,0,375,20,65,435,253,34,127,140,1048,161
2,171,0,0,0,4,0,0,300,3,13,424,193,74,7,45,1035,171
3,115,0,0,7,3,5,0,376,4,68,427,292,12,80,82,1079,115
4,99,0,0,1,1,0,0,309,3,63,437,142,110,234,285,1089,99
5,78,0,0,0,0,0,0,250,5,11,295,33,174,296,337,1122,78
6,140,0,0,0,3,0,0,383,2,10,508,143,2,22,63,1069,140
7,196,0,0,0,0,0,0,372,6,157,553,273,23,111,136,990,196
8,241,0,0,0,0,0,0,318,0,238,543,332,86,89,132,967,241
9,169,0,0,0,1,1,0,372,10,19,441,180,26,41,57,1022,169
10,169,0,0,0,1,0,0,253,4,30,332,45,173,313,348,1026,169
11,119,0,0,1,5,0,0,346,19,3,451,177,31,32,53,1095,119
12,140,0,0,1,6,1,0,335,17,47,458,273,73,19,50,1049,140
13,231,0,0,1,0,0,0,337,0,219,520,330,38,101,127,959,231
14,240,0,0,0,0,0,0,305,0,142,348,312,94,85,131,971,240
15,188,0,0,1,4,2,0,373,4,98,511,146,10,21,39,1016,188
16,122,0,0,1,4,3,0,248,2,22,299,67,142,270,314,1076,122
17,154,0,0,0,1,3,0,344,26,23,459,165,31,55,71,1039,154
18,182,0,0,0,0,0,0,397,2,0,445,89,3,61,95,1003,182
19,134,0,0,0,0,0,0,307,11,96,569,220,90,118,166,1063,134
20,130,0,0,1,0,0,0,296,22,2,413,163,103,14,34,1071,130
21,190,0,0,0,7,2,0,385,27,41,544,246,6,19,33,1036,190
22,115,0,0,0,3,0,0,388,3,4,407,104,5,14,50,1097,115
23,143,0,0,2,0,4,0,281,0,90,352,69,108,284,326,1059,143
24,252,0,0,0,0,0,0,299,0,251,504,285,102,106,154,943,252
25,147,0,0,0,3,1,0,228,4,106,360,110,161,231,271,1067,147
26,147,0,0,0,0,2,0,358,23,23,461,235,57,18,70,1065,147
27,144,0,0,0,0,0,0,362,2,41,493,113,21,27,61,1039,144
28,182,0,0,0,4,2,0,328,12,5,370,186,56,70,105,1008,182
29,165,0,0,0,5,1,0,351,15,27,448,164,58,97,121,1056,165
30,169,0,0,0,2,0,0,419,38,67,477,275,0,67,88,1038,169
31,105,0,0,0,0,0,0,313,6,103,563,112,92,275,304,1093,105
32,152,0,0,0,3,0,0,328,5,147,562,227,68,158,212,1047,152
33,162,0,0,0,1,1,0,378,7,1,481,116,4,13,42,1031,162
34,213,0,0,0,2,0,0,303,0,122,362,264,82,120,166,980,213
35,154,0,0,6,0,1,0,410,3,109,450,325,0,51,61,1057,154
36,177,0,0,0,3,0,0,393,7,113,598,136,9,15,36,1030,177
37,225,0,0,0,0,0,0,294,0,173,527,96,92,129,163,973,225
38,251,0,0,0,0,0,0,396,1,154,445,349,0,18,44,945,251
39,246,0,0,0,0,0,0,329,0,190,484,279,89,115,144,957,246
40,118,0,0,3,6,0,0,355,6,35,417,183,49,11,33,1086,118
41,146,0,0,0,1,2,0,365,3,1,411,106,74,23,43,1061,146
42,125,0,0,2,4,3,0,339,4,2,374,105,72,22,53,1098,125
43,231,0,0,0,1,0,0,305,0,218,532,291,84,105,143,978,231
44,158,0,0,0,0,0,0,310,5,154,559,94,92,273,321,1040,158
45,163,0,0,1,7,2,0,394,16,71,491,288,9,24,53,1036,163
46,175,0,0,0,0,0,0,316,2,79,383,242,117,128,171,1029,175
47,213,0,0,0,0,0,0,395,8,49,498,243,4,15,34,985,213
