Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_LowThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
1,607,63,481,284,65,544,7,422,221,6,461,486,553,154,0,0,0,0,1,0,253,0,111,364,119,128,250,294,1046,154,9.624184799447232,2.7087169392784274,150.63548201465463,40.689908354825846,110.28319926081559,125.66866123100682
2,827,368,135,103,67,770,316,87,34,1,477,517,506,269,0,0,0,0,0,0,421,9,125,492,278,0,68,87,939,269,11.139870099661447,8.653438212062325,264.9475229883314,64.46551002682149,25.196127675912212,14.043704831120744
3,535,88,475,335,67,479,16,417,284,6,514,501,485,125,0,0,2,0,5,0,270,0,55,400,25,124,261,293,1077,125,7.423665152652547,2.178211730873673,162.91362240708818,48.30235822695354,31.44490579003662,6.815609399900133
4,553,59,97,730,61,488,7,42,660,3,510,486,504,172,0,0,4,1,6,0,363,1,2,383,103,17,20,25,1028,172,7.207049721391352,6.716051507476582,143.21514901157266,41.868461837918304,48.57895219523544,22.95317677924146
5,583,63,570,226,58,526,7,500,184,7,512,491,497,109,0,0,0,0,2,0,282,3,73,398,92,122,327,378,1115,109,11.942479576684677,5.751951868593976,177.21581206590434,52.727435904593904,42.40731731824004,19.707234763702164
6,859,289,132,155,65,811,220,60,92,8,517,502,481,211,0,0,0,2,0,0,405,17,97,493,317,0,44,60,980,211,14.10794353177121,13.630011793667604,295.8213695644522,62.91389059711531,119.05278516248767,64.2845818706891
7,747,210,106,368,69,693,153,50,316,7,518,499,483,185,0,0,0,4,1,0,406,29,5,553,137,9,20,41,1034,185,14.521052142712106,10.059609611184085,300.81195939690735,61.3155438906754,120.77825517398529,58.711487046485594
8,1086,86,103,164,61,1028,32,45,107,3,479,484,537,203,0,0,0,0,0,0,394,24,165,661,292,0,28,45,1012,203,9.819421484137091,9.809485129400741,273.5349302870333,58.24224285644702,400.92289971195737,324.293539519366
9,474,240,592,130,64,418,168,527,68,7,503,504,493,118,0,0,0,3,4,0,252,3,18,364,39,130,357,397,1070,118,7.783217177957722,2.339050404261477,180.28678711734798,57.30392965501655,32.584995918600285,13.041241948125156
10,804,321,97,209,69,740,248,43,161,0,487,488,525,218,0,0,0,0,0,0,383,0,103,459,279,2,15,41,974,218,10.094315432856051,6.696838993763,212.0424051326874,53.128724964285915,89.24287489399948,50.1987846682178
