Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_ModerateThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
1,763,72,145,452,68,698,13,93,382,8,472,490,538,137,0,0,3,4,3,0,353,7,62,420,258,29,49,64,1057,137
2,340,70,674,349,67,284,10,611,289,6,501,499,500,100,0,0,0,4,0,0,177,7,14,229,53,222,339,389,1100,100
3,981,81,290,83,65,932,10,233,19,6,494,480,526,232,0,0,0,0,0,0,296,3,229,518,288,91,104,142,968,232
4,387,87,582,389,55,321,16,532,333,6,475,503,522,95,0,0,1,0,1,0,247,8,3,276,43,158,320,374,1113,95
5,529,217,461,221,72,474,149,390,168,13,502,496,502,156,0,0,0,1,3,0,265,0,71,300,173,141,202,249,1038,156
6,363,238,602,231,66,311,160,542,170,7,484,499,517,98,0,0,0,3,0,0,225,3,1,283,28,167,338,375,1092,98
7,874,384,112,69,61,820,323,52,3,2,482,514,504,291,0,0,0,0,0,0,414,16,168,488,332,0,29,52,909,291
8,1002,58,291,76,73,950,7,232,6,0,522,468,510,261,0,0,0,0,0,0,284,0,260,525,317,84,103,148,934,261
9,544,67,125,694,70,468,3,79,639,8,500,504,496,191,0,0,0,4,3,0,381,0,1,369,99,25,20,54,1006,191
10,813,80,112,422,73,770,26,52,353,6,504,479,517,72,0,0,6,2,0,0,379,19,4,455,313,16,22,36,1135,72
11,684,381,119,248,68,617,310,75,197,8,474,525,501,225,0,0,0,2,1,0,381,16,0,456,161,23,17,52,982,225
12,439,281,510,206,64,378,218,452,155,3,484,501,515,130,0,0,0,0,0,0,243,2,22,304,73,158,251,294,1076,130
13,307,122,701,302,68,251,68,637,243,0,479,515,506,68,0,0,1,0,1,0,141,11,18,190,46,268,320,369,1131,68
14,1007,70,297,66,60,945,11,228,4,6,480,512,508,217,0,0,0,1,0,0,322,8,211,567,258,83,112,145,977,217
15,434,58,612,321,75,381,0,544,265,19,511,498,491,106,0,0,0,3,0,0,235,0,35,306,67,162,335,382,1103,106
16,662,82,106,580,70,610,23,41,512,6,526,462,512,101,0,0,4,2,1,0,346,21,6,406,203,10,11,31,1091,101
17,439,323,529,150,59,381,262,469,102,3,482,491,527,137,0,0,0,0,4,0,245,2,17,317,50,149,277,320,1080,137
18,668,114,103,544,71,610,47,57,479,0,467,512,521,165,0,0,0,0,2,0,391,26,6,421,186,4,26,53,1028,165
19,502,289,493,156,60,447,233,438,98,10,483,513,504,136,0,0,0,6,0,0,290,6,12,383,62,135,261,303,1090,136
20,713,354,115,243,75,642,293,60,185,17,483,525,492,225,0,0,0,5,3,0,396,21,5,470,167,21,11,39,972,225
21,1181,98,89,66,66,1132,35,23,2,5,494,493,513,225,0,0,0,3,0,0,394,13,207,678,359,0,14,23,972,225
22,699,82,147,503,69,640,21,81,452,0,494,493,513,69,0,0,5,0,0,0,362,20,5,429,210,32,15,49,1125,69
23,667,207,97,462,67,604,140,46,401,8,500,505,495,214,0,0,1,1,1,0,405,12,2,462,141,1,15,45,985,214
24,538,55,117,724,66,463,6,59,671,7,497,493,510,132,0,0,0,3,0,0,373,1,3,375,86,36,4,23,1074,132
25,1057,82,119,173,69,994,15,61,107,10,477,500,523,159,0,0,3,5,0,0,379,12,135,633,317,6,41,55,1028,159
26,518,232,498,184,68,473,171,435,116,7,508,496,496,126,0,0,1,0,0,0,277,0,75,326,135,120,271,315,1076,126
27,875,259,106,193,67,820,201,44,131,2,510,501,489,208,0,0,1,0,6,0,393,14,105,450,359,8,17,36,990,208
28,708,351,174,204,63,631,289,111,154,4,494,496,510,292,0,0,0,4,0,0,376,17,60,441,190,23,69,88,897,292
29,471,86,125,748,70,412,15,74,696,0,490,509,501,317,0,0,0,0,0,0,403,14,0,336,76,0,29,74,880,317
30,630,348,103,352,67,570,292,43,279,9,499,465,536,258,0,0,0,3,6,0,378,9,1,402,168,0,15,43,935,258
31,588,363,109,374,66,534,299,45,317,6,484,506,510,264,0,0,0,2,3,0,421,19,3,407,126,0,31,45,937,264
32,570,84,111,661,74,508,14,54,615,11,491,479,530,244,0,0,0,4,0,0,376,8,3,373,135,0,30,54,958,244
33,925,90,306,119,60,873,36,237,60,5,469,507,524,162,0,0,0,4,0,0,325,10,127,554,236,80,115,157,1049,162
34,582,361,99,391,67,517,302,44,331,7,483,521,496,236,0,0,0,0,2,0,395,12,1,403,114,14,7,30,965,236
35,480,276,557,122,65,432,210,503,48,5,481,508,511,128,0,0,0,3,0,0,246,9,32,319,90,171,278,332,1070,128
36,750,278,346,56,70,697,220,284,0,0,480,501,519,230,0,0,0,0,0,0,328,5,137,442,204,72,166,212,971,230
37,335,79,657,355,74,275,25,599,308,0,493,489,518,100,0,0,0,0,1,0,215,15,0,257,18,181,368,418,1107,100
38,933,49,377,81,60,878,0,319,7,8,491,471,538,212,0,0,0,0,0,0,263,0,210,538,242,117,155,202,1000,212
39,697,314,125,294,70,631,253,65,225,7,487,511,502,209,0,0,0,2,2,0,399,15,24,461,167,5,17,60,972,209
40,360,176,584,315,65,314,115,531,260,0,515,484,501,133,0,0,0,0,2,0,216,2,11,279,27,169,306,362,1087,133
41,531,344,100,445,80,466,286,47,385,12,479,518,503,211,0,0,0,4,1,0,402,18,0,323,143,4,13,43,985,211
42,909,48,114,367,62,843,4,51,308,7,501,483,516,280,0,0,0,3,0,0,383,3,207,459,384,0,10,51,933,280
43,1115,76,188,55,66,1048,3,134,2,0,491,482,527,276,0,0,0,0,0,0,352,0,273,598,311,29,76,105,911,276
44,611,84,556,184,65,554,21,494,131,2,489,516,495,84,0,0,0,0,0,0,273,12,59,434,65,137,313,357,1118,84
45,462,397,128,441,72,399,335,66,382,18,483,498,519,302,0,0,0,7,3,0,395,24,6,304,90,0,45,66,898,302
46,371,66,590,405,68,319,27,533,341,1,466,504,530,93,0,0,0,1,0,0,245,10,3,270,46,161,320,372,1128,93
47,812,354,131,144,59,753,289,64,80,9,517,512,471,275,0,0,0,5,0,0,408,14,108,470,283,2,21,62,920,275
48,380,290,651,112,67,317,234,586,55,15,509,511,480,122,0,0,0,2,0,0,214,7,23,269,45,187,356,399,1085,122
49,1183,70,119,66,62,1131,16,61,0,7,497,481,522,148,0,0,0,0,0,0,390,0,126,740,386,0,21,61,1067,148
50,895,417,57,69,62,834,357,7,10,3,515,470,515,298,0,0,0,0,0,0,386,15,170,440,394,0,1,7,913,298
51,424,86,169,751,70,377,21,104,699,9,503,479,518,208,0,0,0,0,1,0,350,6,0,274,103,47,29,57,1002,208
52,761,62,497,115,65,708,7,432,46,20,486,502,512,173,0,0,0,0,0,0,241,0,151,448,187,169,213,263,1040,173
53,718,83,180,452,67,647,27,111,396,0,535,476,489,147,0,0,2,0,0,0,361,17,39,420,215,23,72,88,1034,147
54,355,102,628,355,60,285,39,567,296,0,498,482,520,103,0,0,0,0,0,0,204,15,1,252,32,175,349,392,1084,103
55,1044,60,279,61,56,980,0,219,4,0,494,494,512,272,0,0,0,0,0,0,311,0,271,538,308,77,95,142,931,272
56,394,188,495,359,64,333,133,422,313,3,500,482,518,113,0,0,0,1,1,0,284,2,8,294,31,104,278,318,1091,113
57,377,84,595,379,65,327,3,552,325,0,502,473,525,121,0,0,0,0,1,0,197,2,37,243,81,180,316,372,1086,121
58,918,63,383,66,70,870,2,321,0,0,507,486,507,249,0,0,0,0,0,0,267,0,249,489,236,121,150,200,944,249
59,1145,98,118,75,64,1097,41,49,8,0,492,481,527,167,0,0,0,0,0,0,384,18,142,739,358,0,19,49,1028,167
60,838,298,110,181,73,782,239,53,117,0,498,487,515,319,0,0,0,0,2,0,389,15,176,497,283,5,24,48,872,319
