Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_ModerateThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
1,527,91,240,582,60,468,25,181,518,7,495,504,501,114,0,0,0,3,0,0,341,15,3,364,101,59,106,122,1085,114,32.52146403683227,24.960186225104692,204.03973890568236,40.66198491622062,139.27837362469748,124.48824429453512
2,391,66,530,454,59,329,6,447,391,10,523,481,496,118,0,0,0,3,1,0,223,0,3,283,44,162,254,285,1065,118,25.875424763233458,19.602553305926197,100.5317592264578,24.085586980915664,19.120487623612977,7.251763852472728
3,606,231,131,459,73,543,170,57,407,20,472,506,522,207,0,0,0,13,2,0,374,2,1,413,130,22,17,35,990,207,64.1880127893755,29.978221347189848,127.43019489546872,24.634747177270835,51.49471350256417,25.915507720250744
4,827,236,129,229,79,756,185,69,178,24,517,508,475,187,0,0,0,5,1,0,399,32,5,577,176,12,33,57,1025,187,71.99879602034528,33.86232020384056,209.14254295432173,37.66825846150006,846.4930018637677,1102.52632650777
5,1151,130,87,66,66,1086,81,34,0,8,464,494,542,224,0,0,0,1,0,0,397,16,176,662,347,0,17,34,985,224,54.57359702582598,32.72916960097141,166.8882279518171,34.363166838067514,61.59323281711187,78.68478555338115
6,801,82,98,454,65,727,27,50,391,4,474,496,530,94,0,0,3,1,2,0,389,26,3,480,247,11,11,39,1105,94,45.583405018479574,30.94604864535065,233.02776509261918,43.332323060118185,128.49265876634684,71.29942263297917
7,712,378,289,54,67,651,321,211,0,20,491,495,514,200,0,0,0,1,0,0,370,15,7,431,220,23,159,188,1003,200,44.583566187045136,33.935342917450406,197.61390023382648,38.208021870880266,209.23538543697455,151.1375583272994
8,673,118,113,535,61,616,61,49,477,4,508,514,478,135,0,0,2,0,2,0,410,24,4,406,209,7,14,42,1072,135,55.94073521113997,34.18662132659268,209.92975691368835,41.9386721847035,55.87777276643871,21.484881820038467
9,363,263,606,213,55,301,191,549,161,5,462,533,505,111,0,0,0,2,2,0,230,4,2,270,31,191,304,358,1096,111,21.522697688128602,14.903767211512205,103.63882047262653,23.75893448039365,33.959915095215614,22.046608712252212
10,969,299,101,70,61,916,242,35,1,9,514,456,530,265,0,0,0,8,0,0,363,13,173,531,385,0,18,35,938,265,50.21366744153906,31.3322566252159,169.48257944095454,31.000171460510014,131.0229592246617,186.227879662311
