Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,120
Parameter: aHigherSitL,140
Parameter: aLowerSitDB,120
Parameter: aHigherSitDB,140
Parameter: aLowerSitNB,120
Parameter: aHigherSitNB,140
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_StrongAllies_LowThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
1,807,71,158,412,52,745,9,109,348,3,503,485,512,34,0,0,18,2,0,0,400,8,30,452,293,0,93,109,1180,34,4.421532274388498,1.2823803926167352,273.9462553910357,72.45434621994679,208.4695465094304,132.90552675973694
2,912,303,157,57,71,844,249,95,5,8,518,496,486,202,0,0,0,6,0,0,386,15,101,505,339,0,66,95,999,202,49.28226387580162,33.1522255359763,337.16364301551033,75.9483634510798,90.28458594215707,83.58432580786061
3,220,358,759,97,66,167,295,708,34,5,503,478,519,150,0,0,0,0,0,0,1,9,22,35,132,389,263,319,1059,150,13.28450835772997,4.506489699521188,250.2314524781611,70.26487377301294,12.531324760697988,2.2577559741615696
4,549,54,163,677,57,482,8,102,623,2,491,472,537,139,0,0,2,0,2,0,319,7,1,384,97,67,16,35,1078,139,28.843366565834405,26.022999674704316,264.52739870958857,70.6633932452305,53.40126295795955,24.90001487815512
5,761,379,114,176,70,693,319,46,116,8,487,501,512,231,0,0,0,2,0,0,381,11,76,441,252,5,14,41,951,231,40.37979262544745,29.42789415793852,296.7669557438882,70.90902456380958,495.19501255851156,542.319025777989
6,961,61,295,120,63,902,0,228,65,4,482,468,550,202,0,0,0,0,0,0,253,0,194,511,294,123,63,105,997,202,10.565197803364713,4.038568321192687,199.40571616903762,52.243364892642745,83.3585863623913,34.33048299456992
7,169,87,685,483,76,118,37,626,413,1,488,518,494,132,0,0,0,0,3,0,55,6,3,87,28,356,232,270,1063,132,8.375515228436052,3.017859348362955,163.88143031067736,46.15848397240494,13.242100713566414,3.5075190158993146
8,218,72,734,413,63,151,7,675,360,5,475,499,526,108,0,0,1,0,0,0,4,7,11,24,127,397,235,278,1090,108,9.811539218333841,3.427638902347776,185.76222090468667,54.85992031067517,16.49793936502893,3.6113759910618812
9,306,294,616,234,50,243,231,560,160,2,492,498,510,197,0,0,0,1,1,0,83,6,64,139,51,316,201,244,999,197,8.93811887367674,2.9776427716630507,256.65053948384127,72.81781193770254,25.3876096481313,5.771408450997967
10,838,337,183,79,63,775,276,123,17,1,475,517,508,152,0,0,0,0,0,0,417,10,4,513,262,1,91,122,1040,152,61.778182689274594,37.01139655770795,274.3825251285475,69.35015900025931,55.29612151132513,34.82423161267208
11,913,63,118,341,65,856,0,63,270,0,518,480,502,76,0,0,0,0,0,0,367,0,3,701,152,6,29,57,1113,76,50.55446992719983,34.31187672040861,205.97233276408943,50.056496504070395,324.8312445596069,192.53327052223716
12,184,387,622,233,74,127,318,557,177,9,463,512,525,203,0,0,0,0,4,0,47,1,14,91,27,359,157,198,985,203,8.702983942968743,2.9368398309721306,158.9008502710835,48.26179925390847,11.783274660288102,4.112971118020757
13,186,284,790,177,63,120,212,732,113,9,507,489,504,109,0,0,0,0,0,0,15,11,20,47,73,372,320,360,1077,109,9.620903373242639,3.8571399361362255,265.17140367674256,69.01576581956847,20.854065418235677,7.417134801227466
14,395,59,717,253,76,337,11,653,190,0,482,541,477,133,0,0,0,0,1,0,69,10,86,216,38,355,253,298,1058,133,10.823298871872439,3.6813050477230846,243.21146685430764,66.94921386687274,26.37277612809961,5.905421551632803
