Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,120
Parameter: aHigherSitL,140
Parameter: aLowerSitDB,120
Parameter: aHigherSitDB,140
Parameter: aLowerSitNB,120
Parameter: aHigherSitNB,140
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_StrongAllies_ModerateThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
1,356,182,823,72,67,292,122,777,5,2,504,506,490,153,0,0,0,0,0,0,14,15,87,176,40,389,350,388,1045,153,17.62221707842052,14.12899340401715,191.20872799355413,41.61829381321467,31.557138871949466,9.961628585528537
2,606,61,142,626,65,545,9,86,564,1,498,507,495,147,0,0,3,1,0,0,419,0,37,430,78,0,66,86,1058,147,32.56045668608231,25.588040382050607,111.22413988136495,28.18918809329902,110.28811584024785,72.39425087642827
3,326,161,755,183,75,286,94,697,133,0,487,517,496,166,0,0,0,0,0,0,32,10,97,115,122,384,258,313,1044,166,18.24985505208052,9.363682567919518,157.7224970198704,36.55807937753409,19.100754319155786,2.569131923654506
4,230,96,760,351,63,173,21,698,288,9,504,506,490,108,0,0,0,3,0,0,23,14,15,102,59,372,276,326,1081,108,32.20423422325488,15.705464059562686,176.26684958934436,38.88411453620782,24.668064557733747,5.543716799552716
5,844,109,393,85,69,787,48,339,12,1,491,528,481,254,0,0,0,1,0,0,215,1,225,418,275,192,112,147,933,254,13.964189228227301,5.500661182863581,115.94530541620945,28.757700005432984,24.751370696028822,5.9259373941917834
6,552,132,499,248,69,493,78,437,188,11,490,494,516,193,0,0,0,2,1,0,215,1,107,365,22,173,208,264,1014,193,31.486655064230547,22.5951291647211,118.89266032812634,30.075778313634373,1246.566726968346,1547.3275517495788
7,415,361,266,390,68,354,307,213,317,6,509,490,501,222,0,0,0,4,1,0,212,0,0,271,83,171,12,42,975,222,106.68321081118272,47.553845770693286,142.86462573153736,32.42904513400568,15736.098116908292,30629.91617799437
8,403,359,328,342,68,327,307,265,288,14,496,522,482,191,0,0,0,6,1,0,220,0,0,265,62,204,40,61,1010,191,78.74943690279125,43.27555860099862,114.32294779771138,26.26320994428183,119.27330969905468,103.83674555147972
9,1023,65,166,180,66,950,19,114,124,17,500,496,504,106,0,0,0,4,1,0,378,12,29,611,324,8,80,106,1118,106,48.88834466507854,29.630432385136174,180.89529285942686,38.5260545990641,404.1156090950768,271.62999886618115
10,458,236,232,499,75,395,167,170,450,14,485,495,520,193,0,0,0,1,4,0,284,0,0,334,61,113,13,57,1003,193,155.18691844659585,61.440934209271624,97.49955338891866,19.95902337247286,171.3863444881843,112.09718902178457
11,423,75,202,729,71,363,17,152,667,0,481,486,533,174,0,0,0,0,0,0,276,3,0,292,71,101,9,51,1025,174,89.02623042632814,43.906836802594874,130.81495604444203,31.119562427556673,89.72867537060675,72.82801126887819
12,878,224,119,213,66,809,175,60,145,15,508,484,508,261,0,0,0,0,0,0,389,20,84,508,300,1,29,59,943,261,95.35165733568518,46.12655696004713,234.35167632358926,42.62975474373559,57.69293191064224,32.84549596552057
13,737,57,507,138,61,687,1,438,78,5,497,519,484,217,0,0,0,2,0,0,113,0,205,300,315,315,83,123,992,217,26.285632635455446,19.613800256461666,82.0544105414168,20.544385094002454,45.84352918771083,14.17851108773086
14,162,64,816,396,62,93,20,760,335,6,488,510,502,117,0,0,0,0,1,0,1,15,24,30,55,401,303,359,1097,117,26.400784769862465,21.175173208175114,146.11564484256434,34.625043786931045,21.148298474489508,3.710012030908894
15,190,82,733,411,84,134,4,675,359,30,442,525,533,105,0,0,0,1,0,0,14,2,5,62,72,425,202,250,1097,105,18.633710537336064,10.9964703173999,148.66331922390364,33.56784345122314,18.750379501191762,4.345428376209629
16,213,271,714,233,69,157,214,652,182,4,473,495,532,157,0,0,0,1,0,0,33,10,9,87,68,365,231,287,1052,157,30.677265152771934,19.42282013824489,137.96383206922437,31.63463782222506,12.162609174113062,3.479499540066142
17,291,200,763,177,69,236,143,711,105,0,466,493,541,135,0,0,0,0,2,0,20,11,34,172,39,377,273,334,1060,135,28.936656163139702,17.564396719379577,158.5989848687759,35.972491461271595,27.648354190346097,6.965466628999899
18,164,91,837,353,55,114,20,762,305,4,501,465,534,172,0,0,0,0,0,0,7,16,13,71,42,364,349,398,1033,172,31.696989100545316,18.242742848003154,184.6867652708358,39.880920000092836,20.248834952715036,6.400737930039596
19,388,117,178,735,82,336,59,124,671,15,522,492,486,227,0,0,0,5,0,0,328,2,0,275,61,77,20,47,978,227,90.27549171051264,43.58904580059716,153.97396773327546,33.94669018311385,35.21269097200541,16.433463091127834
20,726,62,119,530,63,664,2,64,474,0,481,523,496,78,0,0,2,0,0,0,401,2,20,492,172,19,29,45,1126,78,34.887548253500874,32.77979171179176,145.74019406226626,32.119092799996196,1752.2289693612956,1063.925060036151
21,413,71,356,589,71,360,15,287,541,10,490,516,494,152,0,0,0,6,1,0,207,0,0,290,70,209,46,78,1061,152,84.68949347194648,45.73257337857093,123.98025127393298,25.248802606514282,94.86595502825887,65.87992521473741
22,527,61,587,256,69,474,5,531,196,5,520,481,499,196,0,0,0,0,0,0,27,0,180,132,281,351,137,180,1015,196,19.874735449446547,15.852432298079801,95.76119480935884,24.795171322250283,27.774759040335166,4.262808776523759
23,792,83,171,389,65,734,36,111,331,2,469,514,517,105,0,0,6,1,0,0,363,36,29,431,303,43,44,68,1109,105,31.716753461075324,25.879984457225337,269.54979623866626,49.0724055355772,88.73164120513029,63.3319077108851
24,581,233,557,58,71,519,175,493,9,4,516,485,499,173,0,0,0,0,0,0,134,16,109,252,220,259,181,234,1027,173,33.24769171765065,22.040028334113796,176.64246734854046,40.15539663783906,39.41729296017066,17.43927298208696
25,615,67,559,191,68,548,8,502,141,12,533,462,505,142,0,0,0,1,0,0,171,2,110,320,177,200,245,302,1069,142,17.525156779805275,5.533488950075983,106.89135767599575,23.401836666919245,17.47393888507193,3.223544875741223
26,301,179,840,112,68,244,119,782,46,12,498,487,515,139,0,0,0,1,0,0,8,11,70,138,37,362,353,420,1064,139,33.783019451502845,20.314465543859182,157.85101178536078,36.192272263063515,15.298513924631242,3.2065533790411203
27,160,364,788,122,66,94,291,720,62,7,492,491,517,149,0,0,0,3,0,0,1,6,13,27,67,380,290,340,1025,149,40.6476764290111,30.053787773022595,163.55107496127587,37.49342097880388,6.862291740549957,1.4433275644258317
28,1116,127,124,67,66,1049,73,63,0,8,474,522,504,89,0,0,0,3,0,0,413,12,50,694,340,0,22,63,1104,89,94.63439693247491,51.04862004186586,175.5792043735883,32.12551795032615,64.08168002019387,43.86518513884178
29,545,335,132,420,68,487,280,65,358,10,495,487,518,268,0,0,0,4,0,0,369,4,4,370,117,32,7,33,932,268,107.78023495543422,52.5309459597741,134.4936652523571,27.171355955210846,22.45610799618272,7.309859265330585
30,252,280,711,192,65,188,226,654,120,9,514,473,513,140,0,0,1,0,0,0,9,0,52,25,156,366,243,288,1057,140,11.347088339703717,4.440588693466412,84.28276798815665,20.076297643905043,14.520994703308837,4.7945925162958645
31,234,261,713,231,61,172,213,649,154,6,466,515,519,143,0,0,3,6,0,0,15,8,48,44,127,385,223,264,1051,143,17.22082830767623,12.689312483003055,112.35281284264327,28.957085379223855,12.032428470160331,2.239726252122049
32,722,293,122,292,71,663,248,63,235,0,488,540,472,212,0,0,0,0,7,0,420,18,3,509,152,19,24,44,997,212,116.53536487166281,52.29064096748279,167.37003993622213,33.390367711441556,44.89184676472612,17.70772991650641
33,380,402,166,486,66,311,344,120,425,4,469,545,486,255,0,0,0,0,0,0,356,10,0,257,54,77,20,43,949,255,93.84142796313937,45.96693076161866,163.02882482578525,35.36906713806577,24.286054891780694,15.322408500026626
34,772,332,145,178,73,697,279,86,124,13,491,493,516,156,0,0,0,6,0,0,375,18,8,469,224,20,15,66,1043,156,71.85592852899806,40.654372844408144,205.62154890548686,38.16876400551337,71.86868415780434,33.75602736418935
35,445,88,827,84,56,390,31,774,14,2,476,526,498,135,0,0,0,0,0,0,0,24,121,229,58,409,308,365,1076,135,19.694531589620553,7.686845612952276,206.56119451209298,44.47451385227324,35.53947678876739,6.2890009504839846
36,400,145,833,54,68,334,79,777,0,10,523,501,476,142,0,0,0,1,0,0,19,17,98,188,64,377,342,400,1058,142,30.710617018016332,17.216854471509233,178.97176095242244,37.76033850119808,77.02754204501687,43.847869712027546
37,446,56,129,795,74,372,8,76,727,13,515,476,509,206,0,0,0,7,2,0,363,1,0,283,89,24,18,52,990,206,125.37033545095646,52.90466471013912,99.66846856603703,22.042763226314356,44.96295589059335,26.900395578229343
38,538,230,237,423,72,487,170,185,358,2,496,477,527,173,0,0,2,0,0,0,352,16,0,406,81,36,111,149,1029,173,96.66722376298515,47.632773519898976,210.9841128302521,41.30027353991957,107.03223552435203,98.3198515797992
39,882,140,126,289,63,831,85,51,229,13,507,506,487,88,0,0,4,3,0,0,404,16,34,469,362,4,30,47,1121,88,43.488927510283744,28.503013215315146,196.96760990545798,40.0334381285351,69.11564152842236,37.42107392791131
40,354,350,353,365,78,289,304,295,314,17,512,482,506,251,0,0,0,2,0,0,191,0,0,231,58,193,64,102,968,251,86.3227913328614,40.93537708817462,126.56394738769784,28.993406586251112,29.901053760400444,11.539041073238819
41,1118,155,102,60,65,1057,92,44,0,5,483,499,518,94,0,0,0,2,0,0,395,29,45,705,348,0,15,44,1104,94,56.75424318679496,36.07767201533452,260.31577371330224,45.45249023217773,42.035927074689745,31.899151570173863
42,446,174,621,188,71,377,110,568,123,9,492,476,532,226,0,0,0,0,1,0,19,3,133,178,104,361,176,207,961,226,27.007940514389304,21.897227704007317,130.2370998092469,30.860861831597905,28.43755308033167,6.231267251720843
43,1016,50,304,68,62,958,5,231,0,0,498,508,494,249,0,0,0,0,0,0,294,0,247,545,322,113,71,118,945,249,35.917717020711656,23.638741031128944,88.29536262633012,23.578021158198464,11.447779412916931,3.0364507085116035
44,148,120,865,302,65,91,55,810,250,7,465,534,501,106,0,0,0,0,0,0,3,18,10,63,22,428,330,382,1107,106,22.509444501910096,22.526219749976743,179.0022050206782,38.90581864648972,12.582305127648796,3.1414603435507904
45,272,66,815,276,71,206,20,756,225,5,502,487,511,118,0,0,0,0,0,0,2,20,56,100,68,387,317,369,1094,118,12.140589333350414,3.8511012232565247,182.2787093633865,40.925590529600846,24.136597685641124,3.3555897940213444
46,253,77,682,422,66,202,13,617,357,2,496,511,493,123,0,0,1,0,0,0,70,9,44,117,45,328,242,289,1068,123,25.335866614914675,20.78648042042142,132.22696523424625,31.890263453144858,17.69941721742163,3.6332520775437405
47,874,215,114,228,69,815,155,65,167,0,522,477,501,190,0,0,0,0,0,0,376,17,71,560,252,14,17,51,1012,190,89.52724040948144,40.337367210134154,177.33731691801168,35.89235100847221,238.11218411955005,136.4847502571933
48,217,75,552,590,66,159,14,486,536,0,495,498,507,141,0,0,1,0,6,0,38,0,7,90,69,357,91,129,1054,141,21.77931713378638,20.962528845188807,102.54699384753282,25.859844190936823,13.883596344340214,3.720527805080027
49,446,79,297,612,66,389,16,231,551,8,476,508,516,167,0,0,0,4,6,0,215,2,0,297,92,178,32,53,1028,167,101.78868526274584,49.206187989334055,120.30472374053787,27.289228431002325,11437.21078814436,18041.464375159823
50,562,60,118,691,69,507,1,61,628,0,467,513,520,160,0,0,3,0,0,0,353,0,8,414,85,51,9,10,1037,160,52.849628300111235,37.08212102804397,107.09381564549722,23.577616029920083,30.75616513015763,10.580628538236258
51,322,56,133,914,75,265,0,71,853,0,482,542,476,225,0,0,0,0,0,0,405,0,0,194,71,28,15,43,964,225,112.74757444554928,52.45499986517573,145.25652953685815,32.349705453704516,28.88456100700199,12.359029854941035
52,1195,69,109,69,58,1142,1,39,2,11,471,497,532,162,0,0,0,3,0,0,390,0,156,729,350,0,14,39,1033,162,60.002195853158874,39.132866249826925,181.4030377295877,37.11678760463191,830837.5950522937,1408568.026443002
53,515,70,785,57,73,460,12,719,0,26,500,492,508,180,0,0,0,5,0,0,2,3,160,216,143,393,255,326,1037,180,49.79984488740025,28.95310805833537,131.88290443116233,29.690944993955732,22.30555108648673,4.023296879246154
54,613,70,129,626,62,547,18,63,551,5,464,491,545,124,0,0,1,0,0,0,372,5,2,428,117,20,20,43,1060,124,52.68571491841402,36.19101720612943,139.4640294704649,32.93201645034461,110.95373242425752,39.12027495315972
55,792,249,197,190,72,744,175,131,131,11,472,516,512,193,0,0,0,5,0,0,340,15,66,480,264,66,15,65,999,193,94.30568323919816,44.12301272856734,216.00968280840377,38.9867313513263,81.57948653744707,43.06050338211596
56,807,83,137,405,68,745,27,76,342,8,482,488,530,37,0,0,11,3,0,0,377,21,9,430,315,10,39,66,1161,37,26.146619493429395,21.231878775719377,225.47545055044466,44.25645373474325,38.83388048541491,12.326861964431252
57,559,340,264,272,65,492,274,204,206,26,517,496,487,177,0,0,0,8,2,0,258,16,5,324,168,137,14,67,1025,177,92.22622286962347,42.193237650227374,187.83644364190982,36.21385521955103,40.80192724550945,30.003785080471893
