Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,140
Parameter: aHigherSitL,160
Parameter: aLowerSitDB,140
Parameter: aHigherSitDB,160
Parameter: aLowerSitNB,140
Parameter: aHigherSitNB,160
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_VeryStrongAllies_LowThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
1,944,147,218,118,73,882,80,162,66,20,505,500,495,105,0,0,0,5,0,0,321,22,4,538,344,77,15,85,1105,105,145.7861319187966,61.152991574883366,458.1050843686404,97.15846176849442,875.7496622259142,692.049262272703
2,756,168,347,157,72,709,101,278,98,6,469,530,501,184,0,0,0,4,0,0,283,25,114,409,262,148,85,130,1008,184,12.237120485748184,5.243726008305518,288.21896212948803,65.4980772865505,83.70441384197478,19.463743259750377
3,195,58,588,595,64,138,12,509,541,2,540,472,488,141,0,0,0,0,8,0,39,4,6,88,44,318,154,191,1061,141,9.037413904987783,3.182996899203884,173.58811383909364,54.21312439663673,29.529927699644013,13.435090876981866
4,284,351,735,65,65,225,282,677,8,9,498,500,502,174,0,0,0,1,0,0,0,9,74,58,164,405,217,272,1027,174,13.80010578183854,5.42957160411284,240.30586319154298,57.02977692650021,18.275847519136146,4.494900595096049
5,274,56,616,487,67,205,2,547,426,9,484,507,509,133,0,0,0,7,0,0,15,2,56,48,157,393,110,154,1056,133,9.141750473330053,3.3965636688192884,191.60982617542436,59.40059367715851,11.034664795626522,2.3631493554968244
6,660,61,169,542,68,600,8,120,481,7,503,483,514,87,0,0,2,3,0,0,368,7,11,427,173,25,71,95,1129,87,42.24763003032604,34.170565560055906,273.21849632200457,72.28060839472087,398.9746175752918,625.180215848903
7,244,317,800,77,62,181,257,745,16,0,491,529,480,163,0,0,0,0,0,0,4,3,47,42,139,435,252,310,1036,163,12.845170546417815,4.110609241219032,150.1149971553548,44.95854017645989,17.793086809486024,4.856820961208998
8,210,327,751,145,67,156,265,689,74,2,506,489,505,139,0,0,0,0,1,0,51,9,23,113,20,334,318,355,1047,139,9.177324903919635,3.95079178526952,223.03022753859497,64.20192878571312,30.679873135873642,16.32526849507544
9,306,65,402,650,77,250,7,347,594,5,530,482,488,184,0,0,0,1,2,0,174,0,45,135,84,220,87,127,1019,184,11.923648156454666,5.193195360179577,195.2279632373636,54.795549878901326,22.633184975464037,6.652011581325777
10,314,320,483,325,58,253,258,426,270,4,490,507,503,178,0,0,0,1,7,0,86,0,33,100,144,325,48,101,1033,178,16.835042578017156,6.953910055193688,159.68678726917858,49.05481738191715,20.98445682722294,14.692047966471796
11,804,63,412,153,68,756,9,345,99,4,510,502,488,200,0,0,0,0,0,0,221,4,178,418,252,178,129,167,1013,200,11.279794800477488,4.281806012092044,219.0347897637523,69.21246934802416,15.573093924989653,6.939172627764123
12,314,67,391,661,67,258,0,332,607,0,461,532,507,175,0,0,0,0,0,0,140,0,0,207,51,281,34,51,1022,175,66.90421177152133,47.92386148193128,220.8111184227973,57.218872312210934,27.738763011094342,23.785998679307653
13,485,80,807,56,72,427,32,741,4,8,495,497,508,162,0,0,0,0,1,0,0,3,140,236,95,386,308,355,1050,162,16.166747508259267,12.03041511007761,145.2340679020264,44.07243788556132,37.61967470261438,5.912254751189005
14,1064,61,192,112,71,1007,12,118,56,7,474,535,491,107,0,0,0,2,0,0,390,3,91,658,258,31,72,87,1093,107,41.66004026219392,25.331874525506205,200.12492645715992,55.05377595960215,3525.2620503722615,2996.157019629451
15,569,67,653,140,71,505,5,602,79,11,539,467,494,174,0,0,0,5,0,0,92,0,134,284,155,281,268,321,1028,174,11.338146256471264,4.0684060378873905,200.72768913242905,56.75095203626696,27.78454377905906,10.405831628216557
16,323,208,839,63,67,267,139,777,11,13,492,518,490,160,0,0,0,1,0,0,3,10,80,144,68,400,316,377,1047,160,13.400520062550546,4.862748850758486,283.7526680768638,71.48506931393239,51.29734584665857,24.104611586784316
17,1115,145,103,72,65,1059,79,49,0,0,499,470,531,334,0,0,0,0,0,0,362,7,294,507,366,0,19,49,853,334,80.09325762406274,57.22281210680397,264.247702330696,67.77190621992503,54.94316926704252,54.941739428233
18,1079,88,208,61,64,1018,39,133,1,6,500,490,510,201,0,0,0,0,0,0,397,35,175,653,253,0,109,133,996,201,41.691437065570966,29.847194602216668,400.635338260332,79.35842241812706,68.5163178134067,37.07873551949738
19,1149,77,94,122,58,1088,14,24,73,9,489,500,511,251,0,0,0,7,0,0,401,14,238,638,365,0,13,24,957,251,34.26148657450178,33.244027278688876,294.06132913094217,69.55762951491973,3433.4867012100244,5513.27763277292
20,182,66,574,603,75,132,11,507,555,0,484,537,479,164,0,0,0,0,7,0,101,4,11,87,35,319,142,188,1041,164,10.45747769405692,4.154850171625448,174.32035081467637,50.90937016875055,10.078257699738556,3.6020040459983904
21,790,87,268,285,70,730,21,212,232,11,490,487,523,68,0,0,0,4,0,0,263,15,5,380,350,125,30,87,1138,68,77.37473104767811,47.25264717443241,339.1086548138688,76.5721897879879,983.6538992521508,909.1322806411191
22,979,52,143,249,77,922,0,87,179,16,510,503,487,217,0,0,2,3,0,0,345,0,174,474,381,48,17,39,987,217,39.03989486464192,34.421879545953395,205.545205889191,52.939545419858426,68.22187458737297,24.42718942574162
23,322,70,392,638,78,269,15,329,580,12,475,490,535,239,0,0,0,3,0,0,129,11,0,201,68,264,10,65,966,239,110.48663266575109,53.07750236972433,269.45378985142713,68.43808662718565,58.544345366488486,37.06866488603243
24,1169,85,98,89,59,1100,27,41,29,3,468,505,527,15,0,0,0,0,0,0,416,7,0,785,315,0,22,41,1185,15,56.51228727850745,33.78698468849517,263.2296828746432,65.56261418630193,49.90852041294792,34.557985593362446
25,1154,70,152,62,62,1088,14,97,0,9,475,479,546,143,0,0,0,2,0,0,379,11,131,719,335,2,33,95,1065,143,103.77697554191873,47.83854804744686,255.99021475075492,68.84387422730643,28.95544644822264,12.238632367321221
26,1083,48,144,162,63,1005,2,92,100,1,522,466,512,243,0,0,0,0,0,0,363,2,223,607,306,0,71,92,957,243,31.615817985887013,22.641005821975313,222.47044771705103,67.7654406060811,78.16194989998846,35.28968110942538
27,802,76,502,52,68,747,7,446,2,10,497,481,522,206,0,0,0,0,0,0,142,0,199,404,250,251,144,195,1006,206,12.740908793586579,5.33167960161379,190.34676236188557,53.81284375884031,35.12529326951616,7.324926475361696
28,255,305,804,69,67,190,253,748,13,2,501,490,509,162,0,0,0,0,0,0,0,10,49,79,97,394,302,354,1044,162,15.672799013224639,8.656468349527648,258.66821159385574,76.91706551517578,16.774481200631918,3.331900300875029
29,231,348,790,61,70,168,276,741,1,16,487,486,527,142,0,0,0,1,0,0,21,7,26,101,60,366,323,375,1060,142,15.958175945195556,7.523566915820107,260.10309112499084,66.62327848160007,39.42204263425994,33.20940369251294
30,377,99,424,528,72,320,39,347,474,0,497,502,501,130,0,0,0,0,15,0,158,2,7,241,73,211,87,136,1050,130,13.75481444176938,4.700158161181799,220.0480242496829,61.568075700179385,40.68613401467363,19.685809556879217
31,480,65,582,301,72,416,5,523,247,6,501,509,490,203,0,0,0,3,0,0,36,2,125,120,275,373,111,150,994,203,9.28828823401989,4.202768533287045,177.08800897378956,49.13959399839228,49.053406513579084,15.235867368476425
32,402,59,330,644,65,343,6,262,593,0,465,494,541,211,0,0,0,0,0,0,279,0,44,276,24,126,85,136,993,211,15.095055621991584,5.6605175635026725,137.2733476238079,41.47234240969612,17.37876221966277,3.4569933786318696
33,1173,79,116,69,63,1118,19,57,0,2,512,491,497,134,0,0,0,0,0,0,398,3,120,738,363,1,37,56,1062,134,54.0476991390747,31.327639742676773,236.34245345358963,61.900621598422234,27.4671506843392,12.243805955914594
34,341,86,647,365,61,277,13,583,316,4,499,508,493,257,0,0,0,0,0,0,7,3,101,55,222,416,134,167,936,257,7.614793336156736,3.0347295917734343,233.68607867857014,66.1786481777213,21.196454899702218,4.711559966240825
35,349,197,809,75,70,291,136,738,12,23,494,482,524,160,0,0,0,0,0,0,10,8,91,147,76,383,308,355,1040,160,11.913665209848606,4.750580938819746,265.0043128089032,67.86548523814952,27.606746171328815,9.006546355205785
36,772,76,204,395,53,710,22,155,331,1,536,472,492,94,0,0,3,0,0,0,367,11,22,449,261,21,108,134,1125,94,35.25370027084573,26.86363868285808,295.47406408664307,77.84932561247024,49.851224305747046,21.25047989093143
37,934,189,262,49,66,874,128,208,1,9,464,511,525,57,0,0,0,0,0,0,373,6,1,628,245,44,131,164,1163,57,82.2478663444816,47.44436736595298,193.8900667758119,56.24203367732751,498.9722479335564,280.57561231907493
38,373,56,649,352,70,308,5,592,297,9,489,498,513,97,0,0,0,0,0,0,23,5,35,95,208,381,162,211,1114,97,16.072489465449912,14.558975532777184,224.33302748562892,66.30200293677814,36.08123094404769,13.132530537349492
39,909,86,119,325,61,853,8,61,264,9,512,482,506,111,0,0,2,0,0,0,385,6,37,500,353,2,58,59,1084,111,21.66067114912769,16.538924789965346,343.9366382157228,84.8013692579654,103.76043953443732,76.55421751352176
40,152,76,636,574,62,95,17,584,511,9,496,464,540,126,0,0,0,4,3,0,32,6,7,68,21,341,188,243,1090,126,12.595062752681072,4.750626199673434,214.93797389000594,57.522510276596684,12.701275008838811,4.3411697032254635
41,152,87,765,436,60,85,15,706,372,19,516,499,485,90,0,0,0,0,0,0,19,8,3,58,26,376,285,330,1107,90,12.682248282717923,5.2357696912080005,257.9758953001774,66.27900617118722,17.625004824899385,4.809323265210491
42,854,251,139,201,55,783,193,78,156,0,500,491,509,108,0,0,3,0,0,0,378,9,28,442,340,24,41,54,1102,108,30.04984595164841,27.99002504098914,355.38334731086707,88.42401071665539,25.52654622591988,9.465676661272722
43,495,81,478,382,64,433,14,409,317,17,522,488,490,149,0,0,2,3,0,0,131,6,22,184,249,248,135,161,1041,149,38.60935623320718,32.13373200008423,270.1096989882082,68.11070879798301,47.866854037107075,14.964767854788766
44,401,60,275,704,60,335,8,201,649,0,516,503,481,151,0,0,6,0,8,0,253,0,5,253,80,142,58,59,1042,151,10.144450816889217,8.229503001871258,163.02525126961714,48.14065073052027,39.362247294645385,18.795974225175254
45,594,58,186,596,66,534,3,127,533,12,512,493,495,113,0,0,6,7,0,0,303,3,12,353,181,87,19,40,1096,113,53.00400851007607,41.17896158370022,227.58241679149867,60.488118929344786,135.46931042680856,113.65856241640148
46,863,69,154,353,61,808,17,111,277,6,503,503,494,118,0,0,0,5,0,0,410,5,44,635,129,5,51,106,1101,118,102.78802258191324,59.113782190531545,218.7921180237247,60.27758235687602,1164.5616588075359,1030.5964399836123
47,201,54,515,660,70,146,9,447,606,0,488,497,515,141,0,0,0,0,0,0,100,1,16,80,65,294,113,153,1067,141,25.59828851766438,30.125012448520454,142.88237635656142,48.428682351609694,14.449641016343643,3.858204262525208
48,894,62,102,372,70,839,7,48,301,5,494,485,521,93,0,0,0,5,0,0,397,1,2,604,233,4,21,44,1107,93,58.246741815003205,33.04823629109333,203.9812915543576,50.943209624696976,541.8429142333295,321.3802025795457
49,133,163,844,291,69,78,107,800,220,8,522,488,490,106,0,0,0,1,0,0,0,7,11,32,46,391,354,409,1107,106,10.407244273496504,3.8687409607879952,273.4874611157237,74.57230171598734,15.374794551120132,4.090890319299482
50,873,80,138,335,74,806,18,89,276,8,476,495,529,148,0,0,0,3,0,0,398,4,79,565,198,2,58,87,1049,148,47.90741548180933,30.244349903707533,205.30920949064497,54.30133429059023,1484.0007330421959,1950.9482882837183
51,366,293,623,155,63,307,232,558,91,8,500,468,532,169,0,0,1,0,0,0,2,2,100,48,250,376,135,182,1027,169,10.64457509247194,4.177451847058154,214.40697522460752,56.26509942707195,22.03019534781721,4.12709327332451
52,276,77,701,381,65,209,6,650,325,6,494,495,511,134,0,0,0,2,0,0,3,1,59,47,160,382,220,268,1062,134,10.943709458783584,4.79992875027581,209.59780037253134,59.970104750452975,17.067415238007047,3.5045339010775587
53,521,62,790,57,70,458,4,734,7,16,492,510,498,146,0,0,0,3,0,0,0,0,139,242,121,408,278,326,1073,146,9.01666662063406,2.8875947124477555,208.59488529493575,57.30223732177448,59.50934053224348,30.992942786872675
54,871,232,163,160,74,810,166,99,98,3,482,532,486,208,0,0,0,2,0,0,418,18,75,535,274,3,43,96,968,208,87.52968328239395,43.517505291749686,320.9710724070581,67.71701963487494,309.87754144400776,182.05562802434326
55,171,186,641,433,69,117,132,577,365,15,474,516,510,145,0,0,0,0,5,0,24,2,16,56,61,386,154,191,1061,145,9.582758530959135,4.206264621764207,175.42729281957924,50.509343953863045,14.261794581942048,3.947605095954385
56,750,96,236,345,73,697,34,184,300,0,515,463,522,153,0,0,1,0,0,0,380,7,55,450,247,1,155,183,1062,153,24.34113707688413,20.18459970098544,284.92514143733877,71.1226759674691,138.67456536696403,105.62819495739531
57,1067,128,177,69,59,1001,71,112,8,0,488,536,476,235,0,0,0,0,0,0,436,7,196,614,268,0,94,112,957,235,47.58513642282657,34.440498774666885,231.52083841410067,64.56273637362368,50.68873219052948,37.747512518452886
58,237,47,493,651,72,179,3,434,583,0,501,495,504,158,0,0,0,0,0,0,110,3,6,131,42,291,103,143,1041,158,10.763869993980384,4.63589920501555,132.445209687296,39.82700402976095,12.042922579776096,4.279403338974079
