Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_HighThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
1,62,756,341,247,94,0,707,284,187,19,465,514,521,187,0,0,16,6,142,0,10,329,0,0,0,266,17,18,1010,187,552.1440873735474,170.94673538937766,36.40184307894408,9.729500653105067,13.710134528610904,8.390190650492487
2,66,85,452,483,414,0,25,386,435,352,503,463,534,189,0,0,67,175,0,0,2,25,0,0,0,355,25,31,1009,189,423.91685046251257,131.36455977430182,328.32384472843006,72.06300447713032,10.26480002728216,5.402885839336054
3,69,99,472,461,399,0,34,423,402,329,509,505,486,177,0,0,56,165,0,0,6,27,0,0,0,399,17,24,1011,177,526.3776734390866,157.086167483779,263.12291094547487,64.35062643150663,38.74864235926851,33.44006830774893
4,55,799,344,221,81,0,732,289,161,18,503,493,504,173,0,0,10,7,135,0,3,350,0,0,0,263,14,26,1027,173,554.675859308241,163.54468516056428,36.07277503212583,6.489889305329346,7.220038460588186,6.112105560025165
5,72,481,446,433,68,2,418,393,379,11,514,474,512,248,0,0,7,6,44,0,1,351,0,2,0,330,30,63,955,248,705.0698816006817,186.15255046736127,32.169083099548786,7.281502289831173,19.172980779323414,12.42271079523482
6,68,414,222,475,321,1,352,175,408,266,511,477,512,231,0,0,55,121,252,0,2,91,0,1,0,126,23,49,971,231,849.5871581869721,207.86491744735918,66.52806418027976,64.32825641419699,42.895391851186716,32.007615125521575
7,60,958,288,119,75,0,893,230,66,16,493,487,520,252,0,0,4,4,219,0,0,365,0,0,0,180,20,50,953,252,436.83335107723474,146.56721434021708,36.43905538821148,7.538700915530452,21.481882666323422,21.168489385597884
8,67,261,455,280,437,0,191,396,221,383,538,474,488,244,0,0,18,187,0,0,0,13,0,0,0,362,21,34,947,244,533.1334621221785,149.86851284444788,267.5111544590471,68.6789686226491,20.081894451224375,12.12809889651135
9,59,289,486,254,412,0,238,421,196,348,498,488,514,221,0,0,22,158,0,0,0,43,0,0,0,396,17,25,982,221,526.3208073232212,167.2467327558836,259.1391247185311,55.11191813063182,29.04906258494552,38.41546812062233
10,67,751,361,239,82,0,686,290,184,18,501,493,506,194,0,0,15,9,98,0,3,351,0,0,0,276,14,14,984,194,478.33600796902465,149.74967433592633,42.68411465437462,9.266020616778373,27.037875044724963,35.10444788556618
11,54,954,298,106,88,0,875,231,53,33,481,498,521,255,0,0,5,15,214,0,0,311,0,0,0,178,26,53,937,255,574.0914519946953,166.0465534712444,42.394363961347366,9.62180845925146,37.75078513586147,48.007607273973946
