Run,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
1,166,0,0,24,16,307,0,15,261,0,5,6,95,6,8,1034,166
2,108,0,0,27,135,197,0,9,13,6,4,13,192,18,41,1074,108
3,160,0,0,106,84,19,0,190,226,4,3,7,203,14,45,1038,160
4,137,0,0,24,34,197,0,23,299,1,2,8,187,7,7,1058,137
5,108,0,0,20,218,102,0,7,113,0,0,11,259,13,13,1092,108
6,212,0,0,1,35,158,0,11,289,7,6,18,235,47,82,970,212
7,272,0,0,26,156,277,0,53,81,17,9,5,72,10,20,938,272
8,131,0,0,127,98,4,0,69,16,89,26,151,312,5,21,1072,131
9,210,0,0,20,151,283,0,10,104,4,2,13,119,21,38,977,210
10,171,0,0,15,21,264,0,15,299,1,8,6,87,29,53,1025,171
11,61,0,0,31,39,162,0,14,283,0,7,9,215,2,2,1120,61
12,209,0,0,32,206,239,0,28,11,17,4,28,110,12,27,989,209
13,114,0,0,24,59,75,0,15,260,1,7,5,330,16,29,1092,114
14,94,0,0,30,226,37,0,4,23,5,2,28,329,11,13,1105,94
15,177,0,0,95,70,119,0,157,230,1,2,6,104,8,33,1008,177
16,190,0,0,20,107,154,0,6,16,1,2,3,231,13,27,1036,190
17,213,0,0,101,34,61,0,242,252,3,1,10,115,14,14,981,213
18,126,0,0,35,173,108,0,12,68,7,4,16,267,31,39,1086,126
19,156,0,0,39,127,111,0,48,206,4,7,10,233,13,13,1067,156
20,194,0,0,41,27,216,0,14,288,20,3,37,140,11,16,1009,194
21,156,0,0,19,129,112,0,19,178,1,10,4,272,6,32,1045,156
22,178,0,0,26,104,98,0,25,174,2,1,8,277,16,16,1027,178
23,263,0,0,0,218,46,0,0,12,5,6,17,376,48,89,942,263
24,74,0,0,31,175,82,0,13,132,0,2,12,288,12,14,1125,74
25,94,0,0,30,95,134,0,27,150,1,6,6,250,6,34,1116,94
26,183,0,0,1,165,188,0,32,16,2,9,8,195,48,90,1027,183
27,115,0,0,57,30,46,0,70,231,32,25,26,263,42,51,1100,115
28,120,0,0,31,119,132,0,46,180,2,4,8,213,19,46,1083,120
29,112,0,0,114,52,16,0,261,34,0,3,4,130,9,11,923,112
30,173,0,0,28,231,72,0,29,25,5,3,25,277,11,11,1021,173
31,241,0,0,15,98,295,0,8,216,0,0,0,114,12,13,947,241
32,72,0,0,28,96,135,0,13,77,12,4,18,261,18,52,1145,72
33,144,0,0,113,50,60,0,85,25,73,15,135,251,20,20,1060,144
34,240,0,0,22,64,288,0,6,239,1,1,6,119,22,26,958,240
35,177,0,0,26,196,242,0,9,12,6,6,15,146,18,42,1006,177
36,105,0,0,48,242,9,0,52,31,21,18,15,342,7,7,1079,105
37,165,0,0,21,225,191,0,6,60,4,0,13,140,28,53,1028,165
38,148,0,0,21,98,170,0,20,241,4,5,6,207,2,2,1054,148
39,178,0,0,4,233,173,0,7,19,0,7,12,224,42,78,1034,178
40,239,0,0,28,32,122,0,13,310,1,8,7,215,8,8,952,239
41,191,0,0,18,33,165,0,14,316,0,3,13,215,20,41,1020,191
42,178,0,0,8,136,22,0,12,32,11,11,15,384,27,58,1023,178
43,104,0,0,34,58,110,0,10,265,11,2,20,263,41,45,1093,104
44,154,0,0,17,159,86,0,8,137,0,0,1,304,13,28,1062,154
45,103,0,0,22,8,44,0,24,287,1,13,5,310,47,97,1126,103
46,149,0,0,31,16,286,0,28,195,12,13,3,83,10,27,1058,149
47,68,0,0,20,80,154,0,5,194,2,1,9,247,20,53,1148,68
48,162,0,0,16,50,190,0,10,298,3,6,5,207,4,10,1033,162
49,141,0,0,26,240,71,0,14,20,4,4,14,315,8,22,1064,141
50,78,0,0,22,236,30,0,14,30,3,4,11,361,14,26,1129,78
51,116,0,0,39,6,72,0,37,73,0,3,10,315,10,18,1087,116
52,193,0,0,26,209,325,0,35,67,0,1,7,37,0,0,984,193
53,111,0,0,19,238,87,0,7,34,0,0,19,310,26,66,1090,111
54,144,0,0,28,34,144,0,25,309,0,6,14,206,0,0,1047,144
55,156,0,0,31,126,205,0,27,174,2,0,24,146,8,38,1046,156
56,148,0,0,27,58,104,0,7,53,1,6,12,268,16,31,1064,148
57,218,0,0,83,24,98,0,213,54,1,2,2,74,15,28,975,218
58,128,0,0,67,2,94,0,67,295,47,23,51,265,8,15,1083,128
59,107,0,0,16,187,20,0,14,169,2,5,4,304,4,5,1091,107
60,242,0,0,23,261,260,0,0,11,0,0,3,138,3,6,960,242
61,179,0,0,18,251,312,0,21,11,3,1,11,85,8,8,1016,179
62,140,0,0,16,97,239,0,14,202,0,2,11,156,17,17,1075,140
63,165,0,0,22,84,62,0,21,253,3,8,9,324,14,17,1053,165
64,144,0,0,33,28,243,0,25,267,10,9,7,124,5,5,1061,144
65,137,0,0,22,1,186,0,31,248,2,5,6,168,9,22,1069,137
66,192,0,0,24,26,253,0,16,316,0,5,5,121,14,14,1005,192
67,178,0,0,22,14,73,0,32,242,4,9,3,286,50,57,1031,178
68,167,0,0,0,39,37,0,3,331,10,5,13,346,33,78,1022,167
69,156,0,0,26,147,185,0,6,147,2,4,13,224,19,31,1049,156
70,165,0,0,118,75,3,0,189,214,4,4,3,209,3,3,1040,165
71,180,0,0,15,51,290,0,13,280,1,4,2,86,6,17,1013,180
72,253,0,0,20,20,271,0,13,315,2,3,9,107,3,3,940,253
73,145,0,0,28,46,161,0,23,307,4,6,4,216,4,6,1057,145
74,219,0,0,17,205,147,0,2,32,1,2,6,237,6,21,968,219
75,107,0,0,45,64,97,0,19,228,12,2,31,260,20,20,1091,107
76,71,0,0,18,40,119,0,23,223,2,5,7,264,13,39,1133,71
77,191,0,0,10,163,277,0,9,138,1,0,6,137,5,5,993,191
78,258,0,0,37,116,146,0,34,244,1,12,4,217,10,15,940,258
79,167,0,0,35,40,120,0,42,285,2,4,7,248,8,19,1025,167
80,200,0,0,18,61,118,0,13,255,0,4,4,272,12,49,997,200
81,108,0,0,27,1,184,0,20,304,1,6,1,152,89,89,1078,108
82,149,0,0,21,60,204,0,28,129,3,10,4,157,17,50,1046,149
83,113,0,0,35,236,57,0,21,15,10,3,21,341,10,16,1080,113
84,125,0,0,19,144,131,0,16,9,3,4,7,277,19,52,1063,125
85,210,0,0,14,11,87,0,8,305,3,2,2,292,26,46,989,210
86,122,0,0,37,204,105,0,13,63,8,2,13,283,4,10,1093,122
87,95,0,0,48,249,71,0,18,36,11,8,24,285,1,4,1106,95
88,167,0,0,26,206,171,0,11,6,5,4,15,245,17,37,1033,167
89,123,0,0,21,128,68,0,3,109,1,4,12,312,26,54,1070,123
90,146,0,0,21,24,208,0,16,96,5,9,13,175,18,58,1060,146
91,167,0,0,21,82,124,0,17,243,3,5,9,266,14,23,1051,167
92,199,0,0,21,87,226,0,4,205,0,3,5,180,23,23,995,199
93,208,0,0,22,18,285,0,23,50,1,3,17,84,18,35,993,208
94,97,0,0,21,17,171,0,25,330,1,9,0,226,4,4,1113,97
95,119,0,0,17,173,86,0,14,87,1,9,5,292,20,33,1075,119
96,151,0,0,77,101,121,0,97,215,1,6,9,172,16,37,1045,151
97,115,0,0,22,194,114,0,19,112,3,8,1,256,12,29,1101,115
98,200,0,0,18,208,321,0,22,24,6,2,9,74,14,27,1002,200
99,157,0,0,14,15,119,0,13,279,1,6,13,271,9,38,1062,157
100,239,0,0,25,18,259,0,26,352,2,3,11,105,2,2,950,239
101,98,0,0,26,91,136,0,28,138,5,4,10,231,132,132,1104,98
102,182,0,0,21,54,260,0,33,255,5,10,3,114,7,27,1049,182
103,135,0,0,3,185,29,0,7,1,7,10,5,353,33,78,1069,135
104,175,0,0,14,224,206,0,13,12,2,1,5,198,6,21,1020,175
105,141,0,0,23,169,174,0,13,42,1,0,5,221,57,60,1058,141
106,143,0,0,25,54,59,0,16,287,1,3,10,304,16,16,1043,143
107,133,0,0,16,210,277,0,20,35,3,4,5,148,35,38,1070,133
108,179,0,0,32,25,299,0,45,292,19,15,13,59,1,1,1031,179
109,130,0,0,39,193,90,0,15,40,9,4,22,286,38,52,1090,130
110,110,0,0,30,22,83,0,21,297,2,4,7,289,23,24,1088,110
111,118,0,0,41,182,62,0,45,51,20,16,0,267,27,52,1059,118
112,135,0,0,31,116,237,0,18,206,0,6,9,140,9,9,1067,135
113,172,0,0,15,147,154,0,6,155,2,3,0,259,11,40,1036,172
114,110,0,0,31,101,79,0,12,114,11,1,22,284,11,29,1101,110
115,126,0,0,32,133,75,0,29,91,4,7,15,277,99,99,1076,126
116,115,0,0,26,23,62,0,30,160,1,10,4,329,42,52,1069,115
117,191,0,0,105,10,51,0,242,284,1,2,7,104,16,45,1006,191
118,216,0,0,17,61,87,0,15,198,2,1,3,299,64,66,994,216
119,208,0,0,32,29,267,0,29,72,5,10,9,110,11,11,998,208
120,95,0,0,48,5,81,0,26,272,16,4,33,301,3,3,1115,95
121,171,0,0,31,216,257,0,6,21,6,1,18,136,17,19,1020,171
122,110,0,0,43,154,122,0,43,57,24,16,19,205,17,36,1109,110
123,81,0,0,33,16,116,0,12,289,3,3,20,264,6,23,1122,81
124,123,0,0,60,70,162,0,22,143,26,6,41,217,62,63,1082,123
125,165,0,0,29,13,188,0,11,193,6,5,15,195,17,37,1048,165
126,272,0,0,14,6,162,0,16,281,0,1,4,211,15,28,921,272
127,167,0,0,20,8,178,0,22,341,0,3,7,188,10,10,1044,167
128,185,0,0,18,50,289,0,2,70,1,2,2,116,11,28,1024,185
129,180,0,0,15,7,196,0,18,269,1,4,15,187,22,39,1020,180
130,97,0,0,9,17,51,0,10,276,1,0,2,332,21,39,1098,97
131,126,0,0,15,49,117,0,17,258,6,9,3,254,6,21,1064,126
132,269,0,0,0,40,21,0,11,32,3,9,5,337,64,108,916,269
133,179,0,0,23,204,253,0,9,38,8,1,14,151,9,32,1023,179
134,207,0,0,22,47,285,0,9,306,8,1,14,95,14,34,1004,207
135,183,0,0,11,117,57,0,9,87,0,2,4,335,17,42,1017,183
136,180,0,0,27,203,139,0,9,39,1,4,7,252,8,8,1022,180
137,132,0,0,13,9,239,0,3,112,0,3,2,172,30,61,1084,132
138,117,0,0,20,16,96,0,0,345,0,4,4,286,17,19,1087,117
139,177,0,0,20,159,162,0,19,156,6,0,12,190,5,5,1025,177
140,150,0,0,13,175,175,0,21,90,0,1,7,224,2,3,1044,150
141,83,0,0,22,127,198,0,1,125,3,4,6,198,9,15,1099,83
142,89,0,0,30,4,86,0,22,216,12,10,2,295,172,172,1118,89
143,96,0,0,22,64,49,0,10,274,2,5,5,343,12,32,1106,96
144,136,0,0,0,162,71,0,0,116,0,9,7,356,69,114,1077,136
145,176,0,0,16,241,265,0,9,9,2,6,6,100,16,29,1031,176
146,184,0,0,26,193,246,0,24,58,0,5,4,110,9,20,1020,184
147,118,0,0,16,92,114,0,25,275,0,0,2,252,18,18,1093,118
148,134,0,0,23,17,94,0,19,224,1,1,4,288,140,140,1049,134
149,148,0,0,24,95,138,0,9,212,2,5,4,273,16,16,1046,148
150,219,0,0,14,44,198,0,11,275,1,0,4,153,7,16,977,219
151,177,0,0,6,9,33,0,19,332,20,6,28,339,34,82,1010,177
152,138,0,0,13,137,199,0,18,139,0,0,2,196,10,21,1069,138
153,198,0,0,113,17,76,0,197,121,1,3,3,111,12,16,1020,198
154,157,0,0,80,31,54,0,112,184,24,6,42,236,10,19,1044,157
155,121,0,0,15,140,52,0,8,129,1,0,6,321,10,17,1074,121
156,163,0,0,21,175,168,0,41,74,5,5,8,201,0,0,1037,163
157,166,0,0,27,223,240,0,17,97,0,3,11,146,11,11,1039,166
158,188,0,0,25,10,290,0,9,6,0,2,4,96,11,27,985,188
159,153,0,0,26,7,283,0,11,305,5,5,11,117,20,47,1052,153
160,153,0,0,45,34,251,0,54,310,0,0,2,71,14,48,1049,153
161,165,0,0,57,21,40,0,64,303,28,31,11,283,9,14,1046,165
162,102,0,0,24,184,244,0,24,26,7,11,6,126,15,30,1086,102
163,223,0,0,37,184,300,0,24,54,7,1,16,59,19,19,977,223
164,151,0,0,31,13,89,0,15,338,2,0,14,292,17,17,1061,151
165,175,0,0,16,191,215,0,28,49,1,2,5,152,59,59,1005,175
166,217,0,0,25,14,304,0,21,339,2,6,6,68,0,0,978,217
167,241,0,0,104,34,55,0,252,340,3,2,6,69,6,14,975,241
168,106,0,0,31,120,109,0,11,141,6,4,18,280,13,29,1096,106
169,104,0,0,46,155,165,0,36,106,14,1,35,204,17,17,1100,104
170,238,0,0,94,3,92,0,207,348,4,0,7,94,18,37,970,238
171,142,0,0,15,29,199,0,27,284,1,0,0,190,11,11,1047,142
172,131,0,0,22,102,110,0,9,223,2,4,7,292,11,11,1088,131
173,129,0,0,31,154,131,0,31,74,1,1,8,222,11,37,1077,129
