Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_LowThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
1,70,115,188,514,613,23,56,134,450,547,490,499,511,249,0,0,22,203,294,0,10,44,11,1,22,104,14,30,961,249,4.867318867859153,1.6582749599989834,50.41938816120692,16.957474531872123,5.415583746121449,3.202531355214302
2,131,438,344,509,78,75,365,286,445,19,520,467,513,143,0,0,52,12,44,0,60,317,29,27,28,263,23,23,1047,143,2.9203312811347373,1.0241426768502584,129.69050267805468,26.487185075122493,4.663452785931567,1.7573565519623786
3,87,509,323,477,104,20,449,262,414,41,493,504,503,112,0,0,29,31,169,0,7,284,1,5,15,230,20,32,1074,112,11.974472595138193,13.133605023201936,69.8051062025989,14.850570232608849,8.088970678557967,3.263806962622584
4,68,322,371,475,264,8,269,305,407,205,505,496,499,111,0,0,12,152,112,0,4,193,0,3,5,278,16,27,1083,111,5.853229146559632,2.0084856030844294,211.39047416039358,87.50863024819938,6.470970536498498,3.277515248594936
5,84,549,300,394,173,20,488,252,330,92,500,507,493,158,0,0,37,73,151,0,20,241,3,4,14,240,12,12,1024,158,1.9165014738713007,1.061830658123845,160.29518273083505,27.931520823916518,7.254657222435082,2.28071571398007
6,58,92,246,497,607,12,44,164,443,540,483,505,512,146,0,0,19,202,266,0,6,36,0,5,7,144,10,20,1057,146,5.776152264001849,1.9103388571801345,8888.797273428032,15954.590932316025,3.3230097738315636,1.017644728668619
7,55,473,420,455,97,4,421,346,391,42,483,530,487,116,0,0,11,32,104,0,1,304,2,0,3,323,8,23,1088,116,6.851585315483126,2.255926506003582,74.44959709498113,17.459625759666746,3.863485806667127,2.411922102207918
8,67,264,381,419,369,7,210,320,369,305,472,505,523,123,0,0,15,183,108,0,4,105,0,4,3,297,11,23,1088,123,4.733698886852338,1.5907439158847616,230.2575217029054,47.76522509256308,7.661069347366283,4.027331673012045
9,70,435,284,336,375,9,370,231,275,315,462,505,533,199,0,0,19,100,167,0,10,207,2,6,2,223,8,8,1001,199,3.372214580814653,1.3760541633641323,314.72497393493,72.2584588143566,5.209576280047552,3.0797703887144854
10,49,244,415,518,274,2,174,354,468,212,500,472,528,129,0,0,14,162,60,0,3,105,0,0,2,315,13,39,1081,129,6.869367667951809,2.3279080455520846,220.1402337666999,56.67234089048,3.2170137076157364,1.5604861238744256
11,71,337,327,491,274,16,277,270,433,204,504,482,514,90,0,0,26,110,125,0,23,169,1,12,3,249,7,21,1110,90,4.671381395111111,2.0173688259668707,99.85002851876536,18.305956591928776,4.961556884492246,2.5766242706246674
12,101,253,212,847,87,48,182,150,786,19,496,467,537,213,0,0,85,8,109,0,153,49,17,16,22,101,16,49,972,213,8.051648058019412,2.6854270772589244,87.85471616220876,22.770530283456264,4.644833936012733,2.1769293141332557
13,68,386,380,363,303,9,317,332,293,235,501,492,507,137,0,0,23,137,45,0,35,157,5,1,4,324,8,8,1049,137,3.158208520486135,1.364397682268203,284.62800842494664,71.51444103146711,3.971327463103491,1.5763250147410093
14,64,269,204,568,395,7,212,136,510,341,497,486,517,181,0,0,16,112,276,0,2,22,1,1,5,123,12,13,1025,181,3.5571385004279565,1.3235697391968675,217.72902336017918,74.61754508377628,6.220030371152925,2.9163065029457558
15,74,267,191,501,467,16,216,122,443,411,492,490,518,159,0,0,29,148,266,0,25,149,7,6,3,108,8,14,1049,159,3.923721174827634,1.357029079607554,599.4813915151706,620.3164209138804,8.834190416657565,3.490389605769498
16,79,490,357,487,87,20,432,308,427,12,488,502,510,116,0,0,21,2,97,0,23,324,5,11,6,276,17,32,1083,116,4.353102490855348,1.542971181019664,93.62130562674947,21.306671609761207,6.483442333116445,3.149689258867572
17,69,222,508,435,266,20,160,455,378,201,500,513,487,95,0,0,23,109,119,0,36,9,5,5,12,263,191,192,1119,95,2.325256993226233,1.0342996083831828,122.2452546560599,24.866775158551707,4.504465034170607,1.8444754086613389
18,102,320,210,507,361,39,246,163,443,300,473,505,522,181,0,0,35,227,244,0,44,15,15,21,3,115,24,48,1010,181,5.730358155777952,1.8869815727580184,594.4180163247299,396.83123476483513,7.721129469909353,3.7788346421777046
19,66,325,247,456,406,6,268,184,390,345,501,516,483,147,0,0,16,161,246,0,5,149,0,0,6,161,13,23,1046,147,4.162333701432516,1.5981690801952741,437.1841806323957,144.2025228484254,4.977927721760015,2.4731185923416903
20,93,101,279,618,409,43,37,209,548,350,505,484,511,157,0,0,39,170,146,0,38,27,26,15,11,200,8,9,1030,157,4.273667152368537,1.5126047396757303,217.23864165385274,46.52334672275704,5.082930233653881,2.3348633985655107
21,60,105,355,474,506,3,58,303,423,440,540,477,483,192,0,0,34,224,133,0,25,58,1,2,0,250,43,53,1035,192,5.2592048235815225,1.9507504590691314,2937.1712791463187,3213.676105160786,6.674483450543927,2.7211960075933614
22,70,184,430,501,315,24,113,373,445,255,489,492,519,84,0,0,22,166,63,0,21,89,10,11,3,312,61,61,1126,84,2.7177388433495926,1.2090239622568033,253.65615728429864,61.477013540074985,8.11562633324864,4.288781655799069
23,84,269,335,707,105,9,199,281,640,62,518,455,527,159,0,0,33,2,61,0,23,197,3,0,8,274,7,7,1032,159,3.662509549525821,1.4891989177631904,69.03459519300935,15.189676529020836,8.071876348486098,3.52796366999103
24,97,395,380,510,118,27,329,319,451,53,501,479,520,145,0,0,25,28,64,0,8,278,9,5,22,302,2,17,1034,145,4.885637459571916,1.7395422491150303,73.47651590191137,17.00532401680826,7.177338185838317,2.927398830863167
25,79,175,445,461,340,18,116,382,407,279,520,490,490,74,0,0,25,197,47,0,3,106,1,1,17,355,9,27,1128,74,6.653135702512785,2.4049720037349016,151.8161767739791,31.148098472303968,5.13648624467091,2.174446279617495
26,64,389,152,526,369,17,323,83,474,303,491,479,530,251,0,0,15,27,281,0,31,308,6,11,1,68,5,15,949,251,3.8741394835047123,1.2242226777450254,99.65759591183401,32.94087889440694,4.848072487640664,2.269331964831784
27,66,307,355,453,319,9,235,305,389,254,476,522,502,145,0,0,16,160,128,0,7,124,4,5,2,270,11,35,1047,145,6.4476022570637666,2.314101549350387,264.90676575964557,67.12838202272926,3.1392864903460453,1.2598322593892295
28,75,676,312,319,118,19,617,260,258,51,500,486,514,119,0,0,19,14,129,0,37,309,0,7,12,236,10,24,1086,119,4.356328017797401,1.5328561529217992,161.06721515685734,47.334584102953166,4.9049761892756685,2.0921168155370973
