Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_ModerateThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
1,78,539,203,515,165,16,476,147,460,117,472,502,526,156,0,0,27,49,249,0,23,273,0,15,1,135,12,12,1060,156,18.239746601148365,16.436370646601752,240.59253544834047,174.12372447515764,8.133989412569704,3.125992385954711
2,70,245,365,449,371,0,186,302,397,307,510,503,487,206,0,0,14,177,133,0,6,129,0,0,0,262,16,40,986,206,21.556363037545122,14.867629444976664,227.5889795397134,53.578066266391886,7.073782477863377,4.0239452257189114
3,82,762,252,320,84,16,708,197,252,17,519,512,469,190,0,0,9,6,277,0,9,321,0,8,8,124,27,73,1000,190,23.299627037034327,15.56627491317601,76.17428136589355,13.791026923771883,8.199885966784302,3.0084556503676434
4,90,80,366,492,472,26,6,307,436,415,509,503,488,128,0,0,27,225,92,0,17,0,1,15,10,287,6,20,1062,128,18.724683744724533,20.4587621434157,451.0431404465711,122.28973874621276,6.676692548824231,2.174978781176598
5,85,129,326,547,413,16,63,276,490,348,496,499,505,149,0,0,39,194,97,0,15,54,1,5,11,273,3,3,1044,149,7.929246891239652,9.655574156024459,465.25129026205,137.61136051364417,7.1042822341283705,3.1164535083183575
6,64,563,383,202,288,2,507,320,135,229,480,480,540,211,0,0,3,49,104,0,17,206,0,0,2,267,16,53,982,211,43.50062799184001,31.020354532162834,106.08582805639763,20.380143792741748,4.420625883510637,1.4227235787632926
7,60,239,331,632,238,0,177,269,575,174,482,494,524,173,0,0,13,23,147,0,9,171,0,0,0,243,12,26,1022,173,12.258796009513842,8.1520495256793,58.14306978493608,14.199404189883694,5.892879695388305,2.6358929365530526
8,84,151,363,487,415,24,97,302,423,349,483,511,506,104,0,0,19,202,141,0,17,38,8,9,15,258,19,44,1091,104,12.246105723468885,7.688393384737868,242.6532644853261,60.80804890148344,7.972337484561884,3.2442880816019524
9,65,360,316,467,292,7,298,251,406,225,477,528,495,155,0,0,21,85,159,0,10,227,2,0,6,239,3,12,1032,155,4.496759800305294,1.6809301486950692,120.53716221801771,31.39681488473381,5.688698547244478,2.9723822789842598
10,75,349,295,539,242,11,289,249,476,184,512,483,505,180,0,0,31,57,114,0,28,280,0,2,9,238,11,11,1029,180,9.688739836691845,13.029668740068283,131.11052033014155,39.94269248107898,7.025709087865052,2.553760306528426
11,56,632,246,457,109,3,581,178,400,42,487,511,502,177,0,0,17,38,250,0,22,308,1,2,0,150,16,28,1027,177,11.04053136623836,8.854249540200126,71.27433123146352,19.050146676503353,4.193118184573346,1.3890777517793846
