Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,120
Parameter: aHigherSitL,140
Parameter: aLowerSitDB,120
Parameter: aHigherSitDB,140
Parameter: aLowerSitNB,120
Parameter: aHigherSitNB,140
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_StrongAllies_LowThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
1,82,125,189,554,550,11,68,135,500,486,473,520,507,129,0,0,21,195,286,0,17,23,0,6,5,114,6,21,1070,129,5.328128549098125,2.342760394683971,57988087171.92633,113656650733.45834,7.291671579803019,2.3534375660815265
2,66,352,310,580,192,20,290,250,521,133,478,493,529,91,0,0,14,67,173,0,0,158,3,0,20,235,15,15,1123,91,3.325425970542294,1.3145310404328538,119.37354059554544,34.81577679799738,5.302733695440755,1.6467222491944233
3,76,365,204,536,319,15,306,141,478,257,517,473,510,147,0,0,40,61,187,0,47,303,0,10,5,131,10,10,1050,147,3.4965709980181927,1.7741170356071545,409.94623153132477,396.7150126074199,7.598827342694633,2.4982574623434632
4,78,454,431,421,116,23,395,370,362,47,509,468,523,131,0,0,13,21,39,0,13,196,5,8,11,327,20,43,1066,131,7.390588229677394,2.992672107889591,137.31611464128687,20.083146785753566,6.132809111460319,2.329141024080595
5,87,352,204,464,393,33,286,155,406,321,528,474,498,115,0,0,31,120,230,0,21,202,8,13,13,132,15,23,1086,115,4.258814935815064,1.614534916677012,463.62411650506397,200.1121646346945,5.565764856089595,1.6206428066892693
6,70,861,217,270,82,8,800,162,208,15,520,474,506,198,0,0,17,15,237,0,4,319,0,0,8,138,24,24,995,198,3.2754557494504453,1.5742685307513473,165.3757028028062,32.08771354200482,7.589932873828497,3.268627274715992
7,70,152,550,502,226,21,95,485,438,164,468,471,561,73,0,0,9,123,2,0,0,81,3,8,11,377,70,108,1130,73,9.747833588284356,4.1813544763369155,100.62893435679415,18.495279597845325,4.113274296815174,1.3092907163197118
8,63,341,287,484,325,15,282,229,414,263,450,531,519,178,0,0,13,242,229,0,2,53,0,1,14,196,14,33,1024,178,10.944933745931358,9.80114987923891,79.89545704579568,18.733662720838506,4.918060130328182,1.5800489662564294
9,69,794,322,206,109,14,725,276,137,47,488,516,496,183,0,0,0,29,120,0,65,272,2,7,6,227,18,49,1016,183,8.830416119749055,3.922819011728387,250.89553324266407,38.18120678788721,4.536739853921402,1.8077483155499938
10,67,492,238,432,271,7,432,186,369,205,521,460,519,189,0,0,10,151,197,0,1,157,1,0,6,164,18,22,1010,189,3.629944352653543,1.8631867999742437,226.19424571066182,63.620066225856185,5.931006884710325,1.8159539443187742
11,67,80,238,490,625,5,32,167,424,574,485,490,525,246,0,0,4,229,264,0,0,23,0,4,1,118,24,49,956,246,6.4963338248564115,2.08025178098363,58.96037452486759,16.59267025245399,7.705743855351051,1.9331725703861438
12,73,443,284,482,218,10,372,223,433,164,506,482,512,132,0,0,14,54,192,0,0,277,0,9,1,182,11,41,1070,132,8.677482835637248,3.7594708330793307,550.7980342019362,940.3739272083742,7.087196479769483,2.2158881715803345
13,95,414,269,562,160,31,342,207,509,105,479,525,496,124,0,0,14,40,250,0,10,119,0,15,16,157,20,50,1070,124,9.081068747730049,3.8861402866988346,181.76063371970753,107.33854167204677,6.770082314477509,1.7076729284231429
14,83,133,436,684,164,24,71,371,623,108,448,504,548,47,0,0,20,91,65,0,2,0,3,3,18,343,10,28,1150,47,8.875399907857519,4.029094785101788,65.33774926239884,14.910796003840883,6.197738581420537,2.085087125959559
15,78,355,351,634,82,30,295,287,568,25,505,491,504,154,0,0,34,23,114,0,5,178,3,11,19,273,7,14,1051,154,3.665461442840061,1.6366624980585556,86.68721804440773,19.659154672896616,6.92795303566287,2.4819146396485805
