Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,Random_DB_ModerateThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
1,271,297,300,302,330,271,297,300,302,330,461,521,518,389,0,0,11,44,221,0,188,95,7,170,94,112,82,188,1111,389
2,268,319,305,307,301,268,319,305,307,301,467,504,529,387,0,0,25,46,206,0,193,102,1,190,78,105,99,200,1113,387
3,304,296,303,309,288,304,296,303,309,288,487,481,532,361,0,0,0,45,185,0,199,105,13,197,94,97,93,206,1139,361
4,310,279,320,294,297,310,279,320,294,297,519,480,501,468,0,0,0,52,181,0,204,100,10,195,105,95,109,225,1032,468
5,268,286,316,296,334,268,286,316,296,334,506,499,495,373,0,0,26,61,198,0,197,106,11,169,88,104,91,212,1127,373
6,322,325,288,274,291,322,325,288,274,291,509,497,494,347,0,0,1,57,206,0,198,106,0,226,96,93,110,195,1153,347
7,296,285,327,307,285,296,285,327,307,285,454,525,521,387,0,0,0,50,195,0,212,72,1,204,91,118,98,209,1113,387
8,326,270,296,310,298,326,270,296,310,298,511,480,509,365,0,0,19,52,185,0,210,105,2,222,102,85,109,211,1135,365
9,314,277,271,308,330,314,277,271,308,330,493,499,508,381,0,0,25,54,207,0,204,82,0,210,104,88,92,183,1119,381
10,297,269,321,314,299,297,269,321,314,299,511,501,488,421,0,0,1,52,199,0,186,100,5,191,101,116,105,205,1079,421
11,300,292,291,302,315,300,292,291,302,315,511,475,514,397,0,0,0,59,177,0,217,105,2,195,103,81,103,210,1103,397
12,309,286,280,327,298,309,286,280,327,298,469,488,543,435,0,0,3,54,181,0,210,90,7,208,94,97,71,183,1065,435
13,293,287,304,305,311,293,287,304,305,311,462,530,508,448,0,0,0,45,214,0,200,89,0,187,106,116,86,188,1052,448
14,299,279,312,304,306,299,279,312,304,306,495,519,486,344,0,0,18,55,210,0,197,85,4,179,117,112,95,200,1156,344
15,294,275,327,288,316,294,275,327,288,316,492,500,508,353,0,0,21,52,198,0,202,93,4,197,93,100,109,227,1147,353
16,305,306,305,293,291,305,306,305,293,291,500,490,510,368,0,0,26,41,196,0,195,99,0,199,106,99,103,206,1132,368
17,287,315,279,298,321,287,315,279,298,321,491,488,521,440,0,0,0,44,193,0,204,116,3,189,95,91,86,188,1060,440
18,309,280,310,292,309,309,280,310,292,309,506,499,495,376,0,0,3,62,203,0,192,95,5,203,102,104,95,206,1124,376
19,291,320,296,295,298,291,320,296,295,298,517,489,494,415,0,0,2,42,191,0,192,128,6,202,84,106,99,190,1085,415
20,307,297,310,268,318,307,297,310,268,318,510,487,503,389,0,0,11,56,193,0,185,101,0,213,94,109,112,201,1111,389
