Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,random_DB_highThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
1,289,311,288,304,308,496,491,513,734,0,0,0,3,211,0,197,96,33,173,92,83,112,205,766,734
2,300,331,314,273,282,484,514,502,656,0,0,0,4,215,0,191,107,12,177,114,108,110,206,844,656
3,309,270,312,297,312,500,489,511,659,0,0,0,1,179,0,198,96,16,191,102,112,93,200,841,659
4,282,319,323,285,291,520,496,484,667,0,0,0,0,200,0,181,106,12,177,96,115,113,208,833,667
5,315,304,283,308,290,522,512,466,703,0,0,0,0,185,0,226,108,18,190,113,101,98,182,797,703
6,310,322,283,300,285,506,486,508,697,0,0,3,0,190,0,200,114,14,203,97,96,78,187,803,697
7,259,317,282,310,332,495,517,488,706,0,0,0,0,228,0,175,108,8,166,85,114,83,168,794,706
8,296,312,291,288,313,509,470,521,680,0,0,7,1,212,0,159,101,11,177,110,99,94,192,820,680
9,283,319,292,304,302,511,499,490,734,0,0,1,2,212,0,198,107,29,164,106,89,102,203,766,734
10,275,328,294,310,293,481,527,492,686,0,0,0,1,218,0,206,109,7,174,94,103,91,191,814,686
11,291,297,323,310,279,497,501,502,724,0,0,0,1,185,0,213,100,62,161,99,103,95,220,776,724
12,286,301,294,301,318,523,456,521,697,0,0,2,3,198,0,170,100,14,184,92,88,90,206,803,697
13,284,295,302,283,336,494,492,514,744,0,0,3,1,190,0,188,101,36,159,98,114,93,188,756,744
14,310,280,290,299,321,504,500,496,625,0,0,2,1,203,0,199,91,13,193,105,98,101,192,875,625
15,298,310,308,283,301,511,490,499,706,0,0,3,0,209,0,183,110,22,184,94,98,112,210,794,706
16,310,284,318,308,280,494,485,521,721,0,0,5,5,180,0,199,88,32,180,103,106,96,212,779,721
17,301,299,316,303,281,519,484,497,721,0,0,0,2,179,0,195,95,28,183,100,110,105,206,779,721
18,307,318,290,278,307,472,501,527,750,0,0,0,5,213,0,192,99,36,185,96,96,97,194,750,750
19,295,304,354,265,282,499,495,506,688,0,0,1,2,202,0,188,102,17,193,87,105,127,249,812,688
20,304,334,291,288,283,500,487,513,680,0,0,0,2,186,0,204,95,21,178,112,97,100,194,820,680
21,301,292,293,307,307,506,521,473,716,0,0,3,1,218,0,193,99,27,180,102,110,97,183,784,716
