Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,random_NB_lowThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
1,296,303,293,301,307,511,486,503,406,0,0,46,73,200,0,199,101,141,108,99,87,109,206,1094,406
2,300,318,311,296,275,459,514,527,433,0,0,56,59,205,0,206,101,157,104,76,103,103,208,1067,433
3,291,292,282,324,311,518,497,485,441,0,0,22,87,196,0,209,103,140,96,99,92,88,190,1059,441
4,306,313,273,309,299,478,507,515,440,0,0,47,65,215,0,210,107,146,111,91,82,94,191,1060,440
5,287,285,309,310,309,487,497,516,397,0,0,34,76,205,0,186,98,154,88,101,106,90,203,1103,397
6,305,330,271,290,304,490,507,503,449,0,0,23,66,227,0,193,105,161,95,98,87,84,184,1051,449
7,300,318,313,304,265,491,488,521,469,0,0,38,51,197,0,194,120,156,100,95,97,93,216,1031,469
8,287,285,312,295,321,492,520,488,443,0,0,25,80,199,0,198,95,145,99,89,123,92,189,1057,443
9,305,276,313,309,297,506,507,487,451,0,0,21,67,196,0,220,97,156,103,103,91,103,222,1049,451
10,280,324,300,312,284,491,533,476,413,0,0,28,62,222,0,204,95,135,91,100,107,103,193,1087,413
11,296,290,298,321,295,488,510,502,397,0,0,51,75,200,0,201,92,144,95,110,109,85,189,1103,397
12,306,282,325,286,301,503,518,479,409,0,0,37,81,194,0,208,84,159,96,100,116,105,209,1091,409
13,284,271,310,316,319,537,459,504,412,0,0,33,75,176,0,198,111,150,84,103,85,122,225,1088,412
